	Note ESG
AAR Corp.	40.6
AECC Aero-engine Control Co., Ltd.	44.2
AECC Aviation Power Co., Ltd.	49.3
AeroVironment, Inc.	31.3
Airbus SE	24.1
Archer Aviation, Inc.	45.7
Aselsan Elektronik Sanayi ve Ticaret AS	23.4
Astronics Corp.	42.8
Austal Ltd.	31.9
Avic (Chengdu) UAS Co., Ltd.	44.0
AviChina Industry & Technology Co., Ltd.	42.7
Avicopter Plc	52.3
Avio SpA	31.0
Avon Technologies Plc	39.4
Axon Enterprise, Inc.	30.5
Babcock International Group Plc	30.6
BAE Systems Plc	25.0
Beijing Beimo High-Tech Frictional Material Co., Ltd.	39.9
Bharat Dynamics Ltd.	27.2
Bharat Electronics Ltd.	30.8
Bombardier, Inc.	30.4
BWX Technologies, Inc.	32.4
Cadre Holdings, Inc.	47.0
CAE, Inc.	21.0
Chemring Group Plc	26.3
Chengdu ALD Aviation Manufacturing Corp.	39.6
Colt CZ Group SE	35.8
CTT Systems AB	30.2
Curtiss-Wright Corp.	37.1
Dassault Aviation SA	38.4
Data Patterns (India) Ltd.	36.8
Ducommun, Inc.	37.0
Elbit Systems Ltd.	34.1
Embraer SA	36.2
Eve Holding, Inc.	31.2
General Dynamics Corp.	34.1
Hanwha Systems Co., Ltd.	28.2
HEICO Corp.	39.0
HENSOLDT AG	21.5
Hexcel Corp.	28.8
Hindustan Aeronautics Ltd.	33.7
Howmet Aerospace, Inc.	23.6
Huntington Ingalls Industries, Inc.	34.2
Hwa Create Corp.	43.6
ispace, Inc.	43.4
JAMCO Corp.	39.5
Joby Aviation, Inc.	40.3
KOREA AEROSPACE INDUSTRIES Ltd.	44.8
Kratos Defense & Security Solutions, Inc.	45.9
L3Harris Technologies, Inc.	24.2
Leonardo DRS, Inc.	35.5
Leonardo SpA	24.1
LIG Nex1 Co., Ltd.	31.7
Lockheed Martin Corp.	28.1
Mercury Systems, Inc.	32.4
Montana Aerospace AG	28.9
Moog, Inc.	39.6
MTAR Technologies Ltd.	33.0
MTU Aero Engines AG	28.3
National Presto Industries, Inc.	36.6
Northrop Grumman Corp.	26.6
Planet Labs PBC	38.7
Precision Castparts Corp.	36.6
QinetiQ Group plc	24.0
Redwire Corp.	46.1
Rheinmetall AG	24.6
Rocket Lab USA, Inc.	39.9
Rolls-Royce Holdings Plc	23.1
RTX Corp.	29.8
Saab AB	30.8
Safran SA	28.1
SDT Uzay ve Savunma Teknolojileri AS	42.6
Senior Plc	26.6
Shaanxi Aerospace Power Hi-Tech Co., Ltd.	45.1
Shanghai Huace Navigation Technology Ltd.	38.8
Sichuan Haite High-Tech Co., Ltd.	44.2
Singapore Technologies Engineering Ltd.	31.8
Spirit AeroSystems Holdings, Inc.	29.7
Sturm, Ruger & Co., Inc.	33.4
Taurus Armas SA	34.7
Teledyne Technologies, Inc.	34.3
Textron, Inc.	33.1
Thales SA	27.3
The Boeing Co.	36.6
Tingo Group, Inc.	45.6
TransDigm Group, Inc.	38.1
Triumph Group, Inc.	29.2
Virgin Galactic Holdings, Inc.	42.4
Woodward, Inc.	31.0
Xi'an Triangle Defense Co., Ltd.	42.3
