	Note ESG
AB Dynamics Plc	15.4
Actron Technology Corp.	13.5
Adient plc	13.0
Aerospace Hi-Tech Holding Group Co., Ltd.	28.9
Aisan Industry Co., Ltd.	25.6
Aisin Corp.	24.5
American Axle & Manufacturing Holdings, Inc.	25.8
Amotiv Ltd.	23.6
Anhui Jianghuai Automobile Group Corp. Ltd.	35.6
Anhui Zhongding Sealing Parts Co., Ltd.	31.6
Aotecar New Energy Technology Co., Ltd.	37.2
Apollo Tyres Ltd.	18.0
Aptiv Plc	12.9
ARB Corp. Ltd.	25.2
Asahi India Glass Ltd.	28.8
Atmus Filtration Technologies, Inc.	18.9
Autoliv, Inc.	12.0
Autoneum Holding AG	13.2
Balkrishna Industries Ltd.	22.4
Beijing WKW Automotive Parts Co., Ltd.	24.1
Bengal & Assam Co. Ltd.	23.1
Bethel Automotive Safety Systems Co., Ltd.	28.4
Bharat Forge Ltd.	20.2
BorgWarner, Inc.	9.9
Bosch Fren Sistemleri Sanayi ve Ticaret AS	8.1
Bosch Ltd.	5.9
Brembo SpA	16.9
Bridgestone Corp.	11.3
Brisa Bridgestone Sabanci Lastik Sanayi ve Ticaret AS	15.5
Bulten AB	18.0
CEAT Ltd.	18.4
Changchun FAWAY Automobile Components Co., Ltd.	25.3
Changzhou Xingyu Automotive Lighting Systems Co. Ltd.	27.0
Cheng Shin Rubber Ind. Co., Ltd.	18.5
Chongqing Zongshen Power Machinery Co., Ltd.	22.6
Chuo Spring Co., Ltd.	25.5
CIE Automotive India Ltd.	26.3
CIE Automotive SA	11.3
Clarios Global LP	23.0
Compagnie Générale des Établissements Michelin SCA	10.1
Continental AG	24.6
Cooper-Standard Holdings, Inc.	27.1
CUB Elecparts, Inc.	23.9
Daido Metal Co., Ltd.	32.1
DaikyoNishikawa Corp.	23.8
Dana, Inc.	27.0
DENSO Corp.	16.2
Depo Auto Parts Industrial Co., Ltd.	24.9
DN AUTOMOTIVE Corp.	22.1
Dorman Products, Inc.	24.2
Eagle Industry Co. Ltd.	21.1
Ege Endüstri ve Ticaret AS	16.6
ElringKlinger AG	17.7
Endurance Technologies Ltd.	23.7
EXEDY Corp.	32.0
Exide Industries Ltd.	16.9
F.C.C. Co., Ltd.	16.2
Fangda Special Steel Technology Co. Ltd.	29.4
FAWER Automotive Parts Ltd. Co.	22.9
Federal Corp.	15.2
Fiem Industries Ltd.	22.3
Forvia SE	9.3
Foryou Corp.	26.5
Fox Factory Holding Corp.	16.4
Fras-Le SA	23.4
Fujikura Composite, Inc.	21.3
Fulin Precision Co., Ltd.	20.9
Futaba Industrial Co., Ltd.	25.6
Fuyao Glass Industry Group Co., Ltd.	21.9
G-Tekt Corp.	22.1
Garrett Motion, Inc.	11.0
Gentex Corp.	17.4
Gentherm, Inc.	12.8
Gestamp Automoción SA	15.7
Global PMX Co., Ltd.	28.7
Goodyear Tire & Rubber Co.	16.8
Grupo Antolín Irausa SA	20.0
Guangdong Hongtu Technology (Holdings) Co., Ltd.	24.7
Hainan Drinda New Energy Technology Co., Ltd.	25.3
HANKOOK TIRE & TECHNOLOGY Co., Ltd.	16.6
Hanon Systems	12.0
HELLA GmbH & Co. KGaA	11.7
Hi-Lex Corp.	23.7
HL Holdings Corp.	23.0
HL Mando Co., Ltd.	16.0
Holley, Inc.	26.0
