	Note ESG
AIMA Technology Group Co., Ltd.	13.0
Aston Martin Lagonda Global Holdings Plc	28.8
BAIC BluePark New Energy Technology Co., Ltd.	29.4
BAIC Motor Corp. Ltd.	24.1
Bajaj Auto Ltd.	16.0
Bayerische Motoren Werke AG	21.4
Beiqi Foton Motor Co., Ltd.	43.4
Brilliance China Automotive Holdings Ltd.	29.4
BYD Co., Ltd.	25.8
China Automotive Engineering Research Institute Co., Ltd.	26.6
China Motor Corp.	18.9
Chongqing Changan Automobile Co. Ltd.	35.8
Dongfeng Motor Group Co., Ltd.	26.9
DRB-HICOM Bhd.	42.5
Eicher Motors Ltd.	13.2
Ferrari NV	23.5
Fisker, Inc.	25.1
Ford Motor Co.	27.6
Ford Otomotiv Sanayi AS	23.4
Geely Automobile Holdings Ltd.	16.1
General Motors Co.	27.0
Great Wall Motor Co., Ltd.	31.3
Guangzhou Automobile Group Co., Ltd.	33.8
Harley-Davidson, Inc.	13.1
Hero MotoCorp Ltd.	12.2
Honda Motor Co., Ltd.	26.7
Hyundai Assan Otomotiv Sanayi ve Ticaret AS	28.2
Hyundai Motor Co., Ltd.	24.6
Isuzu Motors Ltd.	25.9
Jaguar Land Rover Automotive Plc	16.6
Jiangling Motors Co., Ltd.	40.2
KABE Group AB	29.5
Karsan Otomotiv Sanayii ve Ticaret AS	25.3
Kia Corp.	24.9
Knaus Tabbert AG	27.0
Li Auto, Inc.	23.8
Lucid Group, Inc.	23.9
Mahindra & Mahindra Ltd.	23.9
Maruti Suzuki India Ltd.	29.0
Mazda Motor Corp.	30.2
Mercedes-Benz Group AG	15.7
Mitsubishi Motors Corp.	28.6
NIO, Inc.	27.2
Nissan Canada, Inc.	26.1
Nissan Motor Co., Ltd.	26.0
Oriental Holdings Bhd.	26.3
Piaggio & C SpA	8.6
PIERER Mobility AG	10.4
Polaris Inc.	28.7
Porsche AG	18.3
Proterra, Inc.	27.4
Renault SA	20.1
REV Group, Inc.	31.4
Rivian Automotive, Inc.	30.2
SAIC Motor Corp. Ltd.	34.8
Sanyang Motor Co., Ltd.	16.7
SERES Group Co., Ltd.	42.5
Sinotruk Jinan Truck Co., Ltd.	35.5
Stellantis NV	22.2
Subaru Corp.	29.0
Suzuki Motor Corp.	26.5
Tata Motors Ltd.	26.3
Tesla, Inc.	24.7
Thor Industries, Inc.	27.8
TML Holdings Pte Ltd. (Singapore)	22.2
Tofas Turk Otomobil Fabrikasi AS	19.8
Toyota Motor Corp.	28.3
Trigano SA	35.0
TVS Motor Co. Ltd.	15.4
Uzauto Motors JSC	24.0
Volkswagen AG	26.8
Volvo Car AB	18.7
Winnebago Industries, Inc.	27.2
XPeng, Inc.	25.0
Yadea Group Holdings Ltd.	14.3
Yamaha Motor Co., Ltd.	10.8
Yulon Motor Co., Ltd.	25.2
Yulon Nissan Motor Co., Ltd.	29.1
Zhejiang CF Moto Power Co., Ltd.	35.4
Zhejiang Geely Holding Group Co., Ltd.	24.7
Zhejiang Leapmotor Technology Co., Ltd.	14.9
Zhejiang Qianjiang Motorcycle Co., Ltd.	20.9
Zhongtong Bus Holding Co., Ltd.	31.1
