	Note ESG
AAON, Inc.	21.5
Adolf Würth GmbH & Co. KG	26.3
Advanced Drainage Systems, Inc.	24.8
AGC, Inc. (Japan)	22.8
Aliaxis SA	31.2
Allegion Plc	19.8
American Woodmark Corp.	34.3
Anhui Honglu Steel Construction (Group) Co., Ltd.	35.6
Apogee Enterprises, Inc.	32.3
Arbonia AG	33.5
Ariston Holding NV	20.1
Armstrong World Industries, Inc.	19.7
ASAHI YUKIZAI Corp.	29.1
Assa Abloy AB	19.5
Astral Ltd.	25.0
Balco Group AB	17.2
Bawan Co.	33.0
Beijing New Building Materials Public Ltd. Co.	28.2
Blue Star Ltd.	29.2
BOAL Holding Coöperatief UA	11.9
Builders FirstSource, Inc.	26.7
Bunka Shutter Co. Ltd.	31.5
Cangzhou Mingzhu Plastic Co., Ltd.	30.3
Carlisle Cos., Inc.	20.2
Carrier Global Corp.	16.2
Center International Group Co., Ltd.	32.5
Central Glass Co., Ltd.	32.2
CENTROTEC SE	33.0
Cera Sanitaryware Ltd.	23.5
China Lesso Group Holdings Ltd.	30.1
Compagnie de Saint-Gobain SA	18.9
Concepcion Industrial Corp.	29.6
CSR Ltd.	24.7
CSW Industrials, Inc.	26.6
DAIKIN INDUSTRIES Ltd.	20.8
Dehua TB New Decoration Material Co., Ltd.	31.3
dormakaba Holding AG	21.6
Dynasty Ceramic Public Co. Ltd.	25.0
Electrosteel Castings Ltd.	26.2
Era Co., Ltd.	29.8
Etex NV	20.8
Eurocell Plc	23.6
Europen Endüstri Insaat Sanayi ve Ticaret AS	30.5
Flat Glass Group Co., Ltd.	27.5
Fletcher Building Ltd.	23.4
FM Mattsson	28.0
Forbo Holding AG	28.9
Fortune Brands Innovations, Inc.	20.9
Geberit AG	15.5
Genuit Group Plc	22.7
Gibraltar Industries, Inc.	26.0
Globe Union Industrial Corp.	31.7
Griffon Corp.	28.0
Grindwell Norton Ltd.	25.3
Guangdong Kinlong Hardware Products Co., Ltd.	28.9
GWA Group Ltd.	25.0
Insteel Industries, Inc.	30.9
Interface, Inc.	18.9
Inwido AB	23.7
IS DONGSEO Co., Ltd.	24.6
James Halstead Plc	28.1
Janus International Group, Inc.	32.0
JELD-WEN Holding, Inc.	27.9
Johnson Controls International Plc	16.1
Kajaria Ceramics Ltd.	28.4
Kaleseramik Canakkale Kalebodur Seramik Sanayi AS	26.5
KCC Corp.	27.9
Kingspan Group Plc	19.8
Kyung Dong Navien Co., Ltd.	25.5
Lennox International, Inc.	22.4
Lindab International AB	18.3
LIXIL Corp.	18.3
Louisiana-Pacific Corp.	20.3
LU-VE SpA	23.6
LX Hausys Ltd.	23.8
Maeda Kosen Co., Ltd.	29.5
Maezawa Kyuso Industries Co., Ltd.	37.5
Masco Corp.	22.3
Masonite International Corp.	23.4
Monalisa Group Co., Ltd.	38.2
Munters Group AB	27.6
Namsun Aluminum Co., Ltd.	34.8
NICHIAS Corp.	31.0
Nichiha Corp.	29.3
Nippon Sheet Glass Co., Ltd.	26.1
Norcros Plc	29.8
Noritz Corp.	26.1
Okabe Co., Ltd.	33.6
Owens Corning	18.5
Patrick Industries, Inc.	30.8
PBG SA (Brazil)	26.6
PCF GmbH	10.1
PGT Innovations, Inc.	33.3
PMB Technology Bhd.	28.3
Prince Pipes & Fittings Ltd.	20.9
PT Impack Pratama Industri Tbk	29.8
Quanex Building Products Corp.	27.4
Ras Al Khaimah Ceramic Co.	26.9
Recticel SA	18.4
Reliance Worldwide Corp. Ltd.	25.3
Responsive Industries Ltd.	29.7
ROCKWOOL A/S	20.8
Sankyo Tateyama, Inc.	35.7
Sanwa Holdings Corp.	24.6
Saudi Ceramic Co.	34.0
Schweiter Technologies AG	28.6
Sekisui Jushi Corp.	23.8
Shin Nippon Air Technologies Co., Ltd.	28.1
Simpson Manufacturing Co., Inc.	24.5
Sinko Industries Ltd.	29.9
SPX Technologies, Inc.	22.1
Standard Industries, Inc.	33.0
STEICO SE	31.9
Svedbergs Group AB	27.2
Taiwan Glass Industry Corp.	25.4
TAKARA STANDARD CO., LTD.	34.1
Takasago Thermal Engineering Co., Ltd.	21.3
Teraplast SA	22.5
TOTO Ltd.	17.1
Trane Technologies Plc	14.8
Trex Co., Inc.	21.7
Triumph New Energy Co., Ltd.	26.1
Tyman Plc	18.4
UFP Industries, Inc.	26.4
Volution Group Plc	20.2
Wienerberger AG	20.0
Xxentria Technology Materials Co., Ltd.	32.9
Zehnder Group AG	23.8
Zhejiang Weixing New Building Materials Co., Ltd.	28.7
Zhuzhou Kibing Group Co., Ltd.	29.5
Zurn Elkay Water Solutions Corp.	14.3
