	Note ESG
5E Advanced Materials, Inc.	42.0
AARTI Industries Ltd.	30.3
Abou Kir Fertilizers	37.7
Achilles Corp.	28.8
ADAMA Ltd.	38.5
Adeka Corp.	25.7
Advanced Enzyme Technologies Ltd.	34.0
Advanced Nano Products Co., Ltd.	31.2
Advanced Petrochemical Co.	26.5
Advansix, Inc.	21.6
AECI Ltd.	27.1
Aekyung Chemical Co., Ltd.	26.0
Aica Kogyo Co., Ltd.	26.9
Air Liquide SA	13.2
Air Products & Chemicals, Inc.	14.8
Air Water, Inc.	22.6
Akzo Nobel India Ltd.	26.5
Akzo Nobel NV	19.1
Albemarle Corp.	20.1
Alexandria Mineral Oils Co.	33.0
Alkyl Amines Chemicals Ltd.	30.2
Allied Supreme Corp.	22.4
Alpek SAB de CV	20.0
Alujain Corp.	36.4
American Vanguard Corp.	41.5
Amyris, Inc.	37.4
Anhui Guangxin Agrochemical Co., Ltd.	32.5
Anhui Huilong Agricultural Means of Production Co., Ltd.	46.5
Anhui Jiangnan Chemical Industry Co., Ltd.	34.7
Anhui Jinhe Industrial Co., Ltd.	28.0
Arakawa Chemical Industries Ltd.	26.6
Archean Chemical Industries Ltd.	44.1
Arkema SA	25.3
artience Co. Ltd.	31.8
Asahi Kasei Corp.	20.1
Ashland, Inc.	31.3
Asia Polymer Corp.	25.2
Asian Paints Ltd.	21.4
Atul Ltd.	38.7
Avient Corp.	22.7
Axalta Coating Systems Ltd.	23.8
Bagfas Bandirma Gübre Fabrikalari AS	50.5
BAIKSAN Co., Ltd.	38.4
Balaji Amines Ltd.	28.3
Balchem Corp.	28.9
BASF India Ltd.	29.1
BASF SE	27.9
Batu Kawan Bhd.	27.3
Bayer CropScience Ltd. (India)	32.2
Befar Group Co., Ltd.	35.5
Beijing Easpring Material Technology Co., Ltd.	35.5
Beijing Haixin Energy Technology Co., Ltd.	31.8
Beijing Oriental Yuhong Waterproof Technology Co., Ltd.	30.7
Berger Paints India Ltd.	29.7
Bloomage Biotechnology Corp. Ltd.	40.7
Bluestar Adisseo Co.	20.4
Borosil Renewables Ltd.	28.7
Borregaard ASA	18.4
Boubyan Petrochemical Co. KSC	37.9
Braskem Idesa SAPI	24.2
Braskem SA	25.9
C. Uyemura & Co., Ltd.	36.8
C.I. Takiron Corp.	30.4
Cabot Corp.	20.9
Cangzhou Dahua Co., Ltd.	51.1
Castrol India Ltd.	21.1
Celanese Corp.	25.0
CES Energy Solutions Corp.	38.6
CF Industries Holdings, Inc.	28.2
Chambal Fertilisers & Chemicals Ltd.	43.3
ChampionX Corp.	22.0
Chase Corp.	32.3
Chemplast Sanmar Ltd.	30.2
Chengdu Wintrue Holding Co., Ltd.	53.5
Chevron Phillips Chemical Co. LLC	25.5
China BlueChemical Ltd.	45.4
China General Plastics Corp.	25.5
China Hainan Rubber Industry Group Co., Ltd.	36.0
China Man-Made Fiber Corp.	29.1
China National Chemical Corp., Ltd.	44.7
China Petrochemical Development Corp.	24.9
China Steel Chemical Corp.	27.9
China XLX Fertiliser Ltd.	49.4
Chr. Hansen Holding A/S	12.8
Chugoku Marine Paints, Ltd.	33.0
CHUNBO Co., Ltd.	40.8
Clariant AG	17.8
Clean Science & Technology Ltd.	24.0
CNGR Advanced Material Co., Ltd.	33.9
CNNC Hua Yuan Titanium Dioxide Co., Ltd.	30.3
CNSIG Inner Mongolia Chemical Industry Co., Ltd.	34.0
Codexis, Inc.	38.4
COFCO Biotechnology Co., Ltd.	36.9
Corbion NV	18.6
Core Molding Technologies, Inc.	27.5
Coromandel International Ltd.	35.1
Corteva, Inc.	33.8
COSMO CHEMICAL Co., Ltd.	35.1
Covestro AG	21.4
Croda International Plc	21.1
Cydsa SAB de CV	24.9
D&L Industries, Inc.	29.7
Daejoo Electronic Materials Co., Ltd.	33.7
Dai Nippon Toryo Co., Ltd.	41.3
Daicel Corp.	28.7
Dainichiseika Color & Chemicals Mfg. Co., Ltd.	32.4
Danimer Scientific, Inc.	36.3
Dätwyler Holding AG	24.5
DCM Shriram Ltd.	31.5
Deepak Fertilisers & Petrochemicals Corp. Ltd.	38.2
Deepak Nitrite Ltd.	24.5
Denka Co., Ltd.	33.6
Dhanuka Agritech Ltd.	34.7
DIC Corp.	26.0
DKS Co., Ltd.	40.9
Do-Fluoride New Materials Co., Ltd.	28.4
Dongjin Semichem Co., Ltd.	35.5
Dongyue Group Ltd.	39.2
Dottikon ES Holding AG	30.5
Dow, Inc.	20.0
DSM BV	21.8
DuPont de Nemours, Inc.	26.9
E.I.D.-Parry (India) Ltd.	37.2
Eastern Polymer Group Public Co., Ltd.	22.2
Eastman Chemical Co.	24.7
Ecolab, Inc.	23.9
ECOPRO Co., Ltd.	38.2
ECOPRO Materials Co Ltd.	32.1
Ecovyst, Inc.	31.4
Element Solutions, Inc.	23.4
Elementis Plc	23.5
