	Note ESG
374Water, Inc.	29.2
ABM Industries, Inc.	14.3
Acacia Research Corp.	18.8
ACCO Brands Corp.	5.7
Adecco Group AG	7.0
ADT, Inc.	22.4
AEON DELIGHT CO., LTD.	23.5
Alpha Financial Markets Consulting Plc	20.6
ALS Ltd.	18.3
Altech Corp.	11.5
Amadeus FiRe AG	11.6
Ambipar Participações e Empreendimentos SA	18.2
APM Human Services International Ltd.	12.3
Applus Services SA	13.7
APT Medical, Inc.	25.1
ARE Holdings, Inc.	21.7
Aris Water Solutions, Inc.	22.1
ASGN Incorporated	12.1
Avantium NV	27.0
Bakkt Holdings, Inc.	21.0
Barrett Business Services, Inc.	11.9
BayCurrent, Inc.	26.7
Befesa SA	13.1
Beijing Cuiwei Tower Co., Ltd.	27.7
Beijing GeoEnviron Engineering & Technology, Inc.	25.1
Beijing OriginWater Technology Co., Ltd.	28.7
Beijing Water Business Doctor Co., Ltd.	29.8
BELLSYSTEM24 Holdings, Inc.	9.0
Benefit One Inc.	14.8
Benefit Systems SA	12.3
Bertrandt AG	24.2
Beyondsoft Corp.	22.1
Bilfinger SE	14.7
Biotrend Çevre ve Enerji Yatirimlari AS	16.0
Blink Charging Co.	19.7
Bluebik Group Public Co., Ltd.	22.4
BlueFocus Intelligent Communications Group Co. Ltd.	25.7
Bong AB	11.2
Booz Allen Hamilton, Inc.	16.7
Boyd Group Services, Inc.	18.6
Brady Corp.	9.2
Brambles Ltd.	11.4
Bravida Holding AB	14.3
BrightView Holdings, Inc.	21.5
Brunel International NV	11.0
BTS Group AB	9.8
Bureau Veritas SA	8.9
Canada Mortgage & Housing Corp.	23.6
Cargurus, Inc.	21.1
Casella Waste Systems, Inc.	20.5
CBIZ, Inc.	27.2
Central Security Patrols Co., Ltd.	22.6
Centre Testing International Group Co., Ltd.	20.5
CEWE Stiftung & Co. KGaA	15.9
China Chunlai Education Group Co., Ltd.	23.1
China Conch Environment Protection Holdings Ltd.	23.8
China Conch Venture Holdings Ltd.	24.1
China Everbright Environment Group Ltd.	21.5
China Tianying, Inc.	25.6
China Wafer Level CSP Co., Ltd.	26.0
Chongqing Sanfeng Environmental Group Corp., Ltd.	28.7
Cimpress Plc	7.8
Cint Group AB	22.0
Cintas Corp.	17.0
Clarkson Plc	25.3
Clean Harbors, Inc.	22.2
Cleanaway Co., Ltd.	18.7
Cleanaway Waste Management Ltd.	21.3
CMST Development Co., Ltd.	27.4
CompX International, Inc.	8.9
Concentrix Corp.	14.7
Coor Service Management Holding AB	7.7
Copart, Inc.	18.3
CoreCivic, Inc.	33.5
Corporation Service Co.	24.0
Coruripe Netherlands BV	26.5
CRA International, Inc.	19.1
CSS (FSCC) Partnership	26.5
CUC, Inc.	21.1
Dai Nippon Printing Co., Ltd.	6.1
Daiei Kankyo Co. Ltd.	28.6
Daiseki Co., Ltd.	21.4
Danel (Adir Yeoshua) Ltd.	17.4
De La Rue Plc	8.5
Deluxe Corp.	10.0
Derichebourg SA	24.8
dip Corp.	7.9
DKSH Holding Ltd.	11.0
DNA Link, Inc.	31.9
Dongjiang Environmental Co. Ltd.	23.8
Duskin Co., Ltd.	20.9
Dynagreen Environmental Protection Group Co. Ltd.	25.2
ECOVE Environment Corp.	10.6
EEW Energy from Waste GmbH	20.2
Elanders AB	6.9
Element Fleet Management Corp.	15.4
Elis SA	15.6
en Japan, Inc.	16.9
Endeavor Group Holdings, Inc.	27.8
Ennis, Inc.	9.4
Enviri Corp.	18.7
Eolus Vind AB	19.8
Equifax, Inc.	22.2
ERI Holdings Co., Ltd.	25.1
Eternal Asia Supply Chain Management Ltd.	29.9
Experian Plc	10.7
Exponent, Inc.	20.8
Fenbi Ltd.	21.8
Fiera Milano SpA	12.3
FILA - Fabbrica Italiana Lapis ed Affini SpA	10.1
First Advantage Corp.	22.4
Firstsource Solutions Ltd.	15.2
Fomento de Construcciones y Contratas SA	23.7
Franklin Covey Co.	23.9
FTI Consulting, Inc.	18.7
Fullcast Holdings Co., Ltd.	11.7
Funai Soken Holdings, Inc.	19.1
GDI Integrated Facility Services, Inc.	23.2
GEM Co., Ltd.	25.5
Getty Images Holdings, Inc.	19.4
GFL Environmental, Inc.	24.8
GL Events SA	19.7
GMO Financial Gate, Inc.	24.3
GPS Participações e Empreendimentos SA	21.2
Green Landscaping Group AB	24.1
Greensquareaccord Ltd.	25.6
Greentown Management Holdings Co., Ltd.	23.8
Greentown Service Group Co. Ltd.	17.2
gremz, Inc.	26.6
GRG Metrology & Test Group Co., Ltd.	29.4
Grupa Pracuj SA	10.9
Guangdong DFP New Material Group Co., Ltd.	13.2
Guizhou Zhenhua E-chem Inc.	21.3
Guizhou Zhongyida Co. Ltd.	26.6
Hays plc	10.7
Healthcare Services Group, Inc.	17.4
Heidrick & Struggles International, Inc.	10.3
Henan Water Conservancy Investment Group Co., Ltd.	32.0
Heritage-Crystal Clean, Inc.	22.7
HireQuest, Inc.	13.6
HireRight Holdings Corp.	17.4
HITO-Communications Holdings, Inc.	17.1
HNI Corp.	5.4
Hongbo Co. Ltd.	12.7
Hudson Technologies, Inc.	23.8
Huron Consulting Group, Inc.	17.9
IBEX Ltd.	22.2
ICF International, Inc.	20.8
IFCO Management GmbH	10.6
Iguatemi SA	23.1
INABA SEISAKUSHO Co., Ltd.	13.3
Indigo Group SA	12.8
insource Co., Ltd.	13.3
Insperity, Inc.	15.9
INSUN Environmental New Technology Co., Ltd.	27.2
International Workplace Group Plc	8.6
Intertek Group Plc	15.9
Inui Global Logistics Co., Ltd.	22.4
IPH Ltd.	25.5
Ipsos SA	19.8
IR Japan Holdings Ltd.	21.3
ISS A/S	13.5
ITAB Shop Concept AB	11.6
JAC Recruitment Co., Ltd.	11.5
Jacobs Engineering Group, Inc.	10.9
Jiangsu Boqian New Materials Stock Co., Ltd.	25.6
Jihua Group Corp. Ltd.	24.3
Johnson Service Group Plc	16.7
Karnov Group AB	18.2
Kelly Services, Inc.	9.0
KEPCO Plant Service & Engineering Co. Ltd.	16.2
Kforce, Inc.	8.6
KG Eco Solution Co., Ltd.	30.1
KOKUYO CO., LTD.	9.1
Korea Environment Technology Co., Ltd.	28.0
Korn Ferry	7.9
KOSAIDO Holdings Co., Ltd.	10.7
Kyodo Printing Co., Ltd.	10.1
Lammhults Design Group AB	10.1
Lassila & Tikanoja Oyj	19.9
Latent View Analytics Ltd.	22.7
Leadec Holding BV & Co. KG	10.7
LegalZoom.com, Inc.	20.7
Lepu Scientech Medical Technology (Shanghai) Co., Ltd.	20.3
Link & Motivation, Inc.	17.9
Longboard Pharmaceuticals, Inc.	21.4
Loomis AB	22.7
Luna Innovations, Inc.	22.3
M Group Services Ltd.	8.0
Macromill, Inc.	24.7
Mader Group Ltd.	25.0
Maharah Human Resources Co.	13.6
Majorel Group Luxembourg SA	18.7
Management Solutions Co., Ltd.	24.8
ManpowerGroup, Inc.	8.9
Maples Group	25.4
MARA Holdings, Inc.	29.4
Marlowe Plc	14.0
Matsuda Sangyo Co., Ltd.	22.0
Matthews International Corp.	20.0
MAXIMUS, Inc.	15.4
McMillan Shakespeare Ltd.	13.6
Mears Group Plc	19.4
Medley, Inc.	23.1
Medlive Technology Co., Ltd.	20.5
MEITEC Group Holdings, Inc.	21.6
Metropolitan Housing Trust Ltd.	23.0
Midac Holdings Co., Ltd.	23.5
MillerKnoll, Inc.	9.4
MISTRAS Group, Inc.	20.6
MITIE Group Plc	8.3
Mitsubishi Pencil Co., Ltd.	11.3
Mo-BRUK SA	25.5
Montrose Environmental Group, Inc.	17.7
MSA Safety, Inc.	18.5
National Securities Clearing Corp.	20.7
Net Protections Holdings, Inc.	24.8
NewtekOne, Inc.	24.5
NGS Group AB	14.3
Nichiban Co., Ltd.	9.2
Nippon Parking Development Co., Ltd.	29.8
NISSO HOLDINGS Co. Ltd.	14.6
NL Industries, Inc.	10.3
NOMURA Co., Ltd.	25.1
Northwell Healthcare, Inc.	19.7
NV5 Global, Inc.	31.1
Okamura Corp.	8.9
Open Up Group, Inc.	11.0
Openjobmetis SpA	8.6
OPENLANE, Inc.	17.8
Oriental Energy Co., Ltd.	26.6
Origin Enterprises Plc	13.5
Orizon Valorização de Resíduos SA	24.9
OUTSOURCING, Inc.	12.7
OX2 AB	17.5
Oyo Corp.	21.0
PageGroup Plc	8.0
Park24 Co., Ltd.	22.2
Pasona Group, Inc.	17.8
Paymentus Holdings, Inc.	27.9
PaySign, Inc.	21.1
Peabody Trust	22.5
Performant Financial Corp.	24.3
PERSOL Holdings Co., Ltd.	13.2
Pilot Corp.	9.7
PION Group AB	15.7
Pitney Bowes, Inc.	7.9
Plenary Group (Canada) Ltd.	22.3
Premium Group Co., Ltd.	25.4
Prestige International Inc.	24.6
Progyny, Inc.	18.4
Pronexus, Inc. (Japan)	8.7
Prosegur Cash SA	18.0
Prosegur Compañia de Seguridad SA	20.4
Purecycle Technologies, Inc.	28.6
QIC Finance Shopping Centre Fund Pty Ltd.	21.9
Quad/Graphics, Inc.	11.1
Quess Corp. Ltd.	11.8
Radius Recycling, Inc.	14.8
Raksul, Inc.	12.9
Rallybio Corp.	22.0
Randstad NV	7.2
RB Global, Inc.	18.5
