	Note ESG
407 East Development Group GP	44.0
Access Prairies Partnership	45.7
ACS, Actividades de Construcción y Servicios SA	28.9
Acter Group Corp. Ltd.	28.9
AECOM	26.9
Aecon Group, Inc.	37.1
AF Gruppen ASA	36.4
AFRY AB	17.0
Ahluwalia Contracts (India) Ltd.	40.8
Alberta PowerLine LP	45.7
Alkhorayef Water & Power Technologies	46.7
Ameresco, Inc.	43.0
Anhui Construction Engineering Group Corp. Ltd.	50.6
Arcadis NV	15.5
Arctic Infrastructure LP	39.9
Argan, Inc.	40.6
Asanuma Corp.	38.6
Ashoka Buildcon Ltd.	44.4
Ashtrom Group Ltd.	29.1
AtkinsRéalis Group, Inc.	29.6
Aveng Ltd.	34.4
Badger Infrastructure Solutions Ltd.	39.5
Balfour Beatty Plc	30.1
Bauer AG	33.9
Bazalgette Holdings Ltd.	37.9
BES Engineering Corp.	40.4
Boustead Singapore Ltd.	33.7
Bouygues SA	33.0
Bowman Consulting Group Ltd.	41.2
Budimex SA	33.2
Burkhalter Holding AG	36.7
Cadeler A/S	46.4
Capital City Link General Partnership	45.7
CE Sebastopol LP	45.7
Central New Energy Holding Group Ltd.	35.8
Century Iron & Steel Industrial Co., Ltd.	33.1
CEVIA Enviro, Inc.	48.7
CH. Karnchang Public Co. Ltd.	37.1
China Aluminum International Engineering Corp. Ltd.	48.7
China CAMC Engineering Co., Ltd.	46.5
China Communications Construction Co. Ltd.	54.9
China Energy Engineering Corp. Ltd.	49.2
China Harzone Industry Corp., Ltd.	47.0
China Metallurgical Group Corp.	48.6
China National Chemical Engineering Co., Ltd.	47.7
China Railway Construction Corp. Ltd.	59.7
China Railway Group Ltd.	49.8
China Southern Power Grid Technology Co., Ltd.	44.0
China State Construction Engineering Corp. Ltd.	52.7
China State Construction International Holdings Ltd.	37.3
Chiyoda Corp.	34.8
Chongqing Road & Bridge Co., Ltd.	48.3
CHUDENKO CORP.	33.2
Cie d'Entreprises CFE SA	28.1
Comfort Systems USA, Inc.	35.1
COMSYS Holdings Corp.	41.6
Concrete Pumping Holdings, Inc.	44.3
Consolidated Energy AG	45.7
Construction Partners, Inc.	51.1
Continental Holdings Corp.	36.7
Costain Group Plc	35.9
CTCI Corp.	24.6
CTI Engineering Co., Ltd.	42.3
Daewoo Engineering & Construction Co. Ltd.	31.7
DAI-DAN Co., Ltd.	31.8
Daiho Corp.	41.1
Dajin Heavy Industry Co., Ltd.	43.3
Demco Public Co. Ltd.	39.5
DEME Group NV	33.4
Dilip Buildcon Ltd.	44.7
