	Note ESG	1
ACC Ltd.	21.8	
ADBRI Ltd.	34.6	
Aditya Birla Real Estate Ltd.	38.7	
Afrimat Ltd.	34.4	
Akcansa Cimento Sanayi ve Ticaret AS	28.7	
Ambuja Cements Ltd.	28.5	
Anhui Conch Cement Co., Ltd.	31.9	
Apex Investment PSC	39.0	
Arabian Cement Co.	39.2	
Asia Cement (China) Holdings Corp.	30.4	
Asia Cement Corp.	32.4	32.4
BBMG Corp.	41.7	41.7
Birla Corp. Ltd.	41.0	41.0
Boral Ltd.	30.9	30.9
Breedon Group Plc	29.7	29.7
Brickworks Ltd.	22.9	22.9
Buzzi SpA	27.8	27.8
Cahya Mata Sarawak Bhd.	32.7	32.7
CCCC Design & Consulting Group Co., Ltd.	40.1	40.1
Cementir Holding NV	22.3	22.3
City Cement Co.	43.1	
CRH Plc	17.6	
CSG Holding Co., Ltd.	43.1	
Dalmia Bharat Ltd.	29.8	
Dangote Cement Plc	35.1	
Eagle Materials, Inc.	36.0	
Eastern Province Cement Co.	41.8	
Emsteel Building Materials PJSC	32.3	
Forterra Plc	25.5	
Gansu Shangfeng Cement Co., Ltd.	37.3	
GCC SAB de CV	28.9	
Goldsun Building Materials Co., Ltd.	31.5	
Grasim Industries Ltd.	27.2	
Grupo Argos SA	29.7	
Guangdong Tapai Group Co., Ltd.	35.3	
H+H International A/S	29.4	
HANIL CEMENT Co., Ltd.	33.4	
Heidelberg Materials AG	26.2	
HeidelbergCement India Ltd.	27.0	
Holcim Ltd.	25.2	
Huaxin Cement Co., Ltd.	31.2	
Ibstock Plc	22.9	
India Cements Ltd.	40.9	
J.K. Cement Ltd.	29.5	
James Hardie Industries Plc	28.2	
Jiangxi Wannianqing Cement Co., Ltd.	40.5	
JK Lakshmi Cement Ltd.	32.1	
Konya Çimento Sanayii AS	46.6	
Krosaki Harima Corp.	41.6	
LafargeHolcim Maroc SA	37.4	
Lucky Cement Ltd.	45.3	45.3
Malayan Cement Bhd.	39.2	39.2
Marshalls Plc	24.3	24.3
Martin Marietta Materials, Inc.	23.9	23.9
Mitani Sekisan Co., Ltd.	44.6	44.6
Najran Cement Co.	40.3	40.3
Nordic Waterproofing Holding AB	23.9	23.9
Northern Region Cement Co.	46.8	46.8
Nuh Cimento Sanayi AS	29.1	29.1
Nuvoco Vistas Corp. Ltd.	39.7	39.7
Riyadh Cement Co.	40.7	
Saudi Cement Co.	37.2	
SCR-Sibelco NV	21.9	
Shree Cement Ltd.	29.0	
Siam City Cement Public Co., Ltd.	29.7	
Sichuan Hexie Shuangma Co., Ltd.	37.3	
Southern Province Cement Co.	43.1	
SSANGYONGC&E.Co., Ltd.	32.9	
Sto SE & Co. KGaA	29.5	
Sumitomo Osaka Cement Co., Ltd.	37.1	
Summit Materials, Inc.	32.8	
Taiheiyo Cement Corp.	31.2	
Tangshan Jidong Cement Co. Ltd.	44.3	
TCC Group Holdings CO., LTD.	23.4	
Tecnoglass, Inc.	37.5	
The Ramco Cements Ltd.	35.8	
Tianshan Material Co., Ltd.	40.9	
Tipco Asphalt Public Co. Ltd.	31.9	
Titan Cement International SA	24.4	
TONGYANG, Inc.	46.6	
TPI Polene Public Co. Ltd.	38.7	
UltraTech Cement Ltd.	31.5	
United States Lime & Minerals, Inc.	39.8	
Universal Cement Corp.	30.0	
Vesuvius India Ltd.	25.6	
Vicat SA	33.5	
Votorantim Cimentos SA	20.5	
Vulcan Materials Co.	28.4	
West China Cement Ltd.	36.3	
Xella International GmbH	17.1	
Xinyi Glass Holdings Ltd.	27.0	
Yamamah Saudi Cement Co.	47.0	
Yanbu Cement Co.	39.1	
