	Note ESG
Ability Enterprise Co., Ltd.	16.1
Acushnet Holdings Corp.	13.7
Advanced International Multitech Co. Ltd.	15.0
Alexander Marine Co., Ltd.	13.7
Alpha Group (China)	17.5
Amber Enterprises India Ltd.	27.6
Amer Sports Oy	10.3
AMMO, Inc.	16.4
Anker Innovations Technology Co., Ltd.	25.6
APi Group Corp.	24.0
Arçelik AS	13.6
Arhaus, Inc.	17.2
Arlo Technologies, Inc.	19.1
Bajaj Electricals Ltd.	26.1
Bear Electric Appliance Co., Ltd.	25.5
Beijing Roborock Technology Co., Ltd.	29.0
Bénéteau SA	9.9
Bigben Interactive SA	20.8
Breville Group Ltd.	26.1
BRP, Inc.	12.9
Casio Computer Co., Ltd.	20.6
Chofu Seisakusho Co., Ltd.	28.7
CI Games SA	15.7
Clarus Corp.	16.2
Cleanup Corp.	17.0
Corona Corp.	27.0
COWAY Co., Ltd.	21.2
Crompton Greaves Consumer Electricals Ltd.	21.0
Cuckoo Homesys Co., Ltd.	25.9
Daikoku Denki Co., Ltd.	14.5
De'Longhi SpA	14.4
DFS Furniture Plc	13.1
Dometic Group AB	22.3
Duni AB	8.8
Dyaco International Inc.	15.9
Ecovacs Robotics Co., Ltd.	33.5
Edifier Technology Co. Ltd.	23.6
Einhell Germany AG	30.6
Elco Ltd.	28.3
Electrolux AB	22.9
Energizer Holdings, Inc.	20.5
Escalade, Inc.	12.6
Ethan Allen Interiors, Inc.	13.1
Eureka Forbes Ltd.	26.5
Fenix Outdoor International AG	9.1
Fiskars Oyj Abp	8.5
Fujitsu General Ltd.	26.4
Games Workshop Group Plc	13.5
Garmin Ltd.	21.0
Giant Manufacturing Co., Ltd.	11.6
GLOBERIDE, Inc.	18.1
GoerTek Inc.	26.5
GoPro, Inc.	21.0
Gree Electric Appliances, Inc. of Zhuhai	32.8
Guangdong Xinbao Electrical Appliances Holdings Co., Ltd.	28.9
Haier Smart Home Co., Ltd.	27.9
Hangzhou Great Star Industrial Co., Ltd.	17.1
Hangzhou Robam Appliances Co., Ltd.	27.6
HANSSEM Co., Ltd.	13.6
Harvia Oyj	18.5
Hasbro, Inc.	7.3
Hayward Holdings, Inc.	13.7
Helen of Troy Ltd.	16.6
Hisense Home Appliances Group Co., Ltd.	29.3
Hooker Furnishings Corp.	13.7
HPS Home Power Solutions AG	19.2
Hunter Douglas NV	16.3
Husqvarna AB	22.1
HYUNDAI BIOSCIENCE Co., Ltd.	33.4
iRobot Corp.	24.5
JAKKS Pacific, Inc.	13.6
Jason Furniture (Hangzhou) Co., Ltd.	18.2
Johnson Health Tech Co. Ltd.	14.4
Johnson Outdoors, Inc.	11.3
Joyoung Co., Ltd.	24.3
JS Global Lifestyle Co. Ltd.	24.6
JVCKenwood Corp.	26.7
Kid ASA	12.7
KingClean Electric Co., Ltd.	30.3
Kinpo Electronics, Inc.	19.2
KMC (Kuei Meng) International, Inc.	9.5
Konka Group Co., Ltd.	38.0
La Opala RG Ltd.	16.0
La-Z-Boy, Inc.	11.6
LEC, Inc. (Japan)	22.2
Leggett & Platt, Inc.	12.6
Leon's Furniture Ltd.	18.5
Leyard Optoelectronic Co., Ltd.	34.2
LG Electronics, Inc.	23.9
Li Ning Co., Ltd.	14.3
LiveWire Group, Inc.	13.1
Man Wah Holdings Ltd.	16.5
Marine Products Corp.	12.5
Marssenger Kitchenware Co., Ltd.	27.4
Mattel, Inc.	15.0
Maytronics Ltd.	11.7
Merida Industry Co., Ltd.	12.8
Merry Electronics Co., Ltd.	16.5
Metall Zug AG	28.9
Midea Group Co. Ltd.	23.9
Mips AB	10.8
Mizuno Corp.	12.0
Mohawk Industries, Inc.	13.7
Newell Brands, Inc.	12.8
Next Vision Stabilized Systems Ltd.	27.4
Nien Made Enterprise Co., Ltd.	13.9
Nikon Corp.	16.7
Nobia AB	9.9
Oppein Home Group, Inc.	16.5
Orient Electric Ltd.	25.7
Peloton Interactive, Inc.	16.9
Profoto Holding AB	24.4
Purple Innovation, Inc.	18.5
Q Technology (Group) Co. Ltd.	32.5
Rinnai Corp.	24.9
Roland Corp.	13.9
Sampo Corp.	26.7
Sangetsu Corp.	9.7
Sankyo Co., Ltd.	15.8
SCG Ceramics Public Co. Ltd.	10.0
SEB SA	22.0
Sega Sammy Holdings, Inc.	15.3
Shanghai Flyco Electrical Appliance Co., Ltd.	23.3
Shanghai Yaoji Technology Co., Ltd.	12.8
Sharp Corp.	21.1
Shenzhen MTC Co., Ltd.	30.6
Shimano, Inc.	14.3
Sichuan Changhong Electric Co., Ltd.	26.0
Sichuan Jiuzhou Electric Co., Ltd.	24.6
Skyworth Group Ltd.	30.3
Sleep Number Corp.	11.3
Smith & Wesson Brands, Inc.	10.5
Smoore International Holdings Ltd.	26.4
Snap One Holdings Corp.	23.7
Snow Peak, Inc. (Japan)	13.9
Sonos, Inc.	15.6
Sony Group Corp.	15.9
Spectrum Brands Holdings, Inc.	29.5
Spin Master Corp.	9.0
STRAX AB	28.1
SUNCORP	16.7
Suofeiya Home Collection Co., Ltd.	17.8
Symphony Ltd.	19.0
Taiwan Sakura Corp.	25.6
Tamron Co., Ltd.	17.8
TCL Electronics Holdings Ltd.	29.4
TCL Technology Group Corp.	32.2
Technogym SpA	10.2
Techtronic Industries Co., Ltd.	25.1
Tempur Sealy International, Inc.	12.7
The AZEK Co., Inc.	11.0
The Lovesac Co.	12.1
Thule Group AB	7.1
TOA Corp. (6809)	23.5
Tomy Co., Ltd.	13.2
Topgolf Callaway Brands Corp.	12.1
Topkey Corp.	14.5
Traeger, Inc.	28.8
Tsuburaya Fields Holdings, Inc.	17.1
TTK Prestige Ltd.	25.8
Turtle Beach Corp.	16.4
Ultimate Products PLC	18.9
Universal Entertainment Corp.	16.9
V-ZUG Holding AG	18.3
Vatti Corp. Ltd.	24.9
Vestel Beyaz Esya Sanayi ve Ticaret AS	13.4
Vestel Elektronik Sanayi ve Ticaret AS	17.5
Victoria Plc	19.3
Videndum Plc	13.4
Vista Outdoor, Inc.	15.7
Voltas Ltd.	23.5
Vuzix Corp.	21.0
Whirlpool Corp.	18.1
Whirlpool of India Ltd.	19.0
Wickes Group Plc	11.3
XGimi Technology Co., Ltd.	25.9
Xiamen Comfort Science & Technology Group Co., Ltd.	15.5
Xilinmen Furniture Co., Ltd.	22.4
Yamaha Corp.	9.7
Yatas Yatak ve Yorgan Sanayi Ticaret AS	18.3
YETI Holdings, Inc.	8.6
Yonex Co., Ltd.	15.4
Yotrio Group Co., Ltd.	19.9
Zbom Home Collection Co., Ltd.	20.1
Zeng Hsing Industrial Co., Ltd.	19.7
Zhejiang Dun'an Artificial Environment Co., Ltd.	29.3
Zhejiang Meida Industrial Co., Ltd.	24.8
Zhejiang Supor Co., Ltd.	27.2
Zojirushi Corp.	24.0
