	Note ESG
AA Ltd.	12.7
Abu Dhabi National Hotels	29.9
AcadeMedia AB	16.0
Accor SA	16.1
Actic Group AB	32.0
Adtalem Global Education, Inc.	12.1
ADvTECH Ltd.	17.2
AEON Fantasy Co., Ltd.	29.7
After You Public Co. Ltd.	33.2
AirTrip Corp.	39.8
Al Seer Marine Supplies & Equipment Company PJSC	36.9
AlAmar Foods Co.	34.9
Alsea SAB de CV	27.3
American University	13.9
Americana Restaurants International Plc	35.5
AmRest Holdings SE	29.7
Ananti, Inc.	31.6
Anima Holding SA	19.1
Aramark	22.2
Arby's Restaurant Group, Inc.	35.4
Arcos Dorados Holdings, Inc.	28.1
Aristocrat Leisure Ltd.	17.2
Ataa Educational Co.	22.0
ATOM Corp.	31.9
Atour Lifestyle Holdings Ltd.	33.8
Australian Catholic University	13.3
Bafang Yunji International Co., Ltd.	29.4
Bally's Corp.	30.1
Barbeque-Nation Hospitality Ltd.	33.1
Basic-Fit NV	31.6
Benesse Holdings, Inc.	13.7
Betsson AB	21.4
Biglari Holdings, Inc.	31.8
BJ's Restaurants, Inc.	31.9
Bloomberry Resorts Corp.	32.7
Bloomin' Brands, Inc.	29.1
Bluegreen Vacations Holding Corp.	32.3
Boyd Gaming Corp.	20.3
BRC, Inc.	35.3
Bright Horizons Family Solutions, Inc.	16.0
Brinker International, Inc.	23.8
Brock University	14.4
Bronco Billy Co., Ltd.	33.4
Brown University	14.6
BTG Hotels (Group) Co., Ltd.	31.2
Caesars Entertainment, Inc.	19.9
Café de Coral Holdings Ltd.	26.5
Cairo For Investment & Real Estate Developments CIRA Education	18.5
California Institute of Technology	14.7
Carleton University	14.6
Carnival Corp.	21.9
Carriage Services, Inc.	18.9
Carrols Restaurant Group, Inc.	31.0
CATRION Catering Holding Co.	26.9
Cedar Fair LP	37.3
Center Parcs Ltd.	22.9
Central Plaza Hotel Public Co. Ltd.	27.7
Central Sports Co., Ltd.	33.6
Century Casinos, Inc.	29.9
Chalet Hotels Ltd.	21.6
Cheesecake Factory, Inc.	34.1
Chegg, Inc.	11.3
Chimney Co., Ltd.	36.1
China East Education Holdings Ltd.	17.3
China Education Group Holdings Ltd.	14.2
China Kepei Education Group Ltd.	15.9
China New Higher Education Group Ltd.	17.6
China Travel International Investment Hong Kong Ltd.	33.0
Chipotle Mexican Grill, Inc.	22.6
Choice Hotels International, Inc.	26.3
Churchill Downs, Inc.	27.5
Chuy's Holdings, Inc.	30.4
Cirsa Enterprises SA	12.0
CKE Holdings LP	33.2
Coast Entertainment Holdings Ltd.	34.0
Cogna Educação SA	10.7
Collins Foods Ltd.	31.2
Colowide Co., Ltd.	33.7
Compagnie des Alpes SA	26.9
Compass Group Plc	18.5
Concordia University	14.2
Cracker Barrel Old Country Store, Inc.	25.4
create restaurants holdings, inc.	32.8
Curro Holdings Ltd.	18.5
Curves Holdings Co., Ltd.	35.2
CVC Brasil Operadora e Agência de Viagens SA	34.6
Daisyo Corp.	35.3
Dalata Hotel Group Plc	21.7
Darden Restaurants, Inc.	27.5
Dave & Buster's Entertainment, Inc.	30.5
Denny's Corp.	26.0
Devyani International Ltd.	31.4
Dine Brands Global, Inc.	29.3
DO & CO AG	20.6
Domino's Pizza Enterprises Ltd.	23.9
Domino's Pizza Group Plc	21.1
Domino's Pizza, Inc.	27.5
Doutor Nichires Holdings Co., Ltd.	33.4
DPC Dash Ltd.	29.0
DraftKings, Inc.	34.8
Driven Brands Holdings, Inc.	17.9
Duke University	13.8
Dutch Bros, Inc.	38.9
East Buy Holding Ltd.	16.5
Easy Trip Planners Ltd.	18.9
EC Healthcare	15.5
EIH Ltd.	32.8
El Pollo Loco Holdings, Inc.	29.7
Elior Group SA	27.6
Entain Plc	18.0
Erawan Group Public Co., Ltd.	29.5
European Wax Center, Inc.	17.0
Evoke Plc	18.2
Evolution AB	22.1
Fattal Holdings (1998) Ltd.	32.7
Fiesta Restaurant Group, Inc.	34.4
First Watch Restaurant Group, Inc.	30.2
Flight Centre Travel Group Ltd.	21.5
Flutter Entertainment Plc	22.4
FOOD & LIFE COMPANIES LTD.	33.7
Formosa International Hotels Corp.	22.2
Fosun Tourism Group	29.8
Franchise Group, Inc.	14.0
Frontdoor, Inc.	14.3
Fu Shou Yuan International Group Ltd.	15.3
Fuji Kyuko Co., Ltd.	30.2
Fujio Food Group, Inc.	39.0
Fujita Kanko, Inc.	33.8
Full House Resorts, Inc.	34.2
Fuller, Smith & Turner Plc	29.0
G8 Education Ltd.	15.2
Galaxy Entertainment Group Ltd.	26.5
Genting Bhd.	24.6
Genting Malaysia Bhd.	27.2
Genting Singapore Ltd.	16.9
Global Education Management Systems Ltd.	16.4
Golden Entertainment, Inc.	30.7
Golden Nugget, Inc.	34.1
GoTo Foods LLC	32.8
Gourmet Master Co. Ltd.	23.8
Graham Holdings Co.	16.2
Grand Canyon Education, Inc.	13.8
Grand Korea Leisure Co., Ltd.	21.9
Greek Organisation of Football Prognostics SA	21.0
Greene King Retailing Ltd.	23.7
Greggs Plc	19.6
Grupo Posadas, SAB de CV	37.6
Guangzhou Restaurant Group Co., Ltd.	27.8
H World Group Ltd.	29.8
H.I.S. Co. Ltd.	36.0
H&R Block, Inc.	14.9
Haichang Ocean Park Holdings Ltd.	34.6
Haidilao International Holding Ltd.	32.9
Hanatour Service, Inc.	29.5
Heiwa Corp.	38.5
Helens International Holdings Co., Ltd.	29.3
Herfy Food Services Co.	28.7
Hiday Hidaka Corp.	33.5
Hilton Grand Vacations, Inc.	23.9
Hilton Worldwide Holdings, Inc.	17.4
Hollywood Bowl Group Plc	25.3
Home Group Ltd.	11.5
Huangshan Tourism Development Co., Ltd.	33.1
Human Soft Holding Co. KSCC	19.3
Hurtigruten Group AS	20.1
Hyatt Hotels Corp.	29.1
Ichibanya Co., Ltd.	31.6
IDP Education Ltd.	14.4
Imperial Hotel, Ltd.	32.0
Indian Hotels Co. Ltd.	26.4
Indian Railway Catering & Tourism Corp. Ltd.	16.9
Inspired Entertainment, Inc.	27.1
InterContinental Hotels Group Plc	16.4
International Game Technology PLC	16.2
INTRALOT SA	26.1
Isrotel Ltd.	36.4
Jack in the Box, Inc.	28.1
JD Wetherspoon Plc	26.5
Jersey Mike's Franchise Systems, Inc.	33.2
Jiumaojiu International Holdings Ltd.	29.5
JJBC LLC	32.8
Jollibee Foods Corp.	30.0
JP Holdings, Inc.	20.1
Jubilant FoodWorks Ltd.	22.4
Jumbo Interactive Ltd.	19.8
Kambi Group Plc	29.6
Kangwon Land, Inc.	28.0
Kappa Create Co., Ltd.	38.0
KFC Holdings Japan Ltd.	31.0
Kindred Group Plc	21.6
KISOJI CO., LTD.	36.0
KNT-CT Holdings Co. Ltd.	33.8
KOMEDA Holdings Co., Ltd.	28.1
Koshidaka Holdings Co., Ltd.	35.1
Kourakuen Corp.	39.2
Kura Sushi USA, Inc.	33.5
