	Note ESG
AGI Greenpac Ltd.	20.3
Amcor Plc	14.7
AptarGroup, Inc.	9.8
Ardagh Metal Packaging SA	12.0
Avery Dennison Corp.	11.0
Ball Corp.	13.1
Berry Global Group, Inc.	15.4
Bewi ASA	18.9
Billerud AB	14.2
CANPACK SA	16.1
Cascades, Inc.	21.6
CCL Industries, Inc.	19.5
Cheng Loong Corp.	18.6
Corticeira Amorim SGPS SA	9.7
CPMC Holdings Ltd.	29.0
Crown Holdings, Inc.	12.8
DS Smith Plc	11.9
Elopak ASA	20.2
EPL Ltd.	11.9
FP Corp.	18.4
Fuji Seal International, Inc.	19.4
Gerresheimer AG	17.5
Graphic Packaging Holding Co.	16.0
Greif, Inc.	19.0
Guala Closures SpA	13.1
Hokkan Holdings Ltd.	22.7
Huhtamäki Oyj	15.7
Jiangsu Shuangxing Color Plastic New Materials Co., Ltd.	21.3
Karat Packaging, Inc.	22.5
Kartonsan Karton Sanayi ve Ticaret AS	18.3
Klabin SA	14.2
Kleopatra Holdings 2 SCA	9.4
Kruger Packaging Holdings LP	19.3
Mativ Holdings, Inc.	22.0
Mayr-Melnhof Karton AG	16.8
Myers Industries, Inc.	20.9
O-I Glass, Inc.	16.8
Oeneo SA	20.5
ORG Technology Co., Ltd.	23.1
Orora Ltd.	20.9
Packaging Corporation of America	17.6
Pact Group Holdings Ltd.	24.9
Pactiv Evergreen, Inc.	18.7
Polyplex (Thailand) Public Co. Ltd.	20.8
Rengo Co., Ltd.	26.1
Reynolds Consumer Products, Inc.	23.5
San Miguel Industrias PET SA	20.9
SCG Packaging Public Co., Ltd.	15.2
Sealed Air Corp.	13.1
Shandong Pharmaceutical Glass Co., Ltd.	24.2
Shanghai Zijiang Enterprise Group Co., Ltd.	22.8
Shenzhen Leaguer Co., Ltd.	19.8
Shenzhen YUTO Packaging Technology Co., Ltd.	21.6
SHIMOJIMA Co., Ltd.	27.1
SIG Group AG	10.5
Silgan Holdings, Inc.	20.8
Smurfit Kappa Group Plc	8.2
Sonoco Products Co.	22.6
Taisei Lamick Co., Ltd.	26.0
Taiwan Hon Chuan Enterprise Co., Ltd.	16.5
TFF Group	22.0
The Pack Corp.	21.0
Time Technoplast Ltd.	19.4
Tomoku Co., Ltd.	25.5
Ton Yi Industrial Corp.	17.9
Toyo Seikan Group Holdings Ltd.	20.6
Transcontinental, Inc.	17.1
UFP Technologies, Inc.	25.5
Verallia SA	13.9
Vetropack Holding AG	19.6
Vidrala SA	18.1
Viscofán SA	13.9
WestRock Co.	18.4
Winpak Ltd.	22.9
Xiamen Jihong Technology Co., Ltd.	22.8
YOULCHON CHEMICAL Co., Ltd.	25.6
Yunnan Energy New Material Co., Ltd.	20.7
Zignago Vetro SpA	12.2
