	Note ESG
360 One Wam Ltd.	24.7
3i Group Plc	8.9
A-Mark Precious Metals, Inc.	30.3
ABC arbitrage SA	24.1
Abra Global Finance	35.1
abrdn European Logistics Income Plc	17.0
abrdn Plc	15.8
Ackermans & van Haaren NV	7.2
ACOM Co., Ltd.	23.3
Aditya Birla Capital Ltd.	12.4
Advanced Flower Capital, Inc.	26.3
AEON Credit Service (M) Bhd.	22.3
AEON Thana Sinsap (Thailand) Public Co. Ltd.	24.2
Affiliated Managers Group, Inc.	19.6
Affirm Holdings, Inc.	22.9
Affordable Housing Finance Plc	29.3
AGCO Finance LLC	21.9
AIFUL Corp.	29.5
AIMCo Realty Investors LP	28.5
AJ Bell Plc	23.9
Aker ASA	14.6
Al-Saif Stores for Development & Investment Co.	39.2
Alfa Transmisora de Energia SA	31.3
Alimtiaz Investment Group KSCC	40.8
Allfunds Group Plc	18.0
Allo Issuer LLC	31.3
Allwyn Entertainment Financing (UK) Plc	28.1
Ally Financial, Inc.	22.6
Alpha Group International Plc	29.8
Alpha Star Holding VII Ltd.	36.0
Amanat Holdings PJSC	35.9
AMCO Asset Management Co. SpA	26.1
American Express Co.	18.3
Ameriprise Financial, Inc.	18.7
AMP Ltd.	21.9
Amundi SA	16.6
Amur Equipment Finance Inc	27.5
Angel One Ltd.	32.9
Anima Holding SpA	10.4
Antares Holdings LP	35.3
Antin Infrastructure Partners SA	16.6
AP Impact Euro (Lux) SARL	36.0
Apollo Global Management, Inc.	23.8
Aptus Value Housing Finance India Ltd.	23.8
Arabi Holding Group Co. KSC	45.1
Arad Investment & Industrial Development Ltd.	19.2
Ares Management Corp.	18.6
Armac Locacao Logistica e Servicos SA	25.6
Artisan Partners Asset Management, Inc.	24.2
Ashmore Group Plc	18.3
AssetMark Financial Holdings, Inc.	29.6
ASX Ltd.	18.6
Atlanticus Holdings Corp.	25.1
ATP Tower Holdings LLC	35.1
Atrato Onsite Energy Plc	33.2
Australian Ethical Investment Ltd.	21.0
Australian Unity Funds Management Ltd.	29.9
Authum Investment & Infrastructure Ltd.	32.7
Avanza Bank Holding AB	24.5
AVIC Industry-Finance Holdings Co., Ltd.	19.1
Azimut Holding SpA	16.9
B. Riley Financial, Inc.	35.1
B2 Impact ASA	7.0
B3 SA-Brasil, Bolsa, Balcão	16.8
BAC Holding International Corp.	29.3
Bajaj Finance Ltd.	18.5
Bajaj Holdings & Investment Ltd.	17.3
Banca Generali SpA	6.1
Banca IFIS SpA	20.7
Banco BTG Pactual SA	22.5
Bangkok Commercial Asset Management Public Co., Ltd.	25.8
Banque Stellantis France SA	12.5
Bayfront Infrastructure Management Pte Ltd.	34.1
Beijing Capital City Development Group Co., Ltd.	33.7
Berkshire Hathaway, Inc.	26.2
Bevco Lux SARL	19.8
