	Note ESG
29metals Ltd.	38.5
Adriatic Metals Plc	40.2
Advanced Technology & Materials Co., Ltd.	53.0
African Rainbow Minerals Ltd.	30.7
Al Masane Al Kobra Mining Co.	45.4
Alcoa Corp.	25.1
ALCONIX Corp.	45.2
Alpha HPA Ltd.	45.2
Altius Minerals Corp.	29.6
Alumina Ltd.	28.4
Aluminum Corp. of China Ltd.	50.2
AMAG Austria Metall AG	15.4
AMG Critical Materials NV	36.5
Anglo American Plc	25.7
Anhui Truchum Advanced Materials & Technology Co., Ltd.	54.9
Antofagasta Plc	26.8
Arafura Rare Earths Ltd.	48.6
Arcadium Lithium Plc	36.9
Arconic Corp.	31.1
Argosy Minerals Ltd.	51.2
Asia-Potash International Investment (Guangzhou) Co., Ltd.	56.0
Atalaya Mining Plc	39.0
Aurelia Metals Ltd.	35.7
Aurubis AG	23.1
Australian Strategic Materials Ltd.	26.4
AVZ Minerals Ltd.	37.2
AZZ, Inc.	35.8
Baiyin Nonferrous Metal (Group) Co. Ltd.	57.7
Baoji Titanium Industry Co., Ltd.	53.6
Baowu Magnesium Technology Co., Ltd.	41.8
BHP Group Ltd.	29.2
Boliden AB	22.8
Boss Energy Ltd.	52.9
Cameco Corp.	31.4
Capital Ltd.	37.2
Capstone Copper Corp.	32.7
Central Asia Metals Plc	27.3
Century Aluminum Co.	40.0
Chalice Mining Ltd.	38.0
Chengtun Mining Group Co., Ltd.	55.9
Chengxin Lithium Group Co., Ltd.	58.9
China Gold International Resources Corp. Ltd.	46.5
China Hongqiao Group Ltd.	43.7
China Kings Resources Group Co., Ltd.	55.5
China Minmetals Group Co., Ltd.	65.5
China Nonferrous Metal Industry's Foreign Eng. & Constr.	60.0
China Nonferrous Mining Corp. Ltd.	51.0
China Northern Rare Earth (Group) High-Tech Co., Ltd.	69.3
China Rare Earth Resources & Technology Co., Ltd.	55.6
China Tungsten & Hightech Materials Co., Ltd.	49.1
Chongyi Zhangyuan Tungsten Co., Ltd.	55.2
CMOC Group Ltd.	31.0
Companhia Brasileira de Alumínio	28.3
Compass Minerals International, Inc.	32.3
Constellium SE	21.8
Core Lithium Ltd.	45.4
Corporación Nacional del Cobre de Chile	27.3
Daiki Aluminium Industry Co., Ltd.	33.0
Dazhong Mining Co., Ltd.	53.3
Deep Yellow Ltd.	39.4
Denison Mines Corp.	36.8
DOWA HOLDINGS Co., Ltd.	44.2
E-Commodities Holdings Ltd.	44.8
Ecora Resources Plc	7.7
enCore Energy Corp.	47.3
Energy Fuels, Inc.	45.3
Energy Resources of Australia Ltd.	45.0
Eramet SA	30.9
Ero Copper Corp.	29.4
Ferroglobe PLC	45.3
First Quantum Minerals Ltd.	32.5
Foran Mining Corp.	47.9
FPC Resources Ltd.	42.3
Freeport-McMoRan, Inc.	28.1
Furukawa Co., Ltd.	45.7
Glencore Plc	38.9
Gränges AB	20.9
Gravita India Ltd.	49.2
GreenX Metals Ltd.	54.0
Grinm Advanced Materials Co., Ltd.	56.0
Grupa Kety SA	30.8
Grupo México S.A.B. de C.V.	29.3
Gruvaktiebolaget Viscaria	48.1
Guangdong HEC Technology Holding Co., Ltd.	56.6
Guangdong Jia Yuan Technology Shares Co., Ltd.	54.0
GuoCheng Mining Co., Ltd.	56.7
Henan Liliang Diamond Co., Ltd.	55.4
Henan Mingtai Al. Industrial Co., Ltd.	42.1
Henan Yuguang Gold & Lead Co., Ltd.	55.7
Henan Zhongfu Industrial Co., Ltd.	41.0
Hindalco Industries Ltd.	29.6
