	Note ESG
ABB India Ltd.	22.3
ABB Ltd.	15.4
AcBel Polytech, Inc.	16.5
Acuity Brands, Inc.	18.0
ADS-TEC Energy Plc	28.5
Advanced Energy Solution Holding Co., Ltd.	19.0
Alfen NV	18.5
Allient, Inc.	23.4
Allis Electric Co., Ltd.	24.3
Amara Raja Energy & Mobility Ltd.	18.0
American Superconductor Corp.	36.5
Apar Industries Ltd.	22.3
AQ Group AB	25.7
Atkore, Inc.	28.8
Babcock & Wilcox Enterprises, Inc.	27.3
Ballard Power Systems, Inc.	18.7
Beijing Aerospace Changfeng Co., Ltd.	30.5
Beijing Relpow Technology Co., Ltd.	28.9
Beijing Sifang Automation Co., Ltd.	29.9
Bharat Heavy Electricals Ltd.	24.9
BizLink Holding, Inc.	24.1
Bloom Energy Corp.	29.6
CALB Group Co., Ltd.	32.8
Camel Group Co. Ltd.	27.4
Canmax Technologies Co., Ltd.	33.0
Cembre SpA	19.1
Ceres Power Holdings plc	24.8
CETC Chips Technology, Inc.	28.4
CG Power & Industrial Solutions Ltd.	27.0
Chicony Power Technology Co., Ltd.	22.5
China Electric MFG Corp.	22.6
China High Speed Transmission Equipment Group Co., Ltd.	32.5
China XD Electric Co., Ltd.	37.0
Chung-Hsin Electric & Machinery Mfg. Corp.	32.1
Clarios Global GP LLC	11.8
Contemporary Amperex Technology Co., Ltd.	19.5
Cosel Co., Ltd.	26.7
CS Wind Corp.	32.1
CTEK AB	21.9
Daihen Corp.	29.4
Delta Electronics (Thailand) Public Co. Ltd.	17.6
Denyo Co., Ltd.	24.8
Dialight Plc	20.0
Dongfang Electric Corp. Ltd.	28.9
Doosan Fuel Cell Co., Ltd.	28.9
Dragonfly Energy Holdings Corp.	26.7
Dynapack International Technology Corp.	25.0
East Group Co., Ltd.	28.4
Eaton Corp. Plc	21.0
Ecopro BM Co., Ltd.	32.0
Elsewedy Electric Co.	23.5
Encore Wire Corp. (Delaware)	23.5
Energy Vault Holdings, Inc.	27.8
EnerSys	25.7
Enovix Corp.	32.2
Enphase Energy, Inc.	19.9
Esab India Ltd.	26.5
ESS Tech, Inc.	27.7
EuroGroup Laminations SpA	29.0
Europower Enerji ve Otomasyon Teknolojileri Sanayi Ticaret AS	32.6
EVE Energy Co., Ltd.	33.2
Fagerhult Group AB	15.1
FangDa Carbon New Material Co., Ltd.	31.2
Far East Smarter Energy Co., Ltd.	31.9
Farasis Energy (Gan Zhou) Co., Ltd.	28.5
FDK Corp.	18.7
Finolex Cables Ltd.	23.3
Fluence Energy, Inc.	26.2
Fortune Electric Co., Ltd.	29.1
Foshan Electrical & Lighting Co., Ltd.	27.4
Franklin Electric Co., Inc.	26.6
FSP Technology, Inc.	23.3
FuelCell Energy, Inc.	21.3
Fuji Electric Co., Ltd.	19.3
Fujikura Ltd.	27.5
Furukawa Battery Co., Ltd.	22.0
Furukawa Electric Co., Ltd.	32.0
GARO AB	24.1
GE Vernova T&D India Ltd.	22.7
Generac Holdings, Inc.	21.9
Ginlong Technologies Co., Ltd.	33.4
Goldwind Science & Technology Co., Ltd.	26.3
Goneo Group Co., Ltd.	31.4
Goodwe Technologies Co., Ltd.	27.7
Gotion High-tech Co., Ltd	28.7
GrafTech International Ltd.	28.2
Graphite India Ltd.	27.5
GS Yuasa Corp.	15.6
Guangzhou Great Power Energy & Technology Co., Ltd.	30.8
Guangzhou Zhiguang Electric Co., Ltd.	33.9
Gulf Cables & Electrical Industries Group Co. KSCP	29.6
Gunkul Engineering Public Co. Ltd.	22.0
Guodian Nanjing Automation Co., Ltd.	28.9
Hainan Jinpan Smart Technology Co., Ltd.	22.0
Hangzhou Steam Turbine Power Group Co., Ltd.	42.2
Hankook & Company Co., Ltd.	19.3
Harbin Electric Co. Ltd.	37.7
Havells India Ltd.	18.5
HBL Power Systems Ltd.	26.9
HD Hyundai Electric Co., Ltd.	27.4
Hebei Sinopack Electronic Technology Co., Ltd.	30.8
HEG Ltd.	25.4
Henan Pinggao Electric Co., Ltd.	29.6
Hengdian Group DMEGC Magnetics Co., Ltd.	29.2
Hexing Electrical Co., Ltd.	28.2
Hirakawa Hewtech Corp.	30.0
Hongfa Technology Co., Ltd.	30.2
Hoymiles Power Electronics, Inc.	37.3
Hubbell, Inc.	17.9
HUBER+SUHNER AG	12.1
Hunan Changyuan Lico Co. Ltd.	33.8
Hunan Yuneng New Energy Battery Material Co., Ltd.	28.6
Hyosung Heavy Industries Corp.	29.9
IDEC Corp.	24.0
ILJIN Holdings Co., Ltd.	42.1
Inox Wind Ltd.	28.3
ITM Power Plc	32.2
Jiangsu Azure Corp.	30.8
Jiangsu Cnano Technology Co., Ltd.	30.3
Jiangsu Haili Wind Power Equipment Technology Co., Ltd.	30.3
Jiangsu Zhongtian Technology Co., Ltd.	29.6
Jiangsu Zongyi Co., Ltd.	31.7
Jinlei Technology Co., Ltd.	28.2
JL MAG Rare-Earth Co., Ltd.	29.4
Johnson Electric Holdings Ltd.	18.7
KBC Corp. Ltd.	29.0
KEI Industries Ltd.	22.3
KOREA ELECTRIC TERMINAL Co., Ltd.	29.1
Kung Long Batteries Industrial Co., Ltd.	25.4
Kyosan Electric Manufacturing Co., Ltd.	21.6
Lagercrantz Group AB	25.5
Legrand SA	15.0
