	Note ESG
ADNOC Drilling Co. PJSC	23.9
Aker Solutions ASA	19.5
Arabian Drilling Co.	30.4
Aspen Aerogels, Inc.	27.8
Baker Hughes Co.	19.1
Boart Longyear Group Ltd.	26.6
Borr Drilling Ltd.	33.1
Bumi Armada Bhd.	21.5
BW Offshore Ltd.	18.0
Cactus, Inc.	26.7
CHC Group Ltd.	30.3
China Oilfield Services Ltd.	32.0
CNOOC Energy Technology & Services Ltd.	27.6
CSI Compressco LP	32.5
Dalipal Holdings Ltd.	30.4
Dayang Enterprise Holdings Bhd.	29.6
Dialog Group Bhd.	19.5
Diamond Offshore Drilling, Inc.	25.9
Dril-Quip, Inc.	19.3
Enerflex Ltd.	23.4
Expro Group Holdings NV	24.3
Forum Energy Technologies, Inc.	32.0
Gaztransport & Technigaz SA	18.0
Guara Norte SARL	36.3
Gulf Marine Services PLC	27.4
Halliburton Co.	23.8
Helix Energy Solutions Group, Inc.	25.5
Helmerich & Payne, Inc.	20.4
HighPeak Energy, Inc.	32.6
Hunter Group ASA	33.4
Hunting Plc	20.4
John Wood Group Plc	17.4
KLX Energy Services Holdings, Inc.	38.3
Kodiak Gas Services, Inc.	22.9
Lapidoth Capital Ltd.	37.8
Liberty Energy, Inc.	30.4
Mammoth Energy Services, Inc.	41.0
Mattr Corp.	28.5
MODEC, Inc.	23.7
Nabors Industries Ltd.	23.8
Newpark Resources, Inc.	30.2
Nine Energy Service, Inc.	31.5
Noble Corp. Plc	27.7
North American Construction Group Ltd.	30.9
NOV, Inc.	25.6
Oceaneering International, Inc.	30.3
Odfjell Drilling Ltd.	24.8
Offshore Oil Engineering Co., Ltd.	32.7
Oil States International, Inc.	24.6
Pason Systems, Inc.	21.2
Patterson-UTI Energy, Inc.	22.8
Petrofac Ltd.	18.4
PGS ASA	15.4
Precision Drilling Corp.	22.6
ProFrac Holding Corp.	33.6
ProPetro Holding Corp.	31.0
RAIZNEXT Corp.	30.6
Ranger Energy Services, Inc.	33.4
RPC, Inc.	25.4
Saipem SpA	21.8
SBM Offshore NV	15.3
Schlumberger Ltd.	18.5
Schoeller-Bleckmann Oilfield Equipment AG	33.6
Sea1 Offshore, Inc.	29.8
Seacor Marine Holdings, Inc.	34.7
Seadrill Ltd.	28.4
Seatrium Ltd.	30.7
Secure Energy Services, Inc.	26.7
Select Water Solutions, Inc.	24.4
Shandong Xinchao Energy Corp. Ltd.	33.7
Shelf Drilling Ltd.	24.8
Sino Geophysical Co., Ltd.	36.7
Sinopec Oilfield Service Corp.	35.9
Solaris Energy Infrastructure, Inc.	29.9
Subsea 7 SA	17.9
TechnipFMC plc	24.6
Técnicas Reunidas SA	19.1
Tenaris SA	23.6
TETRA Technologies, Inc.	29.9
TGS ASA	23.3
Tidewater, Inc.	33.0
Transocean Ltd.	25.1
Trican Well Service Ltd.	26.9
U.S. Silica Holdings, Inc.	28.5
USA Compression Partners LP	34.5
Valaris Ltd.	22.1
Vallourec SA	21.2
Vantage Drilling International Ltd.	35.6
Velesto Energy Bhd.	18.5
Viridien	18.1
Weatherford International plc	23.8
Westcoast Energy, Inc.	19.7
Yantai Jereh Oilfield Services Group Co. Ltd.	32.6
Yinson Holdings Bhd.	15.3
