	Note ESG
Weatherford International plc	23.8
Westcoast Energy, Inc.	19.7
Yantai Jereh Oilfield Services Group Co. Ltd.	32.6
Yinson Holdings Bhd.	15.3
Alicorp SAA	34.4
Almarai Co. Ltd.	33.1
Altria Group, Inc.	27.9
Ambev SA	21.3
Anadolu Efes Biracilik ve Malt Sanayii A.S.	21.3
Andre Maggi Participaçoes SA	36.3
Angel Yeast Co., Ltd.	44.0
Anglo-Eastern Plantations Plc	36.9
Anheuser-Busch Cos. LLC	17.5
Anheuser-Busch InBev SA/NV	21.7
Anhui Golden Seed Winery Co., Ltd.	31.5
Anhui Gujing Distillery Co., Ltd.	32.9
Anhui Kouzi Distillery Co., Ltd.	36.0
Anhui Yingjia Distillery Co., Ltd.	35.0
Anjoy Foods Group Co., Ltd.	44.7
Aragvi Holding International Ltd.	45.3
Arca Continental SAB de CV	26.4
Archer-Daniels-Midland Co.	33.7
ARIAKE JAPAN Co., Ltd.	33.0
Aryzta AG	31.2
Asahi Group Holdings Ltd.	19.2
Associated British Foods Plc	30.2
Astral Foods Ltd.	37.6
Austevoll Seafood ASA	34.4
Australian Agricultural Co. Ltd.	37.1
Avanti Feeds Ltd.	40.1
AVI Ltd.	28.6
B&G Foods, Inc.	34.3
Bacardi Ltd.	21.8
Bakkafrost P/F	31.2
Bakkavor Group Plc	28.1
Baladna QPSC	45.9
Balrampur Chini Mills Ltd.	27.0
BARK, Inc.	43.9
Barry Callebaut AG	23.4
Becle, S.A.B. de C.V.	26.1
Bega Cheese Ltd.	26.8
Beijing Dabeinong Technology Group Co., Ltd.	50.6
Beijing SanYuan Foods Co., Ltd.	40.5
Beijing Shunxin Agriculture Co., Ltd.	37.4
Beijing Yanjing Brewery Co., Ltd.	32.4
Bell Food Group AG	35.5
BellRing Brands, Inc.	30.4
Benson Hill, Inc.	38.6
Betagro Public Co Ltd	38.7
Beyond Meat, Inc.	40.3
Bimbo Bakeries USA, Inc.	30.5
BINGGRAE Co., Ltd.	26.8
Bonduelle SCA	31.2
Boston Beer Co., Inc.	31.8
BrasilAgro Cia Brasileira de Propriedades Agricolas	41.0
BRF SA	21.1
Bright Dairy & Food Co., Ltd.	47.9
Bright Food (Group) Co., Ltd.	44.5
Britannia Industries Ltd.	26.0
British American Tobacco plc	30.3
Britvic Plc	20.7
Brown-Forman Corp.	25.8
Budweiser Brewing Co. APAC Ltd.	17.4
Bumitama Agri Ltd.	29.6
Bunge Ltd.	39.6
C&C Group Plc	26.2
Cal-Maine Foods, Inc.	41.5
Calavo Growers, Inc.	36.0
CALBEE, Inc.	33.6
Camil Alimentos SA	41.4
Campbell Soup Co.	26.3
Carabao Group Public Co. Ltd.	22.7
Cargill, Inc.	27.9
Carlsberg A/S	22.8
Carlsberg Brewery Malaysia Bhd.	23.1
CCL Products (India) Ltd.	37.1
Celsius Holdings, Inc.	38.8
Century Pacific Food, Inc.	34.3
Chacha Food Co., Ltd.	36.7
Charoen Pokphand Enterprise (Taiwan) Co., Ltd.	34.5
Charoen Pokphand Foods Public Co. Ltd.	24.5
Cheng De Lolo Co., Ltd.	31.8
China Animal Husbandry Industry Co., Ltd.	48.4
China Feihe Ltd.	37.1
China Foods Ltd.	34.9
China Mengniu Dairy Co., Ltd.	30.2
China Modern Dairy Holdings Ltd.	40.2
China Resources Beer (Holdings) Co. Ltd.	30.7
China Tobacco International (HK) Co., Ltd.	32.6
China Youran Dairy Group Ltd.	33.5
Chocoladefabriken Lindt & Sprüngli AG	20.9
Chongqing Brewery Co., Ltd.	20.4
Chongqing Fuling Zhacai Group Co., Ltd.	36.3
Chubushiryo Co., Ltd.	46.8
CJ CheilJedang Corp.	26.8
Cloetta AB	23.1
Cobram Estate Olives Ltd.	46.8
Coca-Cola Bottlers Japan Holdings, Inc.	27.7
Coca-Cola Consolidated, Inc.	39.6
Coca-Cola Europacific Partners plc	13.6
Coca-Cola FEMSA SAB de CV	25.2
Coca-Cola HBC AG	17.2
Coca-Cola Icecek AS	17.8
COFCO Corp.	41.7
COFCO International (HK) Ltd.	23.5
COFCO Joycome Foods Ltd.	44.5
COFCO Sugar Holding Co. Ltd.	48.8
Compañía Cervecerías Unidas SA	26.2
Conagra Brands, Inc.	26.9
Constellation Brands, Inc.	26.4
Cranswick Plc	22.8
DAEHAN FLOUR MILLS Co., Ltd.	44.4
Daesang Corp.	36.6
Dali Foods Group Co., Ltd.	25.4
Danone SA	18.0
Darling Ingredients, Inc.	23.2
Davide Campari-Milano NV	20.3
Deoleo SA	25.9
Devro Ltd.	28.9
Diageo Plc	16.5
Dodla Dairy Ltd.	34.7
Dongwon F&B Co., Ltd.	36.8
DONGWON INDUSTRIES Co., Ltd.	33.4
Dwarikesh Sugar Industries Ltd.	35.2
Eastern Co. (Egypt)	34.7
Eastroc Beverage (Group) Co., Ltd.	36.7
Ebro Foods SA	26.8
Embotelladora Andina SA	25.5
Emmi AG	35.1
Emperador, Inc.	31.8
Ezaki Glico Co., Ltd.	32.9
Farm Fresh Bhd.	32.8
Feed One Co., Ltd.	46.0
Fevertree Drinks Plc	23.7
FGV Holdings Bhd.	33.3
First Pacific Co. Ltd.	41.3
