	Note ESG
7-Eleven, Inc.	35.1
Abdullah Al Othaim Markets Co.	23.6
ACOMO NV	11.6
Ain Holdings, Inc.	20.7
Albertsons Cos., Inc.	32.0
Alibaba Health Information Technology Ltd.	19.7
Almacenes Éxito SA	27.1
Almeera Consumer Goods Co. QSC	23.2
Almunajem Foods Co.	21.4
Arcs Co., Ltd.	32.7
Atacadão SA	24.7
Avenue Supermarts Ltd.	30.1
Axfood AB	25.6
Axial Retailing, Inc.	24.2
Belc Co., Ltd.	24.9
Berli Jucker Public Co. Ltd.	22.1
Bestore Co., Ltd.	25.4
BGF Retail Co., Ltd.	20.4
Bid Corp. Ltd.	18.6
BIM Birlesik Magazalar AS	30.6
BinDawood Holding Co.	24.9
Bizim Toptan Satis Magazalari AS	14.4
BJ's Wholesale Club Holdings, Inc.	30.0
Carrefour SA	21.3
Casino, Guichard-Perrachon SA	19.5
Cawachi Ltd.	22.2
Cencosud SA	25.7
Chengdu Hongqi Chain Co., Ltd.	24.7
Chongqing Hongjiu Fruit Co. Ltd.	16.6
CJ Freshway Corp.	17.6
Clicks Group Ltd.	20.7
Coles Group Ltd.	20.6
Colruyt Group NV	25.3
Companhia Brasileira de Distribuicao	24.0
Corporativo Fragua SAB de CV	24.8
COSMOS Pharmaceutical Corp.	28.0
Costco Wholesale Corp.	29.1
CP All Public Co. Ltd.	21.2
CP Axtra Public Co., Ltd. (Old)	16.1
Create SD Holdings Co., Ltd.	17.5
Daikokutenbussan Co., Ltd.	26.5
DFI Retail Group Holdings Ltd.	22.6
Dino Polska SA	28.1
Dis-Chem Pharmacies Ltd.	23.7
Distribuidora Internacional De Alimentacion SA	27.2
DocMorris Ltd.	20.9
Dole Plc	19.0
DONGSUH Cos., Inc.	21.6
Elo SA	26.5
Empire Co. Ltd.	22.7
Empreendimentos Pague Menos SA	19.1
Eurocash SA	25.7
Federated Co-Operatives Ltd.	17.1
Festi hf	28.0
Finatis SA	35.6
Fomento Economico Mexicano SAB de CV	24.7
Genky DrugStores Co., Ltd.	24.2
George Weston Ltd.	29.0
Ghitha Holding PJSC	18.8
Grocery Outlet Holding Corp.	33.8
Grupo Comercial Chedraui SAB de CV	28.9
Grupo Mateus SA	24.6
GS Retail Co., Ltd.	15.2
Hagar hf	26.6
Halows Co., Ltd.	33.9
HEIWADO CO., LTD.	23.6
HelloFresh SE	18.7
HF Foods Group, Inc.	17.7
Hyundai G. F. Holdings Co., Ltd.	18.4
Inageya Co., Ltd.	26.9
Ingles Markets, Inc.	25.6
Innovation New Material Technology Co., Ltd.	29.0
InRetail Perú Corp.	21.6
Itochu-Shokuhin Co., Ltd.	16.0
J Sainsbury Plc	19.1
JD Health International, Inc.	19.6
Jerónimo Martins SGPS SA	16.2
Jiajiayue Group Co., Ltd.	29.5
JM Holdings Co., Ltd.	24.7
