	Note ESG
Abbey Plc	29.2
Azorim-Investment, Development & Construction Co. Ltd.	25.6
Barratt Redrow Plc	9.8
Beazer Homes USA, Inc.	20.5
Bellway Plc	17.0
Berkeley Group Holdings Plc	12.2
Besqab Bostadsutveckling AB	21.4
Bonava AB	14.9
Brookfield Residential Properties, Inc.	22.5
Cairn Homes Plc	13.8
Cavco Industries, Inc.	21.7
Century Communities, Inc.	19.9
Champion Homes, Inc.	20.4
Crest Nicholson Holdings Plc	15.0
Cyrela Brazil Realty SA Empreendimentos e Participações	18.4
D.R. Horton, Inc.	21.6
Danya Cebus Ltd.	22.6
Direcional Engenharia SA	20.8
Dom Development SA	22.6
Dream Finders Homes, Inc.	31.0
Empire Communities Corp.	23.7
ES-CON JAPAN Ltd.	22.3
EZ TEC Empreendimentos e Participaçoes SA	24.0
Gafisa SA	29.5
Glenveagh Properties Plc	14.7
Green Brick Partners, Inc.	24.4
HASEKO Corp.	21.6
Helbor Empreendimentos SA	24.6
Henry Boot Plc	22.4
HEXAOM SA	25.4
Hoosiers Holdings Co., Ltd.	22.9
Hovnanian Enterprises, Inc.	21.6
Iida Group Holdings Co., Ltd.	25.9
Installed Building Products, Inc.	20.3
JM AB	20.9
Karbon Homes Ltd.	25.8
KATITAS Co., Ltd.	21.6
KB Home	17.9
KI-Star Real Estate Co., Ltd.	26.0
Korea Land & Housing Corp.	16.5
Landsea Homes Corp.	19.7
Legacy Housing Corp.	26.6
Lennar Corp.	26.0
LGI Homes, Inc.	30.7
M.D.C. Holdings, Inc.	20.5
M/I Homes, Inc.	19.3
Mattamy Group Corp.	20.8
Meritage Homes Corp.	12.1
Mirvac Group Finance Ltd.	11.3
MJ Gleeson Plc	18.8
MRV Engenharia e Participaçoes SA	22.9
Nagawa Co., Ltd.	24.8
NOKERA AG	14.6
NVR, Inc.	21.0
Oscar Properties Holding AB	24.3
PDG Realty SA Empreendimentos e Participações	20.8
Persimmon Plc	16.3
Prashkovsky Investments & Construction Ltd.	24.3
Pressance Corp.	21.6
PulteGroup, Inc.	21.1
Redrow Plc	12.4
Sekisui House, Ltd.	16.0
Starts Corp., Inc.	23.0
Sumitomo Forestry Co., Ltd.	17.0
Tama Home Co., Ltd.	24.8
Taylor Morrison Home Corp.	16.6
Taylor Wimpey Plc	13.2
The Berkeley Group Plc	16.8
Token Corp.	24.2
Toll Brothers, Inc.	22.4
TopBuild Corp.	16.3
Tri Pointe Homes, Inc.	16.4
United Homes Group, Inc.	25.3
Vistry Group Plc	16.5
