	Note ESG
ABLE C&C Co., Ltd.	33.6
Aekyung Industrial Co., Ltd.	33.2
Amorepacific Corp.	29.4
AmorePacific Group, Inc.	27.0
Artnature, Inc.	34.7
Bajaj Consumer Care Ltd.	28.0
Bath & Body Works, Inc.	26.2
Beiersdorf AG	26.9
Best World International Ltd.	29.3
Blue Moon Group Holdings Ltd.	28.1
By-health Co., Ltd.	37.2
C&C International Co., Ltd.	29.6
C&S Paper Co., Ltd.	32.2
Chlitina Holding Ltd.	29.8
Church & Dwight Co., Inc.	22.7
Colgate-Palmolive (India) Ltd.	27.8
Colgate-Palmolive Co.	24.1
COSMAX, Inc.	32.3
Coty, Inc.	23.9
Dabur India Ltd.	25.4
e.l.f. Beauty, Inc.	21.5
Earth Corp.	25.3
Edgewell Personal Care Co.	25.2
Emami Ltd.	25.0
Essity AB	26.6
euglena Co., Ltd.	30.7
FANCL Corp.	29.9
Fine Foods & Pharmaceuticals N.T.M. SpA	26.4
Galaxy Surfactants Ltd.	24.8
Giant Biogene Holding Co. Ltd.	33.2
Gillette India Ltd.	28.7
Godrej Consumer Products Ltd.	28.3
GR Sarantis SA	32.8
Grape King Bio Ltd.	21.3
Guangdong Marubi Biotechnology Co., Ltd.	27.9
Hangzhou Haoyue Personal Care Co., Ltd.	31.3
Hengan International Group Co., Ltd.	28.8
Henkel AG & Co. KGaA	19.4
Herbalife Ltd.	21.9
Hindustan Unilever Ltd.	21.5
Intercos SpA	26.9
Interparfums	25.0
Interparfums, Inc.	33.9
Jamieson Wellness, Inc.	34.7
Jyothy Labs Ltd.	28.7
Kao Corp.	17.1
Karmarts Public Co. Ltd.	37.0
Kimberly-Clark Corp.	24.5
Kimberly-Clark de México SAB de CV	26.6
Kitanotatsujin Corp.	30.7
Kobayashi Pharmaceutical Co., Ltd.	33.6
Kolmar Korea Co., Ltd.	28.9
KolmarBNH Co., Ltd.	34.2
KOSÉ Corp.	30.0
Kruger Products, Inc.	26.8
L'Oréal SA	19.5
LG H&H Co., Ltd.	28.0
Lion Corp.	27.9
Mandom Corp.	37.5
McBride Plc	22.9
Medifast, Inc.	32.7
Microbio Co., Ltd.	29.2
Midsona AB	25.9
Milbon Co., Ltd.	32.0
Natura &Co Holding SA	24.7
Noevir Holdings Co., Ltd.	27.9
Nu Skin Enterprises, Inc.	27.2
Oil-Dri Corp. of America	29.1
Olaplex Holdings, Inc.	33.5
Ontex Group NV	25.1
Oriflame Holding Ltd.	23.8
Panion & BF Biotech, Inc.	32.8
Perrigo Co. Plc	32.5
Pigeon Corp.	20.4
Pola Orbis Holdings, Inc.	27.3
Procter & Gamble Co.	24.9
Procter & Gamble Hygiene & Health Care Ltd.	25.3
Proya Cosmetics Co., Ltd.	28.7
PT Unilever Indonesia Tbk	18.2
Puig Brands SA	20.9
PZ Cussons Plc	28.3
Reckitt Benckiser Group Plc	18.1
Rohto Pharmaceutical Co., Ltd.	28.8
S.C. Johnson & Son, Inc.	25.3
S.T. Corp.	28.9
Shanghai M&G Stationery, Inc.	29.2
Shiseido Co., Ltd.	23.4
Société BIC SA	25.2
TCI Co., Ltd.	24.7
The Clorox Co.	20.0
The Estée Lauder Companies, Inc.	24.0
Unicharm Corp.	24.5
Unilever Plc	21.6
USANA Health Sciences, Inc.	32.4
Vinda International Holdings Ltd.	30.4
Waldencast Plc	38.0
WD-40 Co.	29.8
YA-MAN Ltd.	33.7
Yunnan Botanee Bio-Technology Group Co., Ltd.	31.5
