	Note ESG
3M Co.	42.9
3M India Ltd.	21.2
Aamal Co. QSC	39.4
AG Anadolu Grubu Holding AS	34.7
Alarko Holding AS	31.2
Alfa SAB de CV	49.1
Alliance Global Group, Inc.	41.9
AntarChile SA	46.7
Arcosa, Inc.	39.7
Arendals Fossekompani ASA	32.8
Astra Industrial Group	47.9
Ayala Corp.	38.1
Bera Holding AS	50.4
Berjaya Corp. Bhd.	40.3
Bonheur ASA	53.5
Brookfield Business Partners LP	46.8
Brookfield Infrastructure Partners LP	39.0
Calix Ltd.	39.7
China Baoan Group Co., Ltd.	53.7
China International Marine Containers (Group) Co., Ltd.	47.3
CIR SpA - Cie Industriali Riunite	39.6
CITIC Ltd.	50.6
CJ Corp.	37.5
CK Hutchison Holdings Ltd.	28.2
Cox Enterprises, Inc.	42.1
DMCI Holdings, Inc.	37.8
Dogan Sirketler Grubu Holding AS	35.5
Doosan Corp.	25.7
Downer EDI Ltd.	31.8
Dubai Investments PJSC	47.1
Eczacibasi Yatirim Holding Ortakligi AS	36.5
Enka Insaat ve Sanayi AS	35.7
Essentra Plc	37.3
Fortive Corp.	27.9
Fosun International Ltd.	34.4
FUJIFILM Holdings Corp.	24.4
GE Aerospace	32.5
Georgia-Pacific LLC	47.3
Glarun Technology Co., Ltd.	40.3
Grupo Carso SAB de CV	49.5
Gulf International Services QSC	47.3
HAKI Safety AB	35.3
Hampiðjan hf.	40.2
HANWHA AEROSPACE Co., Ltd.	41.1
Hanwha Corp.	38.3
Hap Seng Consolidated Bhd.	41.5
Hayleys Plc	40.5
Hillenbrand, Inc.	29.7
Hitachi Ltd.	26.3
HLB GLOBAL Co., Ltd.	44.6
Honeywell Automation India Ltd.	22.2
Honeywell International, Inc.	27.1
Hong Leong Industries Bhd.	33.7
Hosken Consolidated Investments Ltd.	50.6
Huagong Tech Co., Ltd.	47.9
Icahn Enterprises LP	56.3
INDUS Holding AG	41.2
ITOCHU Corp.	34.9
Jardine Cycle & Carriage Ltd.	32.3
Jardine Matheson Holdings Ltd.	36.2
John Keells Holdings Plc	35.4
KAP Ltd.	37.0
Katakura Industries Co., Ltd.	45.7
Kawasaki Heavy Industries Ltd.	35.1
Keihan Holdings Co., Ltd.	47.8
Keppel Ltd.	33.3
Kingkey Financial International (Holdings) Ltd.	46.9
Kintetsu Group Holdings Co., Ltd.	50.1
Koç Holding A.S.	39.1
Kongsberg Gruppen ASA	25.8
KUO SAB de CV	43.3
LG Corp.	39.7
Lifco AB	35.0
Marubeni Corp.	44.0
MBB SE	45.8
MDU Resources Group, Inc.	44.4
Melrose Industries Plc	26.1
Mie Kotsu Group Holdings, Inc.	44.9
Mitsubishi Corp.	39.4
Mitsui & Co., Ltd.	31.8
MITSUI E&S Co., Ltd.	46.2
National Industries Group (Holding) SAK	55.6
Nava Ltd.	35.9
Nisshinbo Holdings, Inc.	41.0
Nolato AB	32.3
Noritake Co., Ltd.	40.4
OPUS GLOBAL Nyrt.	49.4
Orano SA	32.5
OSK Holdings Bhd.	43.0
Panasonic Holdings Corp.	31.1
PT Astra International Tbk	34.5
Quiñenco SA	46.0
Refrigeration Electrical Engineering Corp.	45.3
Reunert Ltd.	29.6
Samsung C&T Corp.	30.1
San Miguel Corp.	40.6
Schouw & Co A/S	39.5
Sekisui Chemical Co., Ltd.	28.7
Shanghai Industrial Holdings Ltd.	46.7
Shun Tak Holdings Ltd.	34.2
Siemens AG	25.8
Siemens Ltd.	31.0
Sigdo Koppers SA	37.8
Sinoma Science & Technology Co., Ltd.	45.1
SK Discovery Co. Ltd.	45.5
SK, Inc.	38.7
Smiths Group Plc	25.0
Sojitz Corp.	38.6
Sotetsu Holdings, Inc.	51.3
Storskogen Group AB	36.4
Swire Pacific Ltd.	39.4
Tatung Co.	24.6
The Bidvest Group Ltd.	37.0
The Siam Cement Public Co. Ltd.	19.9
thyssenkrupp AG	25.6
TOKAI Holdings Corp.	42.4
Top Frontier Investment Holdings, Inc.	48.0
TOSHIBA Corp.	26.7
Toyota Tsusho Corp.	38.9
Transfar Zhilian Co., Ltd.	46.8
Türkiye Sise ve Cam Fabrikalari AS	32.4
Valmont Industries, Inc.	38.0
Yue Xiu Enterprises (Holdings) Co., Ltd.	35.1
