	Note ESG
Abeille Vie SA	24.3
Achmea BV	14.3
Admiral Group Plc	24.2
Aegon Ltd.	14.0
Aflac, Inc.	18.6
African Risk Capacity Ltd.	8.0
ageas SA/NV	15.1
AIA Group Ltd.	14.3
Aksigorta AS	23.9
Al Rajhi Co. for Cooperative Insurance	35.4
Alleghany Corp.	27.3
Allianz Malaysia Bhd.	20.1
Allianz SE	11.3
Allied World Assurance Company Holdings Ltd.	29.0
Alm. Brand A/S	24.0
Ambac Financial Group, Inc.	27.0
American Family Insurance Mutual Holding Co.	23.8
American Financial Group, Inc.	29.0
American International Group, Inc.	23.6
American National Group, Inc.	25.9
AMERISAFE, Inc.	26.6
Anadolu Anonim Türk Sigorta Sirketi AS	26.8
Anicom Holdings, Inc.	30.7
Aon Plc	15.3
Arch Capital Group (U.S.), Inc.	19.1
Arch Capital Group Ltd.	20.3
Argo Group International Holdings, Inc.	21.0
Arthur J. Gallagher & Co.	20.3
ASR Nederland NV	11.2
Assicurazioni Generali SpA	15.7
Assurant, Inc.	23.5
Assured Guaranty Ltd.	24.3
Assured Guaranty US Holdings, Inc.	24.6
Athora Holding Ltd.	21.1
AUB Group Ltd.	17.2
Aviva Plc	14.2
AXA SA	14.1
AXIS Capital Holdings Ltd.	22.5
Bajaj Finserv Ltd.	26.0
Baldwin Insurance Group, Inc.	32.6
Bâloise Holding AG	19.3
Bangkok Insurance Public Co. Ltd.	26.7
Bangkok Life Assurance Public Co., Ltd.	28.2
BB Seguridade Participações SA	17.5
Beazley Plc	16.7
BNP Paribas Cardif SA	13.1
Brighthouse Financial, Inc.	20.8
Brookfield Wealth Solutions Ltd.	33.0
Brown & Brown, Inc.	21.1
Bupa Arabia for Cooperative Insurance Co.	31.3
Caixa Seguridade Participaçoes SA	24.1
Cathay Financial Holdings Co., Ltd.	12.1
Central Reinsurance Corp.	22.0
Challenger Ltd.	17.2
Chesnara Plc	31.2
China Life Insurance Co. Ltd.	23.7
China Pacific Insurance (Group) Co., Ltd.	26.6
China Reinsurance (Group) Corp.	33.1
China Taiping Insurance Holdings Co., Ltd.	30.2
Cholamandalam Financial Holdings Ltd.	30.8
Chubb Ltd.	23.3
Cincinnati Financial Corp.	23.1
Clal Insurance Enterprises Holdings Ltd.	34.4
Clover Health Investments Corp.	32.7
CNA Financial Corp.	28.9
CNO Financial Group, Inc.	17.3
CNP Assurances SA	15.6
Co-operators Financial Services Ltd.	29.3
Coface SA	18.4
Conduit Holdings Ltd.	27.7
Crawford & Co.	23.3
Crédit Agricole Assurances SA	24.1
Dai-ichi Life Holdings, Inc.	26.5
Danica Pension, Livsforsikringsaktieselskab	15.9
DB Insurance Co., Ltd.	24.6
Definity Financial Corp.	19.9
Direct Line Insurance Group Plc	22.2
Discovery Ltd.	14.5
Donegal Group, Inc.	31.8
E-L Financial Corp. Ltd.	35.3
eHealth, Inc.	18.3
Employers Holdings, Inc.	30.3
Enact Holdings, Inc.	22.5
Enstar Group Ltd.	22.0
Equitable Holdings, Inc.	16.2
Erie Indemnity Co.	27.9
F&G Annuities & Life, Inc.	28.0
Fairfax Financial Holdings Ltd.	28.4
Fidelidade Companhia de Seguros SA	14.0
Fidelity National Financial, Inc.	24.4
First American Financial Corp.	25.7
FP Partner, Inc.	24.5
Fubon Financial Holding Co., Ltd.	15.8
Fukoku Mutual Life Insurance Co.	28.4
FWD Group Holdings Ltd.	19.3
General Insurance Corporation of India	34.9
Genertel SpA	26.5
Genworth Financial, Inc.	24.9
Gjensidige Forsikring ASA	17.2
Global Atlantic Financial Co.	19.7
Globe Life, Inc.	20.3
GoHealth, Inc.	25.7
Goosehead Insurance, Inc.	22.1
Great Eastern Holdings Ltd.	26.6
Great-West Lifeco, Inc.	23.2
Greenlight Capital Re Ltd.	35.9
Groupama Assurances Mutuelles SA	23.5
Groupe des Assurances du Crédit Mutuel SA	29.6
Groupe VYV	25.8
Grupo Catalana Occidente SA	16.6
Guoren Property & Casualty Insurance Co., Ltd.	36.1
Hagerty, Inc.	32.1
Hannover Rück SE	17.3
Hanwha General Insurance Co., Ltd.	24.4
HANWHA LIFE INSURANCE Co., Ltd.	31.3
Harel Insurance Investments & Financial Services Ltd.	32.6
HCI Group, Inc.	32.7
HDFC Life Insurance Co. Ltd.	21.2
Health Care Service Corp.	31.1
Helvetia Holding AG	22.5
Hippo Holdings, Inc.	26.0
Hiscox Ltd.	26.4
Horace Mann Educators Corp.	21.9
Hypoport SE	26.0
HYUNDAI MARINE & FIRE INSURANCE Co., Ltd.	26.5
I.D.I. Insurance Co. Ltd.	29.1
iA Financial Corp., Inc.	18.7
ICICI Lombard General Insurance Co. Ltd.	21.9
ICICI Prudential Life Insurance Co. Ltd.	17.8
Insurance Australia Group Ltd.	21.1
Intact Financial Corp.	19.5
Investors Title Co.	29.4
IRB Brasil Resseguros SA	35.4
Jackson National Life Insurance Co.	22.7
James River Group Holdings Ltd.	38.4
Japan Post Holdings Co., Ltd.	22.4
JAPAN POST INSURANCE Co., Ltd.	22.7
Just Group Plc	16.5
Kemper Corp.	27.5
KGI Financial Holding Co., Ltd.	20.0
Kingsway Financial Services, Inc.	30.5
Kinsale Capital Group, Inc.	28.4
Korean Reinsurance Co.	26.9
Kyobo Life Insurance Co., Ltd.	15.5
Lancashire Holdings Ltd.	24.6
Legal & General Group Plc	16.3
Lemonade, Inc.	33.3
Liberty Mutual Group, Inc.	19.7
Life Insurance Corporation of India	33.3
Lifenet Insurance Co.	35.5
Lincoln National Corp.	18.3
Línea Directa Aseguradora SA	18.6
Loews Corp.	28.6
LPI Capital Bhd.	22.7
Maiden Holdings Ltd.	33.8
Manulife Financial Corp.	14.9
Mapfre SA	19.8
Markel Group, Inc.	26.6
Marsh & McLennan Cos., Inc.	20.0
Massachusetts Mutual Life Insurance Co.	14.6
Max Financial Services Ltd.	25.3
MBIA, Inc.	33.3
Medibank Private Ltd.	20.4
Menora Mivtachim Holdings Ltd.	32.3
Mercuries Life Insurance Co., Ltd.	22.2
Mercury General Corp.	29.0
MetLife, Inc.	15.1
Metropolitan Tower Life Insurance Co.	14.6
MGIC Investment Corp.	21.5
Migdal Insurance & Financial Holdings Ltd.	35.1
MIRAE ASSET Life Insurance Co., Ltd.	24.2
Momentum Group Ltd.	20.5
MS&AD Insurance Group Holdings, Inc.	23.5
Muang Thai Life Assurance Public Co. Ltd.	25.9
Münchener Rückversicherungs-Gesellschaft AG	14.7
Mutuelle Assurance Commerçants et Industriels France SAM	26.5
National Western Life Group, Inc.	29.8
Nationwide Financial Services, Inc.	27.4
New China Life Insurance Co., Ltd.	26.2
New York Life Insurance Co.	15.7
NI Holdings, Inc.	28.7
NIB Holdings Ltd.	20.9
NMI Holdings, Inc.	22.9
NN Group NV	14.3
Old Mutual Ltd.	24.6
Old Republic International Corp.	27.2
OUTsurance Group Ltd.	24.1
Pacific LifeCorp	20.8
Pacific Mutual Holding Co.	23.6
Palomar Holdings, Inc.	24.9
PartnerRe Ltd.	30.0
Phoenix Financial Ltd.	32.4
Phoenix Group Holdings Plc	18.5
PICC Property & Casualty Co., Ltd.	30.7
Ping An Insurance (Group) Co. of China Ltd.	15.6
Porto Seguro SA	23.8
Power Corp. of Canada	25.1
Power Financial Corp.	24.0
Powszechny Zaklad Ubezpieczen SA	18.2
Primerica, Inc.	17.7
Principal Financial Group, Inc.	11.2
ProAssurance Corp.	31.3
Progressive Corp.	19.8
Protector Forsikring ASA	25.3
Prudential Financial, Inc.	18.6
Prudential Plc	17.2
PSC Insurance Group Ltd.	24.0
PT Pacific Strategic Financial Tbk	30.9
PT Panin Financial Tbk	28.4
Qatar Insurance Co.	37.7
QBE Insurance Group Ltd.	14.3
Quálitas Controladora SAB de CV	25.8
Reinsurance Group of America, Inc.	18.9
RenaissanceRe Holdings Ltd.	22.5
RLI Corp.	28.1
Root, Inc.	22.0
Ryan Specialty Holdings, Inc.	25.5
Sabre Insurance Group Plc	24.5
Safety Insurance Group, Inc.	28.5
Saga Plc	30.8
Sampo Oyj	13.3
Samsung Fire & Marine Insurance Co., Ltd.	20.1
Samsung Life Insurance Co., Ltd.	18.4
Sanlam Ltd.	20.4
Santam Ltd.	24.9
SBI Life Insurance Co. Ltd.	24.8
SBL Holdings, Inc.	34.9
SCOR SE	17.7
Securian Financial Group, Inc.	21.7
Selective Insurance Group, Inc.	25.1
SelectQuote, Inc.	26.0
Shin Kong Financial Holding Co. Ltd.	19.9
Shinkong Insurance Co., Ltd.	25.0
SiriusPoint Ltd.	26.5
Sjóvá-Almennar tryggingar hf	32.5
Skyward Specialty Insurance Group, Inc.	30.3
Sogécap SA	13.2
Solid Försäkrings AB	27.1
Sompo Holdings, Inc.	21.3
Star Health & Allied Insurance Co. Ltd.	34.0
Steadfast Group Ltd. (Australia)	20.9
Stewart Information Services Corp.	28.4
Storebrand ASA	18.5
Sun Life Financial, Inc.	13.7
Suncorp Group Ltd.	19.4
Sunshine Insurance Group Co. Ltd.	31.9
Sunshine Life Insurance Co., Ltd.	29.8
Swiss Life Holding AG	15.8
Swiss Re AG	12.0
Syarikat Takaful Malaysia Keluarga Bhd.	28.8
T&D Holdings, Inc.	26.3
Talanx AG	15.2
Thai Life Insurance Public Co. Ltd.	30.0
The Allstate Corp.	21.3
The Canada Life Assurance Co.	25.2
The Company for Cooperative Insurance	30.6
The Empire Life Insurance Co.	18.4
The Hanover Insurance Group, Inc.	22.1
The Hartford Financial Services Group, Inc.	16.8
The Independent Order of Foresters	24.6
The New India Assurance Co. Ltd.	32.9
The Northwestern Mutual Life Insurance Co.	21.5
The People's Insurance Co. (Group) of China Ltd.	29.0
The Royal London Mutual Insurance Society Ltd.	28.4
The Society of Lloyd's	28.9
The Travelers Cos., Inc.	20.5
Tiptree, Inc.	34.7
Tokio Marine Holdings, Inc.	17.6
TONGYANG Life Insurance Co., Ltd.	27.9
Topdanmark A/S	20.8
TQM Alpha Public Co. Ltd.	20.0
Trisura Group Ltd.	27.1
TruStage Financial Group, Inc.	23.5
Tryg A/S	19.0
Työllisyysrahasto	23.1
Unédic	29.9
Unipol Gruppo SpA	18.8
UnipolSai Assicurazioni SpA	20.1
UNIQA Insurance Group AG	18.9
United Fire Group, Inc.	30.1
United Services Automobile Association	31.3
Universal Insurance Holdings, Inc.	33.6
Unum Group	16.6
Vátryggingafélag Íslands hf.	24.3
Vaudoise Assurances Holding SA	24.7
Vienna Insurance Group AG	24.9
W.R. Berkley Corp.	21.3
Western & Southern Financial Group, Inc.	27.0
White Mountains Insurance Group Ltd.	21.7
Willis North America, Inc.	16.5
Willis Towers Watson Plc	16.3
Wüstenrot & Württembergische AG	26.4
Zavarovalnica Triglav dd	25.9
ZhongAn Online P&C Insurance Co., Ltd.	27.2
Zurich Insurance Group AG	16.0
