	Note ESG
A. O. Smith Corp.	26.8
Aalberts NV	21.5
Accelleron Industries AG	26.6
ACM Research (Shanghai), Inc.	31.3
ACM Research, Inc.	32.1
Action Construction Equipment Ltd.	31.2
Ag Growth International, Inc.	22.1
AGCO Corp.	17.2
AIA Engineering Ltd.	26.0
Aichi Corp.	29.4
Aida Engineering Ltd.	30.8
Airtac International Group	30.0
Aker Carbon Capture AS	23.0
Alamo Group, Inc.	22.4
Albany International Corp.	27.1
Alfa Laval AB	23.0
Alimak Group AB	22.1
Allison Transmission Holdings, Inc.	29.4
Alstom SA	19.5
AMADA Co., Ltd.	30.1
Anadolu Isuzu Otomotiv Sanayi ve Ticaret AS	23.8
Andritz AG	26.6
ANEST IWATA Corp.	27.5
Anhui Heli Co., Ltd.	33.8
Apex Dynamics, Inc.	30.0
Arla Plast AB	27.3
Asahi Diamond Industrial Co., Ltd.	34.9
Ashok Leyland Ltd.	13.1
Astec Industries, Inc.	28.5
Atlas Copco AB	22.5
ATS Corp.	31.8
Autel Intelligent Technology Co., Ltd.	38.6
Bando Chemical Industries Ltd.	25.6
Barnes Group, Inc.	35.4
Basso Industry Corp. Ltd.	29.2
Beijer Alma AB	28.7
Beijing Capital Eco-Environment Protection Group Co., Ltd.	45.9
Beijing Dahao Technology Corp., Ltd.	32.9
Beijing Huafeng Test & Control Technology Co., Ltd.	36.1
Beijing SinoHytec Co., Ltd.	33.6
Beijing Tianyishangjia New Material Corp. Ltd.	34.1
Bekaert SA	24.0
BELIMO Holding AG	21.7
BEML Ltd.	23.2
Berkshire Grey, Inc.	42.0
Bestway Marine & Energy Technology Co., Ltd.	39.4
Biesse SpA	32.8
Blue Bird Corp.	35.0
Bodycote Plc	29.7
Brunswick Corp.	19.7
Bucher Industries AG	20.2
Bumech SA	34.7
Burckhardt Compression Holding AG	25.9
Bystronic AG	33.2
Carborundum Universal Ltd.	23.5
Carel Industries SpA	22.3
Cargotec Oyj	22.0
Caterpillar, Inc.	28.3
Cavotec SA	38.3
CECO Environmental Corp.	23.8
Chart Industries, Inc.	28.3
Chengdu Leejun Industrial Co., Ltd.	32.0
Chervon Holdings Ltd.	36.5
China CSSC Holdings Ltd.	37.6
China First Heavy Industries	32.7
China High-Speed Railway Technology Co., Ltd.	39.3
China Metal Products Co., Ltd.	29.6
China Railway Construction Heavy Industry Corp. Ltd.	37.0
China Railway Hi-tech Industry Corp. Ltd.	32.1
China Railway Materials Co., Ltd.	32.6
China State Shipbuilding Corp. Ltd.	35.8
CIMC Enric Holdings Ltd.	32.3
CIRCOR International, Inc.	28.7
CITIC Heavy Industries Co., Ltd.	36.9
CKD Corp.	28.5
CNH Industrial NV	13.7
Cochin Shipyard Ltd.	27.5
Columbus McKinnon Corp.	26.6
Commercial Vehicle Group, Inc.	29.3
Concentric AB	21.3
Construcciones y Auxiliar de Ferrocarriles SA	20.0
COSCO Shipping International (Singapore) Co., Ltd.	41.0
Craftsman Automation Ltd.	25.1
Creative & Innovative System Corp.	40.6
CRRC Corp. Ltd.	32.1
CSBC Corp. Taiwan	32.2
Cummins India Ltd.	22.3
Cummins, Inc.	22.8
Daifuku Co., Ltd.	17.0
Daimler Truck Holding AG	25.0
DAIWA INDUSTRIES LTD.	32.7
Dalian Huarui Heavy Industry Group Co., Ltd.	33.4
Danfoss A/S	23.1
Danieli & C. Officine Meccaniche SpA	28.0
DAWONSYS Co., Ltd.	37.2
Deere & Co.	16.3
DEUTZ AG	22.1
DMC Global, Inc.	29.6
DMG MORI AG	29.2
DMG MORI CO., LTD.	35.6
Donaldson Co., Inc.	26.6
Dongfeng Automobile Co., Ltd.	31.9
Dongguan Yiheda Automation Co., Ltd.	34.7
Doosan Bobcat, Inc.	28.3
Doosan Enerbility Co., Ltd.	32.2
Doosan Robotics, Inc.	36.4
Douglas Dynamics, Inc.	36.4
Dover Corp.	24.5
Duroc AB	36.4
Dürr AG	21.5
Eaton Corp.	24.1
Ebara Corp.	23.0
Ecopro HN Co., Ltd.	34.6
Elecon Engineering Co. Ltd.	25.2
Electrolux Professional AB	12.7
ELGI Equipments Ltd.	23.6
Emerson Electric Co.	22.8
Energy Recovery, Inc.	24.5
Enerpac Tool Group Corp.	22.1
engcon AB	25.3
Enpro, Inc.	30.8
Epiroc AB	17.0
ESAB Corp.	30.6
ESCO Technologies, Inc.	29.4
Escorts Kubota Ltd.	17.0
Estun Automation Co., Ltd.	35.8
Evergreen Steel Corp.	29.5
Evoca SpA	17.4
FANUC Corp.	22.3
Faw Jiefang Group Co., Ltd.	33.3
Federal Signal Corp.	25.8
Ferretti SpA	31.1
Fincantieri SpA	13.4
First Tractor Co., Ltd.	30.1
Flowserve Corp.	27.9
FLSmidth & Co. A/S	27.3
Fluidra SA	22.9
Focused Photonics (Hangzhou), Inc.	36.9
Frencken Group Ltd.	28.1
Frontken Corp. Bhd.	32.5
Fuji Corp. (Machinery)	35.2
Fujian Snowman Group Co., Ltd.	33.9
Fujitec Co., Ltd.	29.9
FUKUSHIMA GALILEI CO., LTD.	31.4
Fusheng Precision Co., Ltd.	33.4
Futaba Corp.	33.4
Gaona Aero Material Co., Ltd.	34.2
Garden Reach Shipbuilders & Engineers Ltd.	30.5
Garware Technical Fibres Ltd.	38.7
Gates Industrial Corp. Plc	28.8
GEA Group AG	13.1
Gencor Industries, Inc.	35.4
Georg Fischer AG	21.8
GFC Ltd.	23.7
Giken Ltd.	29.0
Glory Ltd.	23.5
GMM Pfaudler Ltd.	26.0
Graco, Inc.	26.9
Greaves Cotton Ltd.	31.2
Greenbrier Cos., Inc.	34.6
Grenevia SA	33.8
Grupo Rotoplas SAB de CV	24.1
Guangdong Create Century Intelligent Equipment Grp Corp., Ltd.	41.4
Guangdong Dongfang Precision Science & Technology Co., Ltd.	35.5
Guangxi Liugong Machinery Co., Ltd.	36.5
Gudeng Precision Industrial Co., Ltd.	35.1
Haitian International Holdings Ltd.	25.9
Han's Laser Technology Industry Group Co., Ltd.	39.8
Hangcha Group Co., Ltd.	32.8
Hangzhou Oxygen Plant Group Co., Ltd.	39.8
Hanwha Ocean Co., Ltd.	36.2
Hao Tian International Construction Investment Group Ltd.	34.1
Harbin Boshi Automation Co., Ltd.	34.9
Harmonic Drive Systems, Inc.	33.7
HBIS Resources Co., Ltd.	35.7
HD HYUNDAI Co., Ltd.	34.4
HD Hyundai Construction Equipment Co., Ltd.	23.4
HD Hyundai Heavy Industries Co., Ltd.	31.5
HD Hyundai Infracore Co., Ltd.	33.4
HD Hyundai Mipo Co., Ltd.	30.0
HD Korea Shipbuilding & Offshore Engineering Co., Ltd.	23.9
Hefei Meyer Optoelectronic Technology, Inc.	41.6
Heidelberger Druckmaschinen AG	25.9
Helios Technologies, Inc.	26.6
Henan Huanghe Whirlwind Co., Ltd.	36.8
Heracles Holdco BV	19.0
Hexagon Composites ASA	30.1
Himile Mechanical Science & Technology (Shandong) Co., Ltd.	34.1
Hino Motors, Ltd.	33.4
Hirano Tecseed Co., Ltd.	33.5
Hirata Corp.	32.9
Hisaka Works Ltd.	32.5
Hitachi Construction Machinery Co., Ltd.	20.2
HIWIN Technologies Corp.	25.6
HJ SHIPBUILDING & CONSTRUCTION Co., Ltd.	30.9
HOSHIZAKI Corp.	29.2
Hosokawa Micron Corp.	31.3
Hyster-Yale, Inc.	36.1
Hyundai Elevator Co., Ltd.	19.5
HYUNDAI ROTEM Co.	20.9
IDEX Corp.	30.6
IHI Corp.	29.0
ILJIN POWER Co., Ltd.	35.1
Illinois Tool Works Inc.	26.3
Imas Makina Sanayi AS	34.0
IMI Plc	23.4
Infore Environment Technology Group Co., Ltd.	36.4
Ingersoll Rand, Inc.	10.6
Ingersoll-Rand (India) Ltd.	23.4
INNIO Group Holding GmbH	19.2
Interpump Group SpA	27.6
Interroll Holding AG	18.9
Iochpe-Maxion SA	17.4
Ion Exchange (India) Ltd.	29.4
Iseki & Co., Ltd.	28.6
ISGEC Heavy Engineering Ltd.	32.0
ITT, Inc.	22.5
Iveco Group NV	22.8
J.S. Corrugating Machinery Co., Ltd.	35.5
Jain Irrigation Systems Ltd.	26.2
Jiangsu Guomao Reducer Co., Ltd.	36.2
Jiangsu Guoxin Corp. Ltd.	50.6
Jiangsu Hengli Hydraulic Co., Ltd.	38.0
Jiangsu Huahong Technology Stock Co., Ltd.	35.5
Jiangyin Hengrun Heavy Industries Co., Ltd.	36.3
Jingjin Equipment, Inc.	33.0
John Bean Technologies Corp.	25.0
JOST Werke SE	23.4
JUKI Corp.	33.7
Jungheinrich AG	26.6
Kadant Inc.	30.4
Kaishan Group Co. Ltd.	36.9
Kanadevia Corp.	29.4
KANGWON ENERGY Co., Ltd.	36.4
Kaori Heat Treatment Co., Ltd.	33.7
Kardex Holding AG	28.5
Keda Industrial Group Co., Ltd.	36.7
Kelso Technologies, Inc.	29.4
Kennametal, Inc.	19.1
Kepler Weber SA	28.2
King Slide Works Co., Ltd.	19.4
KINGSEMI Co., Ltd.	37.4
Kinik Co.	29.9
KION GROUP AG	26.2
Kirloskar Brothers Ltd.	20.1
Kirloskar Oil Engines Ltd.	31.3
Kirloskar Pneumatic Co. Ltd.	23.7
KITZ Corp.	25.9
Knorr-Bremse AG	16.6
Komatsu Ltd.	22.1
Komax Holding AG	31.7
Komori Corp.	34.9
Kone Oyj	23.9
Konecranes Oyj	13.0
Kornit Digital Ltd.	25.0
Krones AG	28.2
KSB Ltd.	33.9
KSB SE & Co. KGaA	29.9
Kubota Corp.	19.5
Kunshan Kinglai Hygienic Materials Co., Ltd.	33.7
Kurita Water Industries Ltd.	23.3
Kyokuto Kaihatsu Kogyo Co., Ltd.	36.4
L.K. Technology Holdings Ltd.	24.9
Latham Group, Inc.	33.9
Leader Harmonious Drive Systems Co., Ltd.	34.5
Lincoln Electric Holdings, Inc.	21.0
Lindsay Corp.	22.5
LISI SA	24.4
Lizhong Sitong Light Alloys Group Co., Ltd.	45.6
LMW Ltd.	28.4
Longhua Technology Group (Luoyang) Co., Ltd.	38.2
Lonking Holdings Ltd.	32.4
Luoyang Xinqianglian Slewing Bearing Co., Ltd.	33.0
Luxfer Holdings Plc	24.5
Makino Milling Machine Co., Ltd.	33.4
Makita Corp.	27.3
Malibu Boats, Inc.	21.4
Manitou BF SA	26.2
Marcopolo SA	28.7
Marel hf	32.9
Mastercraft Boat Holdings, Inc.	28.7
Max Co., Ltd.	28.6
Mayville Engineering Co., Inc.	27.9
Mazagon Dock Shipbuilders Ltd.	29.1
Meidensha Corp.	22.6
Meier Tobler Group AG	36.5
METAWATER Co., Ltd.	27.5
Metso Corp.	26.7
Millat Tractors Ltd.	23.6
Miller Industries, Inc. (Tennessee)	33.6
MISUMI Group, Inc.	30.9
Mitsubishi Heavy Industries, Ltd.	26.7
Mitsubishi Logisnext Co., Ltd.	32.7
Mitsuboshi Belting Ltd.	31.4
Miura Co., Ltd.	32.3
Moon Environment Technology Co., Ltd.	36.2
Morgan Advanced Materials Plc	30.5
Morimatsu International Holdings Co., Ltd.	29.3
MORITA HOLDINGS CORP.	32.1
Mueller Industries, Inc.	22.4
Mueller Water Products, Inc.	28.5
Nabtesco Corp.	18.0
Nachi-Fujikoshi Corp.	40.9
Nederman Holding AB	27.7
NEL ASA	28.1
Nesco Ltd.	27.2
NFI Group, Inc.	30.3
NGK Insulators, Ltd.	20.5
NIBE Industrier AB	26.2
Nihon Trim Co., Ltd.	33.6
Nikkiso Co., Ltd.	28.5
Nikola Corp.	36.1
Nilfisk Holding A/S	25.9
Ningbo Deye Technology Co., Ltd.	39.3
Ningbo Haitian Precision Machinery Co., Ltd.	40.1
Ningbo Zhenyu Technology Co., Ltd.	35.5
Nippon Sharyo, Ltd.	31.5
Nippon Thompson Co., Ltd.	32.0
Nissei ASB Machine Co., Ltd.	34.0
Nitta Corp.	25.0
Nitto Kohki Co., Ltd.	32.1
Nittoku Co., Ltd.	38.7
Nomura Micro Science Co., Ltd.	30.6
Nordson Corp.	24.1
NORMA Group SE	20.0
NTN Corp.	25.8
NX Filtration NV	22.5
Obara Group, Inc.	32.7
