	Note ESG
4imprint Group Plc	16.5
Accel Entertainment, Inc.	19.5
Advantage Solutions, Inc. (California)	20.5
Alibaba Pictures Group Ltd.	17.1
Alma Media Oyj	12.7
Altice France SA	13.4
Altice USA, Inc.	22.1
AMC Entertainment Holdings, Inc.	18.1
AMC Networks, Inc.	24.9
Amuse, Inc.	17.8
ANYCOLOR, Inc.	21.2
APG SGA SA	17.6
Arabian Contracting Services Co.	21.0
Arnoldo Mondadori Editore SpA	12.2
Ascential Plc	12.9
Astro Malaysia Holdings Bhd.	13.2
Atlanta Braves Holdings, Inc.	16.1
ATRESMEDIA Corporacion de Medios de Comunicación SA	10.6
Avex, Inc.	20.9
Beasley Broadcast Group, Inc.	20.6
BEC World Public Co., Ltd.	13.9
Beijing Enlight Media Co., Ltd.	17.8
Beijing Gehua CATV Network Co., Ltd.	25.0
Believe SA	14.2
Bertelsmann SE & Co. KGaA	9.0
Bloomsbury Publishing Plc	12.7
Bolloré SE	12.7
Borussia Dortmund GmbH & Co. KGaA	14.8
Boston Omaha Corp.	23.8
Bowlero Corp.	18.7
British Broadcasting Corp.	13.0
Cable One, Inc.	14.4
Cairo Communication SpA	15.6
Canadian Broadcasting Corp.	14.7
Central China Land Media Co., Ltd.	16.6
Charge Enterprises, Inc.	21.2
Cheil Worldwide, Inc.	16.1
China Film Co., Ltd.	17.2
China Literature Ltd.	10.4
China Publishing & Media Holdings Co., Ltd.	16.3
China Ruyi Holdings Ltd.	16.1
China Science Publishing & Media Ltd.	17.0
China South Publishing & Media Group Co., Ltd.	15.5
Chinese Universe Publishing & Media Group Co., Ltd.	15.0
Cinemark Holdings, Inc.	19.4
Cineplex, Inc.	16.8
CITIC Press Corp.	14.8
CJ CGV Co., Ltd.	14.6
CJ ENM Co., Ltd.	15.6
Clear Channel Outdoor Holdings, Inc.	16.1
Cogeco Communications, Inc.	11.0
Cogeco, Inc.	12.4
Compagnie de l'Odet SE	15.7
Corus Entertainment, Inc.	14.3
COVER Corp.	20.8
Cox Communications, Inc.	20.8
CTS Eventim AG & Co. KGaA	15.3
Cumulus Media, Inc.	12.7
CyberAgent, Inc.	17.2
Cyfrowy Polsat SA	17.6
Daiichikosho Co., Ltd.	19.6
Daily Journal Corp.	14.6
DB Corp. Ltd.	12.0
Dentsu Group, Inc.	15.9
Digital Holdings, Inc.	18.8
Direct Marketing MiX Inc.	14.6
DISH Network Corp.	22.4
Dolby Laboratories, Inc.	11.6
Emerald Expositions Events, Inc.	18.1
Eniro Group AB	14.9
Entravision Communications Corp.	18.9
Eutelsat Communications SA	11.8
EVT Ltd.	15.7
eXp World Holdings, Inc.	20.6
FAN Communications, Inc.	21.0
Focus Media Information Technology Co., Ltd.	19.4
Fox Corp.	12.2
fuboTV, Inc.	19.4
Fuji Media Holdings, Inc.	19.4
Future Plc	9.3
Gakken Holdings Co., Ltd.	16.4
Gannett Co., Inc.	15.2
Gentoo Media, Inc.	18.5
Globo Comunicação e Participações SA	11.8
Gray Television, Inc.	19.1
Grupo Televisa SAB	15.5
Guangdong Advertising Group Co. Ltd.	23.1
Guangdong Guangzhou Daily Media Co., Ltd.	20.0
Guizhou Broadcasting & TV Information Network Co., Ltd.	20.8
Hakuhodo DY Holdings, Inc.	19.3
Hangzhou Onechance Tech Corp.	19.8
HT Media Ltd.	16.0
Hubei Broadcasting & Television Information Network Co., Ltd.	21.4
Hunan TV & Broadcast Intermediary Co., Ltd.	23.0
HYBE Co., Ltd.	16.6
iHeartMedia, Inc.	13.7
IMAX China Holding, Inc.	14.6
IMAX Corp.	18.3
Informa Plc	9.3
Inmyshow Digital Technology (Group) Co., Ltd.	21.9
Innocean Worldwide, Inc.	18.3
INTAGE HOLDINGS, Inc.	19.5
Interpublic Group of Cos., Inc.	8.9
iQIYI, Inc.	20.1
ITV Plc	10.2
JCDecaux SE	13.1
Jiangsu Broadcasting Cable Information Network Corp. Ltd.	17.9
Jiangsu Phoenix Publishing & Media Corp., Ltd.	17.3
John Wiley & Sons, Inc.	13.3
Juventus Football Club SpA	17.9
JYP Entertainment Corp.	15.6
Kadokawa Corp.	12.3
Kinepolis Group NV	16.7
Lamar Advertising Co.	18.5
Liberty Broadband Corp.	18.6
Liberty Latin America Ltd.	19.0
Liberty Media Corp.	19.0
Liberty Media Corp. Liberty Braves	13.3
Lifull Co., Ltd.	16.3
Lions Gate Entertainment Corp.	18.1
Live Nation Entertainment, Inc.	17.3
Madison Square Garden Sports Corp.	17.4
Major Cineplex Group Public Co. Ltd.	16.2
Mango Excellent Media Co., Ltd.	17.9
Mediawan SAS	16.6
Métropole Télévision SA	12.2
MFE-MEDIAFOREUROPE NV	14.6
Moment Group AB	20.5
MultiChoice Group Ltd.	14.8
Netflix, Inc.	15.6
Network18 Media & Investments Ltd.	15.7
News Corp.	10.0
Nexstar Media Group, Inc.	15.6
Next 15 Group Plc	20.1
Nine Entertainment Co. Holdings Ltd.	14.8
Nippon Television Holdings, Inc.	17.7
Omnicom Group, Inc.	14.6
oOh!media Ltd.	16.7
Oriental Pearl Group Co. Ltd.	18.6
Paramount Global	13.9
Pearson Plc	6.7
People.cn Co., Ltd.	15.7
PIA Corp.	20.8
Plan B Media Public Co. Ltd.	15.9
ProSiebenSat.1 Media SE	11.8
Proto Corp.	15.3
PT Elang Mahkota Teknologi Tbk	14.2
PT Global Mediacom Tbk	18.1
PT MD Entertainment Tbk	18.0
PT Media Nusantara Citra Tbk	17.9
PT MNC Digital Entertainment Tbk	19.4
PT Surya Citra Media Tbk	15.6
Publicis Groupe SA	9.7
PVR INOX Ltd.	20.7
R.S. Public Co. Ltd.	16.7
Rai-Radiotelevisione Italiana SpA	11.9
RCS MediaGroup SpA	12.9
Reach Plc	8.4
RELX Plc	7.8
Roku, Inc.	16.9
RTL Group SA	14.6
S.M. Entertainment Co., Ltd.	16.5
S4 Capital Plc	18.7
Sanoma Oyj	11.3
Saregama India Ltd.	12.1
Saudi Research & Media Group	16.4
Schibsted ASA	8.4
Scholastic Corp.	15.0
Septeni Holdings Co., Ltd.	16.9
SES SA	14.8
Seven West Media Ltd.	15.7
Shandong Publishing & Media Co., Ltd.	15.4
Shenzhen Topway Video Communication Co., Ltd.	21.5
Shochiku Co., Ltd.	21.8
Sinclair, Inc.	18.2
SiriusXM Holdings, Inc.	16.0
Sky Ltd.	12.6
SKY Network Television Ltd.	18.3
SKY Perfect JSAT Holdings, Inc.	20.3
Songcheng Performance Development Co., Ltd.	19.9
Southern Cross Media Group Ltd.	12.8
Southern Publishing & Media Co. Ltd.	16.6
Spanish Broadcasting System, Inc.	18.5
Sphere Entertainment Co.	18.7
Star CM Holdings Ltd.	18.7
Ströer SE & Co. KGaA	12.2
Studio Dragon Corp.	16.2
STV Group Plc	14.0
Sun TV Network Ltd.	14.8
TBS Holdings, Inc.	17.5
TEGNA, Inc.	13.7
Television Broadcasts Ltd.	19.1
Télévision Française 1 SA	13.5
The E.W. Scripps Co.	13.2
The New York Times Co.	10.1
The Walt Disney Co.	15.1
Thomson Reuters Corp.	13.5
Three’s Company Media Group Co., Ltd.	21.9
Thryv Holdings, Inc.	14.1
Time Publishing & Media Co., Ltd.	16.9
TKO Group Holdings, Inc.	17.2
Toei Animation Co., Ltd.	18.2
Toei Co., Ltd.	19.4
Toho Co., Ltd. (9602)	14.8
Townsquare Media, Inc.	21.0
TV Asahi Holdings Corp.	20.5
TV TOKYO Holdings Corp.	17.9
TV18 Broadcast Ltd.	15.4
TX Group AG	13.1
Universal Music Group NV	10.0
Urban One, Inc.	20.2
ValueCommerce Co., Ltd.	17.1
Vector, Inc.	19.1
VGI Public Co. Ltd.	12.6
Viaplay Group AB	9.1
Vidéotron Ltée	20.3
Viva Goods Co. Ltd.	17.0
Vivendi SE	10.8
Vivid Seats, Inc.	18.1
Wanda Film Holding Co., Ltd.	20.9
Warner Bros. Discovery, Inc.	18.1
Warner Music Group Corp.	16.9
Wasu Media Holding Co., Ltd.	22.1
WideOpenWest, Inc.	20.7
WOONGJIN THINKBIG Co., Ltd.	17.3
WOWOW, Inc.	19.4
WPP Plc	8.9
WYSIWYG STUDIOS Co., Ltd.	22.0
XinhuaNet Co., Ltd.	20.0
YeaRimDang Publishing Co., Ltd.	16.3
YG Entertainment, Inc.	17.2
Zee Entertainment Enterprises Ltd.	15.2
Zenrin Co., Ltd.	15.9
Zhejiang Daily Digital Culture Group Co., Ltd.	20.2
Zhejiang Huace Film & TV Co., Ltd.	20.2
ZIGExN Co., Ltd.	18.8
