	Note ESG
Advantage Energy Ltd.	38.6
Africa Oil Corp.	44.6
Aker BP ASA	35.3
Alliance Resource Partners LP	54.6
Alpha Metallurgical Resources, Inc.	52.0
Amplify Energy Corp.	46.3
Antero Resources Corp.	34.5
Antong Holdings Co., Ltd.	53.8
APA Corp.	43.1
ARC Resources Ltd.	30.2
Arch Resources, Inc.	44.1
Arrow Exploration Corp.	54.7
Athabasca Indigenous Midstream LP	35.1
Athabasca Oil Corp.	53.8
Bangchak Sriracha PCL	50.0
Banpu Public Co. Ltd.	44.1
Baotailong New Materials Co., Ltd.	50.5
Baytex Energy Corp.	46.6
Beach Energy Ltd.	41.9
Beijing Haohua Energy Resource Co., Ltd.	54.0
Berry Corp.	51.2
Birchcliff Energy Ltd.	43.9
Bisichi Plc	65.3
BlueNord ASA	56.1
BP Plc	33.2
Brava Energia	56.7
BW Energy Ltd.	58.3
California Resources Corp.	35.6
Callon Petroleum Co.	37.9
Canacol Energy Ltd.	24.4
Canadian Natural Resources Ltd.	32.6
Capricorn Energy Plc	26.0
Cardinal Energy Ltd.	50.7
Carnarvon Energy Ltd.	48.5
CCS Supply Chain Management Co., Ltd.	53.0
Cenovus Energy, Inc.	42.8
Centrus Energy Corp.	54.9
Chesapeake Energy Corp.	36.4
Chevron Corp.	38.4
China Coal Energy Co., Ltd.	56.7
China Coal Xinji Energy Co., Ltd.	51.9
China National Petroleum Corp.	67.6
China Petrochemical Corp.	66.9
China Petroleum & Chemical Corp.	52.1
China Qinfa Group Ltd.	47.1
China Risun Group Ltd.	61.1
China Shenhua Energy Co., Ltd.	43.0
Chord Energy Corp.	35.1
Civitas Resources, Inc.	36.7
CNOOC Ltd.	48.2
CNOOC Petroleum North America ULC	42.7
CNX Resources Corp.	44.3
Coal Energy SA	65.5
Coal India Ltd.	41.4
Comstock Resources, Inc.	64.1
ConocoPhillips	33.1
CONSOL Energy, Inc.	42.3
Continental Resources, Inc.	41.0
Cooper Energy Ltd.	47.6
Core Laboratories Inc.	40.9
Coronado Global Resources, Inc.	44.4
Coterra Energy, Inc.	32.7
Crescent Energy Co.	43.2
Crew Energy, Inc.	41.4
Dana Gas PJSC	43.8
Denbury, Inc.	34.6
Devon Energy Corp.	31.6
Diamondback Energy, Inc.	37.3
Diversified Energy Co. Plc	37.8
DNO ASA	48.4
Ecopetrol SA	44.4
Empire Petroleum Corp.	58.4
Empresa Nacional del Petróleo SA	43.7
Enauta Participações SA	31.1
Energean Plc	31.5
Enerplus Corp.	41.0
Eni SpA	25.9
EnQuest Plc	50.1
EOG Resources, Inc.	34.4
EQT Corp.	31.7
Equinor ASA	36.6
Établissements Maurel & Prom SA	41.8
Exxaro Resources Ltd.	37.2
Exxon Mobil Corp.	43.7
Freehold Royalties Ltd.	8.1
Frontera Energy Corp.	35.3
Galp Energia SGPS SA	30.2
Gansu Energy Chemical Co., Ltd.	53.6
GeoPark Ltd.	33.7
Golden Energy & Resources Pte Ltd.	53.2
Gran Tierra Energy, Inc.	37.3
Granite Ridge Resources, Inc.	50.5
Greenfire Resources Ltd.	52.5
Guanghui Energy Co., Ltd.	59.2
Guizhou Panjiang Refined Coal Co., Ltd.	71.9
Gujarat Mineral Development Corp. Ltd.	43.6
Gulf Keystone Petroleum Ltd.	53.5
Gulfport Energy Corp.	43.0
Hallador Energy Co.	56.8
Harbour Energy Plc	31.0
Headwater Exploration, Inc.	50.2
Henan Shenhuo Coal Industary & Electricity Power Corp. Ltd.	60.6
Hess Corp.	32.0
Hibiscus Petroleum Bhd.	36.5
Huaibei Mining Holdings Co., Ltd.	58.4
Hunt Oil Company of Peru LLC	43.4
Imperial Oil Ltd.	43.8
Inner Mongolia Yitai Coal Co., Ltd.	54.0
INPEX Corp.	33.6
International Petroleum Corp.	37.1
Japan Petroleum Exploration Co., Ltd.	35.6
Jiangxi Jovo Energy Co., Ltd.	52.6
Jinneng Holding Shanxi Coal Industry Co., Ltd.	53.7
Jizhong Energy Resources Co., Ltd.	61.5
Karoon Energy Ltd.	50.5
Kelt Exploration Ltd.	46.6
Kinetic Development Group Ltd.	46.7
Korea National Oil Corp.	33.9
Kosmos Energy Ltd.	39.8
Liaoning Energy Industry Co., Ltd.	52.7
Lubelski Wegiel BOGDANKA SA	36.8
Magnolia Oil & Gas Corp.	47.2
Maha Energy AB	51.8
Marathon Oil Corp.	39.8
Matador Resources Co.	49.3
MEG Energy Corp.	33.9
Moeve Global	23.9
MOL Hungarian Oil & Gas Plc	33.1
Murphy Oil Corp.	37.6
NACCO Industries, Inc.	49.5
Naphtha Israel Petroleum Corp. Ltd.	58.3
National Company KazMunayGas JSC	33.1
National Fuel Gas Co.	38.4
New Hope Corp. Ltd.	40.8
Newmed Energy LP	52.2
Nippon Coke & Engineering Co., Ltd.	61.8
Northern Oil & Gas, Inc.	57.2
Nostrum Oil & Gas Plc	29.2
NuVista Energy Ltd.	46.0
Obsidian Energy Ltd.	46.8
Occidental Petroleum Corp.	37.8
Oil & Gas Development Co. Ltd.	45.3
Oil & Natural Gas Corp. Ltd.	52.3
Oil India Ltd.	39.8
OMV AG	25.8
OMV Petrom SA	28.9
Orrön Energy AB	41.5
Ovintiv, Inc.	37.3
Pakistan Oilfields Ltd.	42.7
Pakistan Petroleum Ltd.	45.9
Pan American Energy SL	26.1
Panoro Energy ASA	49.0
Paramount Resources Ltd.	42.5
Parex Resources, Inc.	21.7
Peabody Energy Corp.	49.7
Permian Resources Corp.	64.6
PetroChina Co., Ltd.	55.6
Petróleo Brasileiro SA	31.3
Petroleos Del Peru - Petroperu SA	63.5
Petróleos Mexicanos EPE	57.8
Petroliam Nasional Bhd.	60.5
PETRONAS Energy Canada Ltd.	29.3
Petrorecôncavo SA	41.7
PetroTal Corp.	42.5
Petroteq Energy, Inc.	56.7
Peyto Exploration & Development Corp.	44.9
Pharos Energy Plc	50.3
Pine Cliff Energy Ltd.	46.6
Pingdingshan Tianan Coal Mining Co., Ltd.	55.8
Pioneer Natural Resources Co.	28.1
Poinsettia LP	54.1
PrairieSky Royalty Ltd.	9.6
PrimeEnergy Resources Corp.	51.5
PRIO SA	60.4
PT ABM Investama Tbk	46.5
PT Adaro Energy Indonesia Tbk	42.7
PT Adaro Indonesia	50.1
PT Adaro Minerals Indonesia	53.1
PT Alfa Energi Investama Tbk	60.9
PT Bayan Resources Tbk	50.7
PT Bukit Asam Tbk	33.9
PT Bumi Resources Tbk	47.9
PT Delta Dunia Makmur Tbk	34.7
PT Energi Mega Persada Tbk	39.0
PT Golden Eagle Energy Tbk	47.4
PT Golden Energy Mines Tbk	39.2
PT Harum Energy Tbk	50.8
PT Indika Energy Tbk	39.9
PT Indo Tambangraya Megah Tbk	33.5
PT Medco Energi Internasional Tbk	29.1
PT Pertamina (Persero)	26.9
PT Prima Andalan Mandiri Tbk	42.9
PT United Tractors Tbk	38.8
PTT Exploration & Production Plc	30.2
PTT Public Co., Ltd.	32.6
QatarEnergy Corp.	39.0
QatarEnergy LNG S(1)	57.7
Rain Industries Ltd.	46.9
Ramaco Resources, Inc.	58.6
Range Resources Corp.	40.3
Repsol SA	24.1
Riley Exploration Permian, Inc.	52.9
Ring Energy, Inc.	53.5
Sadovaya Group	67.1
SandRidge Energy, Inc.	56.3
Santos Ltd.	39.8
Saudi Arabian Oil Co.	47.0
Semirara Mining & Power Corp.	47.0
Seplat Energy Plc	41.6
Serica Energy Plc	31.6
Shaanxi Coal Industry Co., Ltd.	51.8
Shan Xi Hua Yang Group New Energy Co. Ltd.	61.1
Shanxi Blue Flame Holding Co., Ltd.	53.5
Shanxi Coking Co., Ltd.	49.0
Shanxi Coking Coal Energy Group Co., Ltd.	58.7
Shanxi Guoxin Energy Corp. Ltd.	50.6
Shanxi Lanhua Sci-Tech Venture Co., Ltd.	50.9
Shanxi Lu'An Environmental Energy Development Co., Ltd.	60.6
Shanxi Meijin Energy Co., Ltd.	50.3
Shell Plc	38.1
SierraCol Energy Ltd.	20.0
SilverBow Resources, Inc.	49.7
Sinochem Overseas Capital Co. Ltd.	51.7
Sitio Royalties Corp.	44.5
SK Innovation Co., Ltd.	33.6
SM Energy Co.	38.0
Societatea Nationala de Gaze Naturale ROMGAZ SA	29.7
Southwestern Energy Co.	39.4
Spartan Delta Corp.	42.8
Stanmore Resources Ltd.	44.1
Strata Power Corp.	57.2
Strathcona Resources Ltd.	54.2
Strike Energy Ltd.	52.3
Suncor Energy, Inc.	36.8
Superior Plus LP	47.4
Surge Energy, Inc.	48.7
Talos Energy, Inc.	40.2
Tamarack Valley Energy Ltd.	45.2
Tengizchevroil LLP	57.2
TerraCom Ltd.	49.8
Tethys Oil AB	42.5
Texas Pacific Land Corp.	14.1
The Lanna Resources Public Co., Ltd.	45.0
Thungela Resources Ltd.	42.7
Topaz Energy Corp.	7.2
TotalEnergies SE	30.1
Tourmaline Oil Corp.	35.3
Tullow Oil Plc	45.7
United Energy Group Ltd.	66.2
VAALCO Energy, Inc.	52.5
Vår Energi ASA	27.9
Veren, Inc.	41.1
Vermilion Energy, Inc.	25.8
Viper Energy, Inc.	22.0
Vista Energy SAB de CV	31.0
Vital Energy, Inc.	28.9
Vitesse Energy, Inc.	47.7
W&T Offshore, Inc.	61.1
Whitecap Resources, Inc.	49.9
Whitehaven Coal Ltd.	40.6
Wintershall Dea AG	25.9
Woodside Energy Group Ltd.	26.5
Xinjiang Xintai Natural Gas Co., Ltd.	52.7
Yancoal Australia Ltd.	46.3
Yangarra Resources Ltd.	45.5
Yankuang Energy Group Co., Ltd.	51.7
YPF SA	46.2
