	Note ESG
Altri SGPS SA	11.9
Arctic Paper SA	20.9
Boise Cascade Co.	26.1
Canfor Corp.	23.1
Celulosa Arauco y Constitución SA	24.3
Century Plyboards (India) Ltd.	23.4
Chung Hwa Pulp Corp.	27.3
Clearwater Paper Corp.	22.5
Daio Paper Corp.	27.6
Dexco SA	11.8
DONGWHA ENTERPRISE Co., Ltd.	30.9
Empresas CMPC SA	21.9
ENCE Energia y Celulosa, SA	13.3
Enviva, Inc.	29.2
Glatfelter Corp.	21.3
Greenpanel Industries Ltd.	24.9
Greenply Industries Ltd.	34.5
Hansol Paper Co., Ltd.	18.9
Hokuetsu Corp.	23.2
Holmen AB	19.9
Iberpapel Gestión SA	23.5
Interfor Corp.	19.7
International Paper Co.	23.4
Inversiones CMPC SA	18.5
Jaya Tiasa Holdings Bhd.	23.0
JK Paper Ltd.	25.4
KPP Group Holdings Co., Ltd.	26.0
Lee & Man Paper Manufacturing Ltd.	22.2
Longchen Paper & Packaging Co. Ltd.	23.5
MCC Meili Cloud Computing Industry Investment Co., Ltd.	30.7
Mercer International, Inc.	17.6
Metsä Board Oyj	17.6
Middle East Paper Co.	20.9
Mondi Plc	11.7
Nine Dragons Paper Holdings Ltd.	31.0
Nippon Paper Industries Co., Ltd.	27.1
Nordic Paper Holding AB	22.9
Norske Skog ASA	23.1
Oji Holdings Corp.	24.2
PotlatchDeltic Corp.	16.0
PT Indah Kiat Pulp & Paper Tbk	26.4
PT OKI Pulp & Paper Mills	23.0
PT Pabrik Kertas Tjiwi Kimia Tbk	30.4
Rayonier Advanced Materials, Inc.	25.5
Rottneros AB	24.3
S. Kijchai Enterprise Public Co., Ltd.	25.0
Sappi Ltd.	15.3
Satia Industries Ltd.	29.4
Semapa Sociedade de Investimento e Gestão SGPS SA	28.3
Seshasayee Paper & Boards Ltd.	20.5
Shandong Bohui Paper Industry Co., Ltd.	29.4
Shandong Chenming Paper Holdings Ltd.	35.5
Shandong Huatai Paper Co., Ltd.	32.0
Shandong Sunpaper Co., Ltd.	32.2
Shanying International Holdings Co., Ltd.	33.6
Stella-Jones, Inc.	25.3
Stora Enso Oyj	15.6
Suzano SA	17.7
Svenska Cellulosa AB SCA	17.4
Sylvamo Corp.	26.0
Ta Ann Holdings Bhd.	22.0
The Navigator Co. SA	12.7
Tokushu Tokai Paper Co., Ltd.	27.2
UPM-Kymmene Oyj	14.9
West Coast Paper Mills Ltd.	20.0
West Fraser Timber Co. Ltd.	17.8
Weyerhaeuser Co.	15.3
Xianhe Co., Ltd.	27.2
YFY, Inc.	28.1
Yueyang Forest & Paper Co., Ltd.	28.1
Zhongfu Straits (Pingtan) Development Co., Ltd.	30.3
