	Note ESG
10X Genomics, Inc.	22.5
23andMe Holding Co.	21.4
2seventy Bio, Inc.	35.9
3D Medicines, Inc.	32.4
3SBio, Inc.	24.0
4D Molecular Therapeutics, Inc.	35.1
89bio, Inc.	32.9
Aadi Bioscience, Inc.	26.4
Aarti Drugs Ltd.	34.9
AbbVie, Inc.	26.1
AbCellera Biologics, Inc.	28.7
AbClon, Inc.	32.5
Abivax SA	33.3
ABL Bio, Inc.	37.1
Abliva AB	29.2
ACADIA Pharmaceuticals, Inc.	32.2
Aclaris Therapeutics, Inc.	32.7
Acrivon Therapeutics, Inc.	35.8
Active Biotech AB	28.1
Adaptive Biotechnologies Corp.	18.9
Adicet Bio, Inc.	26.6
Adimmune Corp.	26.7
ADMA Biologics, Inc.	34.5
Aerovate Therapeutics, Inc.	30.3
Agenus, Inc.	36.9
Agilent Technologies, Inc.	11.4
Agios Pharmaceuticals, Inc.	26.6
AIM Vaccine Co., Ltd.	27.5
Ajanta Pharma Ltd.	30.7
Akero Therapeutics, Inc.	37.6
Akeso, Inc.	32.3
Akoya Biosciences, Inc.	31.8
Aldeyra Therapeutics, Inc.	40.1
Alector, Inc.	27.3
Alembic Pharmaceuticals Ltd.	35.2
ALK-Abello A/S	28.6
Alkem Laboratories Ltd.	35.9
Alkermes Plc	22.8
Allakos, Inc.	32.8
Alligator Bioscience AB	41.6
Allogene Therapeutics, Inc.	25.2
AlloVir, Inc.	31.3
Almirall SA	16.3
Alnylam Pharmaceuticals, Inc.	26.7
Alphamab Oncology	32.6
Alpine Immune Sciences, Inc.	29.7
Alteogen, Inc.	29.4
Altimmune, Inc.	37.1
Alvotech	29.5
ALX Oncology Holdings, Inc.	35.9
Amgen, Inc.	22.8
Amicogen, Inc.	26.7
Amicus Therapeutics, Inc.	27.5
Amneal Intermediate, Inc.	33.8
Amphastar Pharmaceuticals, Inc.	33.4
Amylyx Pharmaceuticals, Inc.	33.8
AnaptysBio, Inc.	25.4
Anavex Life Sciences Corp.	29.0
Anhui Anke Biotechnology (Group) Co., Ltd.	26.2
Anhui Huaheng Biotechnology Co., Ltd.	30.8
ANI Pharmaceuticals, Inc.	36.3
Annexon, Inc.	33.5
Anupam Rasayan India Ltd.	26.7
Apellis Pharmaceuticals, Inc.	24.4
Apeloa Pharmaceutical Co., Ltd.	41.5
Apogee Therapeutics, Inc.	30.8
Arbutus Biopharma Corp.	25.5
Arcellx, Inc.	34.6
ArcticZymes Technologies ASA	29.9
Arcturus Therapeutics Holdings, Inc.	34.3
Arcus Biosciences, Inc.	32.1
Arcutis Biotherapeutics, Inc.	29.3
Ardelyx, Inc.	28.9
argenx SE	25.2
Arrowhead Pharmaceuticals, Inc.	25.8
Arvinas, Inc.	26.2
Ascelia Pharma AB	33.2
Ascendis Pharma A/S	27.5
Ascentage Pharma Group International Co., Ltd.	33.1
ASKA Pharmaceutical Holdings Co., Ltd.	29.8
Aspen Pharmacare Holdings Ltd.	24.8
Assertio Holdings, Inc.	32.8
Astellas Pharma, Inc.	18.6
AstraZeneca Pharma India Ltd.	27.6
AstraZeneca PLC	21.5
Astria Therapeutics, Inc.	28.3
Asymchem Laboratories (Tianjin) Co., Ltd.	19.1
Atara Biotherapeutics, Inc.	26.2
Atea Pharmaceuticals, Inc.	36.1
Aura Biosciences, Inc.	27.4
Aurinia Pharmaceuticals, Inc.	27.3
Aurobindo Pharma Ltd.	32.2
Avadel Pharmaceuticals Plc	30.0
Avantor, Inc.	16.6
Avid Bioservices, Inc.	25.2
Avidity Biosciences, Inc.	35.6
Axsome Therapeutics, Inc.	37.0
Azenta, Inc.	15.9
Bachem Holding AG	19.2
Basilea Pharmaceutica AG	38.1
Bausch Health Cos., Inc.	32.3
Bavarian Nordic A/S	23.1
Baxalta, Inc.	21.0
Bayer AG	26.6
Beam Therapeutics, Inc.	33.0
BeiGene Ltd.	23.6
Beijing SDL Technology Co., Ltd.	20.7
