	Note ESG	1
5I5J Holding Group Co. Ltd.	14.9	
A-Living Smart City Services Co., Ltd.	13.3	
A2Dominion Housing Group Ltd.	16.6	
Abacus Group	9.5	
Abacus Storage King	16.2	
abrdn Property Income Trust Ltd.	11.3	
Acadia Realty Trust	16.7	
Acrinova AB	23.1	
Activia Properties, Inc.	9.5	
Advance Logistics Investment Corp.	15.9	
Advance Residence Investment Corp.	16.8	
Advancetek Enterprise Co. Ltd.	19.4	
AEDAS Homes SA	12.6	
Aedifica SA	9.3	
AEON Mall Co., Ltd.	19.0	
AEON REIT Investment Corp.	16.5	
AEW UK REIT Plc	16.5	
AFI Properties Ltd.	24.7	
Africa Israel Residences Ltd.	24.5	
Agile Group Holdings Ltd.	24.0	
AGNC Investment Corp.	8.7	
Agree Realty Corp.	15.2	
AIMS APAC REIT	14.1	
Airport City Ltd.	24.4	
Airport Facilities Co., Ltd.	23.9	
Akelius Residential Property AB	16.8	
Akis Gayrimenkul Yatirim Ortakligi AS	11.4	
Aldar Investment Properties LLC	14.1	
Aldar Properties PJSC	15.7	
Alexander & Baldwin, Inc.	21.2	
Alexander's, Inc.	17.8	
Alexandria Real Estate Equities, Inc.	13.1	
Allied Properties Real Estate Investment Trust	11.2	
Allos SA	23.0	
Allreal Holding AG	21.9	
Alony Hetz Properties & Investments Ltd.	21.6	
Alpha Dhabi Holding PJSC	26.2	
Alpine Income Property Trust, Inc.	23.0	
alstria office REIT-AG	13.1	
Altarea SCA	12.1	
Altareit SA	14.6	
Altus Group Ltd.	7.9	
Amata Corp. Public Co., Ltd.	12.5	
American Assets Trust LP	12.7	
American Assets Trust, Inc.	18.7	
American Homes 4 Rent	11.6	
American Realty Investors, Inc.	26.1	
American Tower Corp.	12.6	
Americold Realty Trust, Inc.	13.2	
Amlak International for Real Estate Financing	25.3	
Amot Investments Ltd.	17.7	
Angel Oak Mortgage REIT, Inc.	24.9	
Annaly Capital Management, Inc.	8.3	
Annehem Fastigheter AB	22.3	
Annington Homes Limited	16.7	
Anywhere Real Estate, Inc.	8.0	
AP (Thailand) Public Co. Ltd.	24.8	
Apartment Income REIT Corp.	11.4	
Apartment Investment & Management Co.	19.7	
Apollo Commercial Real Estate Finance, Inc.	14.9	
Apple Hospitality REIT, Inc.	17.4	
Applied Digital Corp.	19.2	
Arabian Centres Co.	19.8	
Arabian Centres Sukuk II Ltd.	22.0	
ARADA Developments LLC	24.2	
Arbor Realty Trust, Inc.	20.8	
ARCO BPS Holdings Ltd.	10.9	
AREIT, Inc.	14.5	
Arena REIT	12.2	
Ares Commercial Real Estate Corp.	16.6	
Argan SA	16.7	
Argosy Property Ltd.	17.0	
Armada Hoffler Properties, Inc.	20.1	
ARMOUR Residential REIT, Inc.	18.3	
Aroundtown SA	10.1	
Arriyadh Development Co.	21.7	
Artis Real Estate Investment Trust	13.0	
Ascencio SCA	19.1	
Asset World Corp. Pcl	17.8	
Assura Plc	12.9	
Aster Group Ltd.	16.8	
Atal SA (Poland)	25.9	
Atrium Ljungberg AB	12.9	
Attacq Ltd.	14.2	
Aura Investments Ltd.	23.5	
AvalonBay Communities, Inc.	8.1	
Axis Real Estate Investment Trust	12.2	
Ayala Land, Inc.	20.5	
Azrieli Group Ltd.	16.9	
Balanced Commercial Property Trust Ltd.	13.4	
Bangkok Land Public Co. Ltd.	24.4	
Barwa Real Estate Co.	23.5	
bcIMC Realty Corp.	20.2	
Beijing Capital Development Co., Ltd.	25.4	
Beijing Electronic Zone High-tech Group Co., Ltd.	25.3	
Beijing North Star Co. Ltd.	30.1	
Beijing Urban Construction Investment & Development Co., Ltd.	26.5	
BIG Shopping Centers Ltd.	24.6	
Big Yellow Group Plc	8.0	
Binjiang Service Group Co. Ltd.	23.2	
Blackstone Mortgage Trust, Inc.	16.6	
Blackstone Property Partners Europe Holdings SARL	12.6	
Blackstone Real Estate Income Trust, Inc.	20.1	
Blue Square Real Estate Ltd.	24.1	
Boardwalk Real Estate Investment Trust	16.9	
bpha Ltd. (United Kingdom)	18.3	
BR Properties SA	14.2	
Braemar Hotels & Resorts, Inc.	20.6	
Brandywine Realty Trust	12.0	
Branicks Group AG	5.7	
Brigade Enterprises Ltd.	20.2	
BrightSpire Capital, Inc.	21.8	
Brinova Fastigheter AB	17.2	
Brixmor Property Group, Inc.	12.1	
Broadstone Net Lease, Inc.	14.7	
Bromford Housing Group Ltd.	13.7	
Brookfield Canada Office Properties	14.4	
Brookfield India Real Estate Trust	23.8	
BRT Apartments Corp.	22.8	
BSR Real Estate Investment Trust	20.1	
Bukit Sembawang Estates Ltd.	22.0	
Burstone Group Ltd.	19.9	
BWP Trust	13.3	
BXP, Inc.	12.0	
C&D International Investment Group Ltd.	26.4	
CA Immobilien Anlagen AG	10.1	
Cambridgeshire Housing Capital Plc	18.3	
Camden Property Trust	14.2	
Canadian Apartment Properties Real Estate Investment Trust	12.4	
Canadian Core Real Estate LP	16.9	
Capital & Regional Plc	20.0	
CapitaLand Ascendas REIT	12.2	
CapitaLand Ascott Trust	11.8	
CapitaLand China Trust	14.0	
CapitaLand India Trust	10.5	
CapitaLand Integrated Commercial Trust	8.4	
CapitaLand Investment Ltd.	10.7	
Care Property Invest	15.3	
Care REIT Plc	18.5	
CareTrust REIT, Inc.	14.6	
Carmila SA	10.3	
Castellum AB	9.0	
Catena AB	14.5	
Cathay Real Estate Development Co., Ltd.	23.6	
CBRE Group, Inc.	9.0	
CBRE Services, Inc.	16.9	
CCCG Real Estate Corp. Ltd.	33.7	
CDL Hospitality Trusts	15.9	
Cedar Woods Properties Ltd.	18.3	
Cencosud Shopping SA	15.3	
Centerspace	15.5	
Central Pattana Public Co. Ltd.	15.1	
Centuria Industrial REIT	12.7	
Centuria Office REIT	10.9	
Champion Real Estate Investment Trust	10.6	
Charter Hall Group	9.3	
Charter Hall Long WALE REIT	12.0	
Charter Hall Retail REIT	9.3	
Charter Hall Social Infrastructure REIT	13.1	
Chartwell Retirement Residences	18.9	
Chatham Lodging Trust	18.2	
Chicago Atlantic Real Estate Finance, Inc.	21.8	
Chimera Investment Corp.	14.4	
China Aoyuan Group Ltd.	32.6	
China Enterprise Co., Ltd.	20.7	
China Fortune Land Development Co., Ltd.	27.7	
China Green Electricity Investment of Tianjin Co., Ltd.	27.5	
China Jinmao Holdings Group Ltd.	20.5	
China Merchants Property Operation & Service Co., Ltd.	18.4	
China Merchants Shekou Industrial Zone Holdings Co., Ltd.	20.4	
China Overseas Grand Oceans Group Ltd.	27.1	
China Overseas Land & Investment Ltd.	13.7	
China Overseas Property Holdings Ltd.	14.0	
China Resources Land Ltd.	23.1	
China Resources Mixc Lifestyle Services Ltd.	13.9	
China South City Holdings Ltd.	19.7	
China Union Holdings Ltd.	22.2	
China Vanke Co., Ltd.	16.1	
China World Trade Center Co., Ltd.	30.3	
China-Singapore Suzhou Industrial Park Development Co. Ltd.	24.7	
Choice Properties Real Estate Investment Trust	12.8	
Chong Hong Construction Co., Ltd.	23.9	
Cibus Nordic Real Estate AB	18.0	
CIFI Holdings (Group) Co. Ltd.	27.6	
Cinda Real Estate Co. Ltd.	27.1	
Circle Anglia Social Housing Plc	16.4	
Citizen Housing Group Ltd.	14.6	
City Developments Ltd.	8.1	
City Office REIT, Inc.	16.3	
Citycon Oyj	20.7	
CK Asset Holdings Ltd.	15.1	
Clarion Housing Group Ltd.	13.3	
Claros Mortgage Trust, Inc.	19.9	
Clipper Realty, Inc.	24.3	
CLS Holdings Plc	17.6	
Cofinimmo SA	10.5	
Colliers International Group, Inc.	10.9	
Comforia Residential REIT, Inc.	13.3	
Community Healthcare Trust, Inc.	17.6	
Concentradora Fibra Danhos SA de CV	9.6	
COPT Defense Properties	10.7	
Corem Property Group AB	11.1	
Corporación Inmobiliaria Vesta SAB de CV	10.0	
Cosmopolitan International Holdings Ltd.	29.3	
Country Garden Holdings Co. Ltd.	23.6	
Country Garden Services Holdings Co. Ltd.	10.9	
Cousins Properties, Inc.	13.1	
Covivio Hotels SCA	10.8	
Covivio SA	5.0	
CPI Property Group SA	13.3	
CPN Retail Growth Leasehold REIT	11.0	
CRE Logistics REIT, Inc.	15.0	
Crombie Real Estate Investment Trust	18.2	
Cromwell European Real Estate Investment Trust	8.8	
Cromwell Property Group	9.4	
Crown Castle, Inc.	12.0	
CSI Properties Ltd.	26.5	
CT Real Estate Investment Trust	16.1	
CTO Realty Growth, Inc.	18.6	
CTP NV	9.3	
CubeSmart	16.6	
Cury Construtora e Incorporadora SA	21.1	
Cushman & Wakefield Plc	18.3	
Custodian Property Income REIT Plc	16.1	
Daito Trust Construction Co. Ltd.	21.8	
Daiwa House Industry Co., Ltd.	12.1	
Daiwa House REIT Investment Corp.	13.1	
Daiwa Office Investment Corp.	11.5	
Daiwa Securities Living Investment Corp.	17.9	
Dalian Wanda Commercial Management Group Co., Ltd.	23.2	
Dar Al Arkan Real Estate Development Co.	30.1	
Delpha Construction Co., Ltd.	15.0	
Derwent London Plc	12.0	
Deutsche EuroShop AG	19.9	
Deutsche Wohnen SE	16.0	
Develia SA	23.3	
Dexus	5.5	
Dexus Industria REIT	7.8	
Deyaar Development PJSC	25.8	
DiamondRock Hospitality Co.	13.1	
Digital Core REIT	14.5	
Digital Realty Trust, Inc.	12.6	
DigitalBridge Group, Inc.	18.2	
Diös Fastigheter AB	12.8	
Diversified Healthcare Trust	16.3	
DLF Ltd.	16.9	
Douglas Elliman, Inc.	23.1	
Douglas Emmett, Inc.	22.7	
Dream Industrial Real Estate Investment Trust	9.6	
Dream Summit Industrial LP	16.1	
DREAM Unlimited Corp.	18.5	
Dynex Capital, Inc.	15.8	
Easterly Government Properties, Inc.	15.8	
EastGroup Properties, Inc.	12.8	
Eastnine AB	13.1	
Eco World Development Group Bhd.	12.5	
Electra Real Estate Ltd.	21.2	
Ellington Financial, Inc.	17.0	
Elme Communities	9.8	
Emaar Development PJSC	21.9	
Emaar Properties PJSC	25.1	
Emaar, The Economic City	25.6	
Embassy Office Parks REIT	12.8	
EMH Treasury Plc	16.6	
Emirates REIT (CEIC) Plc	25.2	
Emlak Konut Gayrimenkul Yatirim Ortakligi AS	20.2	
Empire State Realty Trust, Inc.	12.6	
Empiric Student Property PLC	16.1	
Entra ASA	11.7	
EPR Properties	16.0	
Equinix, Inc.	13.1	
Equinox India Developments Ltd.	24.1	
Equites Property Fund Ltd.	8.0	
Equity Commonwealth	16.6	
Equity LifeStyle Properties, Inc.	13.9	
Equity Residential	11.4	
ESCON JAPAN REIT Investment Corp.	19.7	
ESR Group Ltd.	14.4	
ESR Kendall Square REIT Co., Ltd.	18.7	
ESR-LOGOS REIT	14.3	
Essential Properties Realty Trust, Inc.	18.4	
Essex Property Trust, Inc.	11.6	
Eurocommercial Properties NV	12.8	
Ever Sunshine Services Group Ltd.	19.1	
Evergrande Property Services Group Ltd.	18.3	
Extra Space Storage, Inc.	13.7	
Ezdan Holding Group	27.8	
Fabege AB	14.0	
Far East Consortium International Ltd.	26.6	
Far East Hospitality Trust	12.4	
Farglory Land Development Co., Ltd.	18.1	
Farmland Partners, Inc.	20.0	
Fastator AB	19.2	
Fastighets AB Balder	14.9	
Fastighets AB Trianon	16.0	
Fastighetsbolaget Emilshus AB	19.1	
FastPartner AB	9.2	
FEC Finance Ltd.	25.4	
Federal Realty Investment Trust	12.4	
FIBRA Macquarie México	8.4	
Fibra Uno Administración SA de CV	11.0	
Filinvest Development Corp.	30.9	
Financial Street Holdings Co., Ltd.	30.5	
First Capital Real Estate Investment Trust	10.5	
First Industrial Realty Trust, Inc.	15.0	
First Real Estate Investment Trust	17.5	
FirstService Corp.	13.2	
Flagship Finance Plc	13.3	
Forestar Group, Inc.	18.5	
Fortress Real Estate Investments Ltd.	19.3	
Fortune Real Estate Investment Trust	13.2	
Four Corners Property Trust, Inc.	14.7	
Foxtons Group Plc	15.2	
Franklin BSP Realty Trust, Inc.	14.3	
Frasers Centrepoint Trust	9.9	
Frasers Hospitality Trust	18.1	
Frasers Logistics & Commercial Trust	9.2	
Frasers Property Ltd.	16.5	
Frasers Property Thailand Industrial Freehold & Leasehold REIT	19.3	
Frontier Real Estate Investment Corp.	17.2	
FRP Holdings, Inc.	16.5	
Fukuoka REIT Corp.	13.7	
G City Ltd.	18.1	
Gaming & Leisure Properties, Inc.	14.8	
Gateway Real Estate AG	18.3	
Gav-Yam Lands Corp. Ltd.	23.2	
GDI Property Group Ltd.	13.7	
GDS Holdings Ltd.	15.4	
Gecina SA	9.2	
Gemdale Corp.	26.3	
Gemdale Properties & Investment Corp. Ltd.	26.4	
Genova Property Group AB	19.4	
Getty Realty Corp.	18.4	
GEWOBAG Wohnungsbau-AG Berlin	6.8	
Gladstone Commercial Corp.	20.9	
Gladstone Land Corp.	21.1	
Global Medical REIT, Inc.	19.5	
Global Net Lease, Inc.	20.3	
Global One Real Estate Investment Corp.	18.4	
Global Switch Holdings Ltd.	14.5	
Globalworth Real Estate Investments Ltd.	10.9	
GLP J-REIT	15.2	
GLP Pte. Ltd.	10.3	
Godrej Properties Ltd.	16.2	
GOLDCREST Co., Ltd.	21.3	
Good Com Asset Co., Ltd.	23.9	
Goodman Group	9.9	
Goodman Property Trust	16.4	
GPT Group	8.0	
Grainger Plc	10.1	
Grand City Properties SA	14.1	
Grandjoy Holdings Group Co., Ltd.	30.1	
Granite Point Mortgage Trust, Inc.	14.0	
Granite Real Estate Investment Trust	12.1	
Great Eagle Holdings Ltd.	17.0	
Great Places Housing Group Ltd.	16.7	
Great Portland Estates Plc	7.3	
Gree Real Estate Co., Ltd.	25.1	
Greenland Holdings Corp. Ltd.	35.3	
Greentown China Holdings Ltd.	26.3	
Groupe Infrastructure Santé McGill, S.E.N.C	24.2	
Growthpoint Properties Australia	10.8	
Growthpoint Properties Ltd.	8.4	
Guangdong Highsun Group Co., Ltd.	26.3	
Guangzhou R&F Properties Co., Ltd.	28.9	
GuocoLand Ltd.	18.7	
H&R Real Estate Investment Trust	19.1	
HA Sustainable Infrastructure Capital, Inc.	12.4	
Hainan Airport Infrastructure Co., Ltd.	26.8	
Hainan Haide Capital Management Co., Ltd.	25.4	
Hamborner REIT AG	19.7	
Hammerson Plc	9.3	
Hang Lung Group Ltd.	13.4	
Hang Lung Properties Ltd.	13.2	
Hangzhou Binjiang Real Estate Group Co., Ltd.	31.5	
Hankyu Hanshin REIT, Inc.	19.2	
Harworth Group Plc	19.4	
Haya Real Estate SA	19.4	
HDC Hyundai Development Co.	23.5	
Healthcare & Medical Investment Corp.	21.2	
Healthcare Realty Trust, Inc.	17.7	
HealthCo Healthcare & Wellness REIT	21.5	
