	Note ESG
Abu Dhabi Crude Oil Pipeline LLC	37.8
Abu Dhabi National Oil Co. for Distribution PJSC	31.7
Aegis Logistics Ltd.	38.6
Aldrees Petroleum & Transport Services Co.	46.5
Alimentation Couche-Tard, Inc.	21.8
Ampol Ltd.	36.5
Antero Midstream Corp.	25.6
Archrock, Inc.	40.1
Ardmore Shipping Corp.	38.3
ARKO Corp.	47.7
Avance Gas Holding Ltd.	29.0
Bangchak Corp. Public Co. Ltd.	30.8
Bharat Petroleum Corp. Ltd.	39.9
Boardwalk Pipeline Partners LP	19.9
Brightoil Petroleum (Holdings) Ltd.	40.5
BW LPG Ltd.	14.7
Calumet Specialty Products Partners LP	46.7
Casey's General Stores, Inc.	26.7
Cheniere Energy Partners LP	30.3
Cheniere Energy, Inc.	24.2
Chennai Petroleum Corp. Ltd.	44.8
China Merchants Energy Shipping Co., Ltd.	26.5
China Petroleum Engineering Corp.	43.9
Clean Energy Fuels Corp.	33.0
CMB.TECH NV	30.0
Colonial Pipeline Co.	39.5
Consumers Gas Ltd.	26.7
Cool Co. Ltd.	30.4
Cosan SA	34.2
Cosmo Energy Holdings Co., Ltd.	41.3
CVR Energy, Inc.	49.1
DCC Plc	19.7
DCP Midstream LP	35.4
Delek Group Ltd.	47.1
Delek US Holdings, Inc.	37.5
DHT Holdings, Inc.	39.2
Dorian LPG Ltd.	34.7
DT Midstream, Inc.	28.9
E1 Corp.	35.4
Empresas Copec SA	30.9
Enbridge, Inc.	19.8
ENEOS Holdings, Inc.	31.3
Energy Transfer LP	39.6
EnLink Midstream LLC	23.7
Enterprise Products Partners LP	28.2
Equitrans Midstream Corp.	27.9
Esentia Gas Enterprises S de RL de CV	38.0
EXMAR NV	39.6
FLEX LNG Ltd.	27.9
Formosa Petrochemical Corp.	34.0
Frontline Plc	29.0
Genesis Energy LP	26.0
Gestion Sécurité de Stocks Sécurité SA	30.9
Gibson Energy, Inc.	16.0
Global Partners LP	42.1
GNL Quintero SA	37.6
Golar LNG Ltd.	29.1
Gray Oak Pipeline LLC	38.5
Great Eastern Shipping Co. Ltd.	34.8
GS Caltex Corp.	28.5
GS Holdings Corp.	41.3
Gulfstream Natural Gas System LLC	17.9
Hankook Shell Oil Co., Ltd.	23.2
HELLENiQ ENERGY Holdings SA	28.4
Hess Midstream LP	25.3
HF Sinclair Corp.	35.9
Hindustan Petroleum Corp. Ltd.	37.8
HPCL-Mittal Energy Ltd.	33.8
Idemitsu Kosan Co., Ltd.	35.5
Indian Oil Corp. Ltd.	38.8
Indraprastha Gas Ltd.	35.4
International Seaways, Inc.	37.7
IRPC Public Co., Ltd.	32.2
ITOCHU ENEX CO., LTD.	32.1
Keyera Corp.	19.5
Kinder Morgan Energy Partners LP	22.9
Kinder Morgan, Inc.	23.3
Kinetik Holdings, Inc.	33.7
Mangalore Refinery & Petrochemicals Ltd.	40.2
Marathon Petroleum Corp.	30.3
Martin Midstream Partners LP	47.3
MC Brazil Downstream Participaçoes SA	47.5
MISC Bhd.	17.8
Mitsuuroko Group Holdings Co., Ltd.	45.4
Motiva Enterprises LLC	31.6
Motor Oil (Hellas) Corinth Refineries SA	35.9
MPLX LP	34.2
Murphy USA, Inc.	27.5
Nakilat, Inc.	26.3
Neste Corp.	18.4
New Fortress Energy, Inc.	40.3
NextDecade Corp.	39.9
NGL Energy Partners LP	46.2
NGPL PipeCo LLC	42.4
Nordic American Tankers Ltd.	51.0
North West Redwater Partnership, Inc.	40.0
NOVA Gas Transmission Ltd.	29.3
NuStar Energy LP	32.4
Oil Refineries Ltd.	35.6
Oleoducto Central SA	24.9
ONEOK, Inc.	26.4
ORLEN SA	28.8
Overseas Shipholding Group, Inc.	33.5
Pakistan State Oil Co. Ltd.	46.1
Par Pacific Holdings, Inc.	39.9
Parkland Corp.	32.9
Paz Retail & Energy Ltd.	47.7
PBF Energy, Inc.	46.1
Pembina Pipeline Corp.	18.8
Perú LNG SRL	31.8
Petron Corp.	47.6
Petronas Dagangan Bhd.	24.6
Petronet LNG Ltd.	31.2
Phillips 66	33.1
Plains All American Pipeline LP	32.2
Plains GP Holdings LP	39.8
PT Elnusa Tbk	38.4
PTT Oil & Retail Business Public Co., Ltd.	35.4
Puma Energy Holdings Pte Ltd.	35.1
Qatar Fuel-Woqod QSC	27.6
Rabigh Refining & Petrochemical Co.	36.3
Reliance Industries Ltd.	38.5
REX American Resources Corp.	43.9
Royal Vopak NV	31.7
Rubis SCA	29.2
S-Oil Corp.	32.5
S.N.T.G.N. Transgaz SA	27.3
Sabal Trail Transmission LLC	29.3
Sala Corp.	42.4
SAN-AI OBBLI Co., Ltd.	51.3
Saras SpA	28.8
Saudi Arabia Refineries Co.	51.8
Saudi Aramco Base Oil Co.	47.0
Scorpio Tankers, Inc.	38.2
SFL Corp. Ltd.	41.2
Siamgas & Petrochemicals Public Co. Ltd.	43.4
