	Note ESG
1-800-FLOWERS.COM, Inc.	22.6
ABC-MART, INC.	19.9
Abercrombie & Fitch Co.	16.6
ABOUT YOU Holding SE	17.2
Academy Sports & Outdoors, Inc.	15.9
Accent Group Ltd.	16.0
ACV Auctions, Inc.	30.0
Adastria Co., Ltd.	18.8
Advance Auto Parts, Inc.	10.7
AEON Co. (Malaysia) Bhd.	17.4
AEON Co., Ltd.	23.4
AEON Hokkaido Corp.	20.5
AEON Kyushu Co., Ltd.	21.2
Alpen Co., Ltd.	22.7
Amazon.com, Inc.	26.1
America's Car-Mart, Inc.	12.7
American Eagle Outfitters, Inc.	15.2
American Tire Distributors, Inc.	12.2
Americanas SA	29.1
ANTA Sports Products Ltd.	15.9
AO World Plc	23.3
AOKI Holdings, Inc.	21.9
AOYAMA TRADING Co., Ltd.	22.9
Aramis Group SAS	21.7
Arata Corp.	15.8
Arclands Corp.	20.0
Aritzia, Inc.	16.7
Asahi Co., Ltd.	22.6
Asbury Automotive Group, Inc.	14.6
ASKUL Corp.	25.1
ASOS Plc	21.5
Auto1 Group SE	11.8
Autobacs Seven Co., Ltd.	12.2
AutoCanada, Inc.	11.1
AutoNation, Inc.	12.8
AutoZone, Inc.	11.0
Avolta AG	13.8
B&M European Value Retail SA	20.2
Baby Bunting Group Ltd.	14.6
Bapcor Ltd.	10.4
BasicNet SpA	21.8
Belluna Co., Ltd.	28.6
Bermaz Auto Bhd.	11.2
Best Buy Co., Inc.	13.7
Beyond, Inc.	25.0
BHG Group AB	24.3
Bic Camera, Inc.	19.6
Big 5 Sporting Goods Corp.	19.0
Big Lots, Inc.	19.7
Bilia AB	11.0
BNC Korea Co., Ltd.	24.7
boohoo group Plc	35.1
Boot Barn Holdings, Inc.	16.0
Boozt AB	17.6
Bosideng International Holdings Ltd.	18.3
Briscoe Group Ltd.	16.5
British American Tobacco Malaysia Bhd.	10.3
Build-A-Bear Workshop, Inc.	17.5
Burlington Stores, Inc.	16.1
Byggmax Group AB	15.6
Caleres, Inc.	16.1
Camping World Holdings, Inc.	14.9
Canadian Tire Corp. Ltd.	20.2
Canon Marketing Japan, Inc.	8.8
Card Factory Plc	19.7
CarMax, Inc.	11.1
CarParts.com, Inc.	23.8
Carter's, Inc.	13.4
Carvana Co.	16.1
CECONOMY AG	13.3
Central Garden & Pet Co.	14.1
Central Retail Corp. Public Co. Ltd.	22.1
Cettire Ltd.	28.0
ChargePoint Holdings, Inc.	17.9
Chengdu Fusen Noble-House Industrial Co., Ltd.	21.0
Chewy, Inc.	28.3
Chico's FAS, Inc.	15.0
China Grand Automotive Services Group Co., Ltd.	15.6
China MeiDong Auto Holdings Ltd.	12.5
China Tourism Group Duty Free Corp. Ltd.	17.7
China Yongda Automobiles Services Holdings Ltd.	13.5
Chiyoda Co., Ltd.	20.6
Chongqing Department Store Co., Ltd.	23.1
Chori Co., Ltd.	14.3
Chow Sang Sang Holdings International Ltd.	19.8
Chow Tai Seng Jewelry Co. Ltd.	20.3
Clas Ohlson AB	10.6
Columbia Sportswear Co.	14.5
Com7 Public Co. Ltd.	19.5
ContextLogic, Inc.	24.2
Corporate Travel Management Ltd.	22.8
Coupang, Inc.	26.0
COWELL FASHION Co., Ltd.	20.3
Cricut, Inc.	19.8
Currys Plc	13.7
DCM Holdings Co., Ltd.	17.6
Delek Automotive Systems Ltd.	16.0
DEMAE-CAN CO., LTD.	30.3
Designer Brands, Inc.	17.4
Destination XL Group, Inc.	17.0
Dick's Sporting Goods, Inc.	16.7
Dillard's, Inc.	18.2
Dingdong (Cayman) Ltd.	32.7
Dixon Technologies (India) Ltd.	16.2
Dogus Otomotiv Servis ve Ticaret AS	10.7
Dollar General Corp.	21.2
Dollar Tree, Inc.	18.8
Dollarama, Inc.	17.8
Doshisha Co., Ltd.	14.7
Duluth Holdings, Inc.	25.8
Dunelm Group Plc	9.8
Dustin Group AB	15.2
DyDo Group Holdings, Inc.	49.3
E-Mart, Inc.	20.8
Eagers Automotive Ltd.	12.1
Easyhome New Retail Group Co., Ltd.	21.5
EDION Corp.	20.4
EEKA Fashion Holdings Ltd.	21.1
El Corte Inglés SA	15.4
El Puerto de Liverpool SAB de CV	18.6
Elders Ltd.	9.6
Electronics Mart India Ltd.	18.7
Elon AB	22.8
Endeavour Group Ltd. (Australia)	15.4
Envela Corp.	20.3
Europris ASA	19.9
EVgo, Inc.	23.4
Falabella SA	21.0
Far Eastern Department Stores Ltd.	24.1
FAST RETAILING CO., LTD.	14.1
Fastned BV	19.2
Fawaz Abdulaziz AlHokair Co.	24.0
Fielmann Group AG	19.4
Five Below, Inc.	20.9
Fix Price Group Plc	21.9
Floor & Decor Holdings, Inc.	15.1
Fnac Darty SA	12.3
Foot Locker, Inc.	16.0
Fourlis Holdings SA	16.0
Frasers Group Plc	20.0
FSN E-Commerce Ventures Ltd.	24.6
Fuji Co., Ltd.	23.7
Funko, Inc.	14.7
G-7 Holdings, Inc.	16.0
GameStop Corp.	19.4
Gap, Inc.	16.1
Genesco, Inc.	16.2
Genuine Parts Co.	12.8
GEO Holdings Corp.	24.0
Giordano International Ltd.	21.5
Global-e Online Ltd.	24.9
GOME Retail Holdings Ltd.	20.4
Gradiant Corp. (South Korea)	31.9
Group 1 Automotive, Inc.	9.9
Groupon, Inc.	29.2
Grupo Axo SAPI de CV	19.2
Grupo Casas Bahia SA	12.0
Grupo SBF SA	18.5
Guess Inc.	21.5
H&M Hennes & Mauritz AB	20.3
H2O Retailing Corp.	23.4
Halfords Group Plc	12.0
Hanwha Galleria Corp.	18.6
Happinet Corp.	15.0
Harvey Norman Holdings Ltd.	17.4
Haverty Furniture Cos., Inc.	15.9
Headlam Group Plc	10.7
Hibbett, Inc.	16.2
Hikari Tsushin, Inc.	23.4
Home Product Center Public Co., Ltd.	16.0
HONEYS Holdings Co., Ltd.	19.6
HORNBACH Holding AG & Co. KGaA	14.2
Hostelworld Group Plc	29.0
Hotai Motor Co., Ltd.	12.8
HOTEL SHILLA Co., Ltd.	22.8
Howden Joinery Group Plc	13.9
Hunan Friendship & Apollo Commercial Co., Ltd.	24.9
Hyundai Department Store Co., Ltd.	21.1
HYUNDAI HOME SHOPPING NETWORK Corp.	23.9
IDOM, Inc.	17.9
Inaba Denkisangyo Co., Ltd.	12.7
Inchcape Plc	10.0
Industria de Diseño Textil SA	11.6
Infibeam Avenues Ltd.	24.2
Inter Cars SA	11.5
Isetan Mitsukoshi Holdings Ltd.	24.8
istyle, Inc.	29.4
Italtile Ltd.	15.7
IVS Group SA	24.0
Izumi Co., Ltd.	21.9
J. FRONT RETAILING Co., Ltd.	18.3
J.Jill, Inc.	17.7
Jarir Marketing Co.	19.7
JB Hi-Fi Ltd.	14.4
JD Sports Fashion Plc	12.6
JD.com, Inc.	25.9
Jiangsu Yinhe Electronics Co., Ltd.	22.6
Jins Holdings, Inc.	17.9
Joshin Denki Co., Ltd.	14.2
Joyful Honda Co. Ltd.	17.8
Jumbo SA	19.6
K Car Co., Ltd.	16.8
K's Holdings Corp.	18.0
Kamux Oyj	12.1
Kenvue, Inc.	17.0
Kidswant Children Products Co., Ltd.	19.5
Kingfisher plc	9.6
Kintetsu Department Store Co. Ltd.	23.6
KMD Brands Ltd.	15.1
Kogan.com Ltd.	24.8
Kohl's Corp.	18.1
Kohnan Shoji Co., Ltd.	22.0
Kojima Co., Ltd.	21.8
KOMERI CO., LTD.	20.2
L'Occitane International SA	12.7
Lagardère SA	14.3
Lands' End, Inc.	28.6
