	Note ESG
3peak, Inc.	34.7
ADATA Technology Co., Ltd.	35.9
Adeia, Inc.	30.1
Advanced Energy Industries, Inc.	25.0
Advanced Micro Devices, Inc.	13.7
Advanced Micro Fabrication Equipment, Inc. China	23.6
Advanced Process Systems Corp.	29.4
Advanced Wireless Semiconductor Co.	20.6
Advantest Corp.	15.5
Aehr Test Systems	22.2
AEM Holdings Ltd.	19.7
Aeva Technologies, Inc.	37.2
Airoha Technology Corp.	35.6
AIXTRON SE	20.8
Alchip Technologies Ltd.	32.6
ALi Corp.	39.9
Allegro MicroSystems, Inc.	14.1
Allwinner Technology Co., Ltd.	41.5
Alpha & Omega Semiconductor Ltd.	29.3
Alphawave IP Group Plc	29.6
Ambarella, Inc.	34.6
Amkor Technology, Inc.	21.7
Amlogic (Shanghai) Co., Ltd.	23.5
ams-OSRAM AG	17.6
Analog Devices, Inc.	18.1
AnaPass, Inc.	39.3
Anji Microelectronics Technology (Shanghai) Co., Ltd.	21.7
Anpec Electronics Corp.	31.5
AP Memory Technology Corp.	20.0
Applied Materials, Inc.	11.6
Ardentec Corp.	25.6
Array Technologies, Inc.	18.3
ASE Technology Holding Co., Ltd.	16.7
ASM International NV	10.4
Asmedia Technology Inc.	15.2
ASML Holding NV	8.5
ASMPT Ltd.	22.4
ASPEED Technology, Inc.	16.7
Atomera, Inc.	22.0
Aval Data Corp.	25.8
Avalon Technologies Ltd.	20.0
Axcelis Technologies, Inc.	13.6
BE Semiconductor Industries NV	12.9
Beijing Jingyuntong Technology Co., Ltd.	43.6
Bestechnic (Shanghai) Co., Ltd.	34.7
BOE HC SemiTek Corp.	40.9
BOE Varitronix Ltd.	31.1
Broadcom Inc.	19.2
C*Core Technology Co., Ltd.	42.4
Cambricon Technologies Corp. Ltd.	26.5
Camtek Ltd.	25.8
Canaan, Inc.	40.7
Canadian Solar, Inc.	29.6
CEVA, Inc.	22.9
Chang Wah Technology Co., Ltd.	31.0
Chengdu RML Technology Co., Ltd.	26.2
China Resources Microelectronics Ltd.	34.2
Chipbond Technology Corp.	25.3
ChipMOS Technologies, Inc.	29.4
Cirrus Logic, Inc.	14.5
Cohu, Inc.	16.4
D&O Green Technologies Bhd.	35.3
Dagang NeXchange Bhd.	32.6
Daqo New Energy Corp.	26.3
Darwin Precisions Corp.	30.2
DB HITEK Co., Ltd.	24.9
Diodes, Inc.	23.1
DISCO Corp.	17.0
DOOSAN TESNA, Inc.	36.6
Dosilicon Co., Ltd.	40.6
EDP Corp.	27.2
EGing Photovoltaic Technology Co., Ltd.	39.0
ELAN Microelectronics Corp.	26.7
Elite Semiconductor Microelectronics Tech, Inc.	34.0
Elmos Semiconductor SE	27.2
eMemory Technology, Inc.	17.2
Enchem Co. Ltd.	24.9
Ennostar, Inc.	25.7
Entegris, Inc.	19.8
EO Technics Co., Ltd.	25.8
Episil Technologies, Inc.	35.3
Episil-Precision, Inc.	33.4
Espressif Systems (Shanghai) Co., Ltd.	33.9
Etron Technology, Inc.	30.7
Eugene Technology Co., Ltd.	27.2
Everlight Electronics Co., Ltd.	28.8
Faraday Technology Corp.	24.6
Ferrotec Holdings Corp.	25.5
FIC Global, Inc.	20.3
Fingerprint Cards AB	35.1
First Solar, Inc.	17.3
Fitipower Integrated Technology, Inc.	15.7
Fittech Co., Ltd.	39.7
FocalTech Systems Co., Ltd.	31.1
FormFactor, Inc.	23.3
Formosa Advanced Technologies Co., Ltd.	23.6
Formosa Sumco Technology Corp.	27.3
Foxsemicon Integrated Technology, Inc.	20.5
Fuman Microelectronics Group Co. Ltd.	26.4
Furuya Metal Co., Ltd.	34.9
GalaxyCore Inc.	30.2
GCL System Integration Technology Co., Ltd.	35.0
GCL Technology Holdings Ltd.	26.0
GemVax & KAEL Co., Ltd.	30.9
Genesys Logic, Inc.	37.4
Giga Device Semiconductor, Inc.	20.0
Giga Solar Materials Corp.	23.9
Global Mixed-Mode Technology, Inc.	32.7
Global Standard Technology Co., Ltd.	23.4
Global Unichip Corp.	15.8
GLOBALFOUNDRIES, Inc.	16.7
GlobalWafers Co., Ltd.	24.7
Grand Process Technology Corp.	21.3
Greatek Electronics, Inc.	28.7
Guoguang Electric Co., Ltd. Chengdu	24.8
Haesung DS Co., Ltd.	44.5
Hana Materials Inc.	39.2
HANA MICRON, Inc.	35.6
HANA Technology Co., Ltd.	23.1
Hangzhou Chang Chuan Technology Co., Ltd.	31.9
Hangzhou First Applied Material Co., Ltd.	27.3
Hangzhou Lion Electronics Co., Ltd.	40.2
Hangzhou Silan Microelectronics Co., Ltd.	42.9
Hangzhou Sunrise Technology Co., Ltd.	25.0
HANMI Semiconductor Co., Ltd.	23.1
Holtek Semiconductor, Inc.	28.4
Hongyuan Green Energy Co., Ltd.	22.8
Hua Hong Semiconductor Ltd.	34.8
Hunan Goke Microelectronics Co., Ltd.	45.2
Ichor Holdings Ltd.	17.1
Impinj, Inc.	32.1
Inari Amertron Bhd.	23.9
indie Semiconductor, Inc.	35.6
Infineon Technologies AG	13.4
Ingenic Semiconductor Co., Ltd.	25.3
Inner Mongolia Ojing Science & Technology Co., Ltd.	40.9
INNOX Advanced Materials Co., Ltd.	22.3
Intel Corp.	15.6
inTEST Corp.	19.7
ISC Co., Ltd.	25.6
ITE Tech, Inc.	27.5
ITM Semiconductor Co., Ltd.	39.5
JA Solar Technology Co., Ltd.	23.7
Japan Material Co., Ltd.	20.0
JCET Group Co., Ltd.	32.5
Jiangsu Nata Opto-electronic Material Co., Ltd.	26.0
Jinko Solar Co., Ltd.	31.5
JinkoSolar Holding Co., Ltd.	37.5
JUSUNG ENGINEERING Co., Ltd.	20.5
Kaynes Technology India Ltd.	23.2
KC Co., Ltd. (South Korea)	23.0
KCTech Co., Ltd.	20.1
King Yuan Electronics Co., Ltd.	30.6
Kinsus Interconnect Technology Corp.	32.7
KLA Corp.	13.1
Koh Young Technology, Inc.	17.0
Kokusai Electric Corp.	23.4
KoMiCo Ltd.	26.0
Konfoong Materials International Co., Ltd.	27.4
Kulicke & Soffa Industries, Inc.	17.9
Lam Research Corp.	12.2
LandMark Optoelectronics Corp.	34.6
Lasertec Corp.	23.0
Lattice Semiconductor Corp.	16.5
LEENO INDUSTRIAL, Inc.	21.9
Lingsen Precision Industries Ltd.	38.0
LONGi Green Energy Technology Co., Ltd.	24.8
LX Semicon Co., Ltd.	16.6
M31 Technology Corp.	33.3
MACOM Technology Solutions Holdings, Inc.	31.9
Macronix International Co., Ltd.	22.7
MagnaChip Semiconductor Corp.	36.9
Malaysian Pacific Industries Bhd.	28.5
Marvell Technology, Inc.	16.0
Materials Analysis Technology, Inc.	29.8
Maxeon Solar Technologies Ltd.	27.9
MaxLinear, Inc.	22.9
Maxscend Microelectronics Co., Ltd.	23.8
MediaTek, Inc.	14.7
MegaChips Corp.	32.7
Melexis NV	26.3
Meyer Burger Technology AG	27.6
Microchip Technology, Inc.	29.6
Micron Technology, Inc.	18.6
Micronics Japan Co., Ltd.	23.2
Mimasu Semiconductor Industry Co., Ltd.	24.2
Monolithic Power Systems, Inc.	19.0
Montage Technology Co., Ltd.	20.8
Motech Industries, Inc.	33.4
MPI Corp.	19.1
Nanya Technology Corp.	18.0
National Silicon Industry Group Co., Ltd.	44.1
Nations Technologies, Inc.	39.5
NAURA Technology Group Co., Ltd.	26.8
Navitas Semiconductor Corp.	35.9
NEPES Corp.	31.8
Nexchip Semiconductor Corp.	34.4
Nordic Semiconductor ASA	13.8
Nova Ltd.	17.9
Novatek Microelectronics Corp.	12.8
Nuvoton Technology Corp.	27.8
NVE Corp.	30.5
NVIDIA Corp.	12.2
NXP BV	18.9
NXP Semiconductors NV	16.7
ON Semiconductor Corp.	21.3
Onto Innovation, Inc.	20.5
Orient Semiconductor Electronics Ltd.	24.0
Pan Jit International, Inc.	31.9
Parade Technologies, Ltd.	17.9
PDF Solutions, Inc.	25.2
Penguin Solutions, Inc.	23.2
PG Electroplast Ltd.	20.4
Phison Electronics Corp.	23.5
Photronics, Inc.	23.6
Piotech, Inc.	26.5
PixArt Imaging, Inc.	26.2
Power Integrations, Inc.	29.3
Powerchip Semiconductor Manufacturing Corp.	25.4
Powerchip Technology Corp.	23.0
Powertech Technology, Inc.	19.0
PVA TePla AG	20.0
Qorvo, Inc.	20.2
QUALCOMM, Inc.	13.6
Radiant Opto-Electronics Corp.	25.2
Rambus, Inc.	16.5
Raydium Semiconductor Corp.	35.0
Raytron Technology Co., Ltd.	41.0
RDC Semiconductor Co., Ltd.	39.4
Realtek Semiconductor Corp.	18.2
REC Silicon ASA	25.6
Renesas Electronics Corp.	19.0
Restar Corp.	41.2
RichWave Technology Corp.	29.8
Risen Energy Co., Ltd.	31.5
Rockchip Electronics Co., Ltd.	42.2
ROHM Co., Ltd.	26.5
Rorze Corp.	22.9
RS Technologies Co. Ltd.	38.3
S&S TECH Corp.	26.4
Sai Microelectronics, Inc.	41.7
Sanan Optoelectronics Co. Ltd.	44.8
Sanken Electric Co., Ltd.	34.0
SCREEN Holdings Co. Ltd.	17.9
SDI Corp.	22.1
Semiconductor Manufacturing International Corp.	35.6
Semtech Corp.	19.3
Sensirion Holding AG	29.7
Sensortek Technology Corp.	25.0
Seoul Semiconductor Co., Ltd.	37.6
SFA Semicon Co., Ltd.	27.3
SG Micro Corp.	19.7
Shanghai Aiko Solar Energy Co., Ltd.	37.0
Shanghai Anlogic Infotech Co., Ltd.	39.1
Shanghai Belling Co., Ltd.	33.0
Shanghai Bright Power Semiconductor Co., Ltd.	41.1
Shanghai Fudan Microelectronics Group Co., Ltd.	24.4
Shanghai Fullhan Microelectronics Co., Ltd.	41.6
Shanghai Sinyang Semiconductor Materials Co., Ltd.	39.3
Shenzhen S.C New Energy Technology Corp.	29.8
Shenzhen SED Industry Co., Ltd.	31.2
Shibaura Mechatronics Corp.	24.3
Shinko Electric Industries Co., Ltd.	31.9
Sichuan Injet Electric Co., Ltd.	26.8
Sigurd Microelectronics Corp.	29.3
Silergy Corp.	19.6
Silex Systems Ltd.	37.9
Silicon Integrated Systems Corp.	35.3
Silicon Laboratories, Inc.	17.6
Siltronic AG	21.8
SIMMTECH Co., Ltd.	39.7
Sino Wealth Electronic Ltd.	36.6
Sino-American Silicon Products, Inc.	31.6
SiTime Corp.	30.0
Sitronix Technology Corp.	24.5
SK hynix, Inc.	17.3
Skyworks Solutions, Inc.	24.1
Soitec SA	21.5
Sonix Technology Co., Ltd.	29.6
StarPower Semiconductor Ltd.	28.1
STMicroelectronics NV	12.6
SUMCO Corp.	29.6
Sunplus Technology Co., Ltd.	35.6
SunPower Corp.	26.9
SÜSS MicroTec SE	16.3
Suzhou Good-Ark Electronics Co., Ltd.	35.8
Suzhou Novosense Microelectronics Co., Ltd.	39.4
Suzhou Oriental Semiconductor Co., Ltd.	40.4
Synaptics, Inc.	24.7
Syrma SGS Technology Ltd.	22.4
Ta-I Technology Co., Ltd.	28.3
Taiwan Mask Corp.	20.8
Taiwan Semiconductor Co., Ltd.	35.6
Taiwan Semiconductor Manufacturing Co., Ltd.	13.7
TCL Zhonghuan Renewable Energy Technology Co., Ltd.	32.7
TDG Holding Co., Ltd.	25.8
Technoprobe SpA	28.4
Teradyne, Inc.	16.1
TES Co., Ltd.	21.9
Texas Instruments Incorporated	21.9
Tianshui Huatian Technology Co., Ltd.	44.1
TOKAI CARBON KOREA Co., Ltd.	22.7
Tokyo Electron Ltd.	13.0
Tokyo Seimitsu Co., Ltd.	16.7
Tongwei Co., Ltd.	31.9
Topco Scientific Co., Ltd.	22.1
Toptec Corp.	29.2
Towa Corp.	20.1
Tower Semiconductor Ltd.	30.3
Transcend Information, Inc.	29.4
Transphorm, Inc.	36.9
Tri Chemical Laboratories Inc.	21.7
Trina Solar Co., Ltd.	26.2
TSE Co., Ltd.	28.2
TSEC Corp.	38.9
Tyntek Corp.	30.8
u-blox Holding AG	25.2
Ultra Clean Holdings, Inc.	26.4
UltraChip, Inc.	34.3
ULVAC, Inc.	25.1
UMS Integration Ltd.	18.6
Unigroup Guoxin Microelectronics Co., Ltd.	42.3
Unisem (M) Bhd.	24.9
United Microelectronics Corp.	18.6
United Nova Technology Co., Ltd.	36.2
United Renewable Energy Co., Ltd.	34.1
UniTest, Inc.	27.0
uPI Semiconductor Corp.	37.3
Vanguard International Semiconductor Corp.	23.2
Veeco Instruments, Inc.	23.5
Verisilicon Microelectronics (Shanghai) Co., Ltd.	38.8
VIA Labs, Inc.	28.4
VIA Technologies, Inc.	18.2
Visual Photonics Epitaxy Co., Ltd.	18.8
Vitrox Corp. Bhd.	20.8
Wafer Works Corp.	17.5
Weebit Nano Ltd.	37.3
Weltrend Semiconductor, Inc.	36.1
Will Semiconductor Co., Ltd. Shanghai	18.1
Win Semiconductors Corp.	25.7
Winbond Electronics Corp.	26.2
WinWay Technology Co., Ltd.	20.2
Wolfspeed, Inc.	30.4
WONIK HOLDINGS CO., LTD.	26.1
WONIK IPS CO., LTD.	24.0
Wuhan DR Laser Technology Corp., Ltd.	24.8
X-FAB Silicon Foundries SE	27.2
Xiamen Intretech, Inc.	24.4
Xinjiang Daqo New Energy Co., Ltd.	24.1
Xintec, Inc.	25.1
Xinyi Solar Holdings Ltd.	24.2
YaGuang Technology Group Co., Ltd.	46.9
Yamaichi Electronics Co., Ltd.	23.2
Yangzhou Yangjie Electronic Technology Co., Ltd.	36.7
Yuneng Technology Co., Ltd.	40.4
Zhejiang Jiemei Electronic & Technology Co., Ltd.	25.7
Zhejiang Jingsheng Mechanical & Electrical Co., Ltd.	24.4
