	Note ESG
11 Bit Studios SA	16.3
2U, Inc.	25.3
360 Security Technology, Inc.	22.1
37 Interactive Entertainment Network Technology Group Co. Ltd.	13.7
91APP, Inc.	20.6
A10 Networks, Inc.	20.5
Accenture Plc	11.1
ACI Worldwide, Inc.	22.4
Activision Blizzard, Inc.	13.8
Addnode Group AB	19.8
adesso SE	22.3
Adevinta ASA	21.1
Admicom Oyj	25.8
Adobe, Inc.	14.1
Adyen NV	18.1
Affle (India) Ltd.	20.5
Ahnlab, Inc.	25.5
Airbnb, Inc.	23.4
Aisino Corp.	25.1
Akamai Technologies, Inc.	13.3
Akatsuki, Inc.	24.1
Al Moammar Information Systems Co.	27.2
Alarm.com Holdings, Inc.	24.4
Alfa Financial Software Holdings Plc	18.7
Alibaba Group Holding Ltd.	20.1
Alight, Inc.	17.7
Alkami Technology, Inc.	27.4
Allegro.eu SA	18.4
Alpha Systems, Inc.	23.5
Alphabet, Inc.	24.9
Altair Engineering, Inc.	24.9
Alten SA	17.6
Alteryx, Inc.	20.3
Altium Ltd.	16.4
Amadeus IT Group SA	12.6
Amdocs Ltd.	13.9
American Well Corp.	19.0
Amplitude, Inc.	21.2
Andes Technology Corp.	23.5
Angi, Inc.	28.4
ANSYS, Inc.	14.7
AppFolio, Inc.	21.9
Appian Corp.	25.3
Appier Group, Inc.	28.5
AppLovin Corp.	19.2
Aptitude Software Group Plc	22.9
Arabian Internet & Communications Services Co.	25.1
ArcherMind Technology (Nanjing) Co., Ltd.	25.5
ArcSoft Corp. Ltd.	23.2
Argo Graphics, Inc.	22.8
Asana, Inc.	22.1
AsiaInfo Technologies Ltd.	22.5
Aspen Technology, Inc.	16.3
Asseco Poland SA	25.0
Asseco South Eastern Europe SA	23.5
Asure Software, Inc.	23.3
Atea ASA	18.1
Atlassian Corp.	17.7
Atos SE	12.8
ATOSS Software SE	17.1
Atrae, Inc.	23.0
Aubay SA	19.2
Auction Technology Group Plc	18.4
Audinate Group Ltd.	20.5
Aurora Innovation, Inc.	26.1
Auto Trader Group Plc	18.1
Autodesk, Inc.	15.1
Autohome, Inc.	17.0
Automatic Data Processing, Inc.	15.1
AutoStore Holdings Ltd.	15.4
Avant Group Corp.	20.3
Avantax, Inc.	30.8
AvePoint, Inc.	22.5
AvidXchange Holdings, Inc.	23.3
Axway Software SA	20.7
Azerion Group NV	16.4
B-Soft Co., Ltd.	22.5
B3 Consulting Group AB	22.1
Baidu, Inc.	18.2
Bairong, Inc.	25.2
Baltic Classifieds Group Plc	26.5
Bandai Namco Holdings, Inc.	15.8
Bandwidth, Inc.	22.5
Base Co., Ltd.	22.2
Be Shaping the Future SpA	22.1
Bechtle AG	19.7
Beijing Compass Technology Development Co., Ltd.	24.8
Beijing CTJ Information Technology Co., Ltd.	29.0
Beijing E-hualu Information Technology Co., Ltd.	26.8
Beijing eGOVA Co., Ltd.	26.9
Beijing Fourth Paradigm Technology Co., Ltd.	28.6
Beijing Global Safety Technology Co., Ltd.	26.4
Beijing Jetsen Technology Co., Ltd.	27.6
Beijing Kingsoft Office Software, Inc.	21.5
Beijing Philisense Technology Co., Ltd.	29.4
Beijing Shiji Information Technology Co., Ltd.	27.0
Beijing Sinnet Technology Co., Ltd.	28.6
Beijing Supermap Software Co., Ltd.	26.9
Beijing Teamsun Technology Co., Ltd.	25.8
Beijing Tongtech Co., Ltd.	25.1
Beijing Ultrapower Software Co., Ltd.	26.8
Beijing United Information Technology Co., Ltd.	28.2
Beijing VRV Software Co., Ltd.	30.8
Bengo4.com, Inc.	29.8
Bentley Systems, Inc.	15.5
Beryl 8 Plus PCL	20.2
Better Collective A/S	16.1
Beyond Air, Inc.	26.6
BigCommerce Holdings, Inc.	23.2
Bilibili, Inc.	24.2
Bill Holdings, Inc.	20.7
BIPROGY Inc.	15.8
Birlasoft Ltd.	19.2
