	Note ESG
Acerinox SA	28.3
Aichi Steel Corp.	36.8
Alleima AB	30.8
Angang Steel Co., Ltd.	51.2
Anhui Yingliu Electromechanical Co., Ltd.	47.2
Aperam SA	19.8
APL Apollo Tubes Ltd.	26.9
Araya Industrial Co., Ltd.	46.4
ArcelorMittal SA	35.4
ArcelorMittal South Africa Ltd.	39.6
ATI, Inc. (Texas)	38.9
Baoshan Iron & Steel Co., Ltd.	34.0
Beijing Shougang Co., Ltd.	47.1
BlueScope Steel Ltd.	27.4
Borusan Birlesik Boru Fabrikalari Sanayi ve Ticaret AS	38.2
CAP SA	30.2
Carpenter Technology Corp.	33.7
Champion Iron Ltd.	28.9
China Oriental Group Co. Ltd.	53.5
China Steel Corp.	29.1
Chongqing Iron & Steel Co., Ltd.	42.2
Chubu Steel Plate Co., Ltd.	40.7
Chun Yuan Steel Industry Co., Ltd.	41.4
Chung Hung Steel Corp.	28.7
Citic Pacific Special Steel Group Co., Ltd.	46.3
Cleveland-Cliffs, Inc.	36.9
Cognor Holding SA	42.4
Commercial Metals Co.	26.3
Companhia de Ferro Ligas da Bahia	34.9
Companhia Siderurgica Nacional	28.1
CSN Mineração SA	24.4
Daido Steel Co., Ltd.	34.3
Daiyang Metal Co., Ltd.	50.3
Deterra Royalties Ltd.	9.6
Dongkuk Steel Mill Co., Ltd.	36.7
Erciyas Çelik Boru Sanayi AS	46.0
Eregli Demir ve Çelik Fabrikalari TAS	36.3
Ezz Steel	50.8
Feng Hsin Steel Co., Ltd.	30.6
Ferrexpo Plc	39.5
Formosa Ha Tinh Steel Corp.	39.4
Fortescue Ltd.	22.1
Gansu Jiu Steel Group Hongxing Iron & Steel Co., Ltd.	46.3
Gerdau SA	30.5
Gloria Material Technology Corp.	31.9
Godawari Power & Ispat Ltd.	36.3
Godo Steel, Ltd.	43.2
Guangdong Zhongnan Iron & Steel Co., Ltd.	53.0
Hangxiao Steel Structure Co., Ltd.	41.4
Hangzhou Iron & Steel Co., Ltd.	44.9
Haynes International, Inc.	35.0
HBIS Co., Ltd.	62.0
Hoa Phat Group JSC	49.4
Hsin Kuang Steel Co., Ltd.	41.1
Hunan Valin Steel Co., Ltd.	43.9
Husteel Co., Ltd.	45.3
Hyundai Steel Co.	32.4
Industrias CH SA de CV	51.9
Inner Mongolia Baotou Steel Union Co. Ltd.	66.4
Interpipe Holdings Plc	36.9
Iskenderun Demir ve Çelik AS	29.1
Izmir Demir Çelik Sanayi AS	46.8
Jastrzebska Spólka Weglowa SA	39.5
JFE Holdings, Inc.	33.2
Jiangsu Changbao Steeltube Co., Ltd.	47.4
Jiangsu Shagang Co., Ltd.	41.9
Jindal SAW Ltd.	44.0
Jindal Stainless Ltd.	36.7
Jindal Steel & Power Ltd.	47.6
JSW Steel Ltd.	35.4
Jupiter Mines Ltd.	44.1
Kardemir Karabük Demir Çelik Sanayi ve Ticaret AS	34.0
KG DongbuSteel Co., Ltd.	36.6
Kirloskar Industries Ltd.	43.1
KISCO Corp.	45.5
KISWIRE Ltd.	47.3
Kobe Steel, Ltd.	36.5
Kocaer Celik Sanayi ve Ticaret AS	36.2
Kumba Iron Ore Ltd.	21.2
Kurimoto Ltd.	37.2
Kyoei Steel Ltd.	42.6
