	Note ESG
3D Systems Corp.	24.2
AAC Technologies Holdings, Inc.	17.7
AAEON Technology Inc.	21.6
Ability Opto-Electronics Technology Co., Ltd.	28.6
Accelink Technologies Co., Ltd.	21.4
Accton Technology Corp.	19.0
Ace Technologies Corp.	25.0
Acer, Inc.	13.3
Addsino Co., Ltd.	23.7
Adlink Technology, Inc.	23.1
ADTRAN Holdings, Inc.	22.1
Adtran Networks SE	14.5
Advanced Ceramic X Corp.	24.8
Advanced Fiber Resources Zhuhai Ltd.	25.7
Advantech Co., Ltd.	17.8
Agilysys, Inc.	13.2
Ai Holdings Corp.	15.4
AIMECHATEC Ltd.	23.2
Aiphone Co., Ltd.	18.7
Akoustis Technologies, Inc.	24.4
Alpha Networks, Inc.	22.7
Alps Alpine Co., Ltd.	20.3
ALSO Holding AG	9.4
Altek Corp.	28.4
Amano Corp.	17.3
Amazing Microelectronic Corp.	24.9
AMETEK, Inc.	14.2
Amphenol Corp.	18.0
AmTRAN Technology Co., Ltd.	22.4
Anhui Tatfook Technology Co., Ltd.	23.3
Anoto Group AB	21.7
Anritsu Corp.	14.4
Apex International Co., Ltd.	22.5
Apex International Financial Engineering Res & Tech Co., Ltd.	28.6
Apple, Inc.	16.8
Arcadyan Technology Corp.	23.6
Arisawa Mfg. Co., Ltd.	25.6
Arista Networks, Inc.	16.5
Arrow Electronics, Inc.	7.7
ASBISc Enterprises Plc	12.3
Asia Optical Co., Inc.	21.0
Asia Vital Components Co., Ltd.	20.3
ASRock, Inc.	18.9
ASUSTek Computer, Inc.	14.9
AT & S Austria Technologie & Systemtechnik AG	16.7
AudioCodes Ltd.	19.6
AUO Corp.	15.5
AURAS Technology Co., Ltd.	15.3
Aurora Corp.	11.2
Avary Holding (Shenzhen) Co., Ltd.	18.5
Aviat Networks, Inc.	19.2
Avid Technology, Inc.	18.1
Avnet, Inc.	5.6
Azbil Corp.	10.7
Badger Meter, Inc.	10.2
Bafang Electric (Suzhou) Co., Ltd.	25.4
Barco NV	8.4
Basler AG	12.5
Beijing Aerospace Shenzhou Intelligent Equipment Technology	18.7
Beijing BDStar Navigation Co., Ltd.	28.2
Beijing Sumavision Technologies Co., Ltd.	24.3
Beijing Yuanliu Hongyuan Electronic Technology Co., Ltd.	27.3
Beijing Zhong Ke San Huan High-Tech Co., Ltd.	24.3
Bel Fuse, Inc.	18.2
Belden, Inc.	20.0
Benchmark Electronics, Inc.	9.3
Berner Industrier AB	8.4
BH Co., Ltd.	23.6
Big Technologies Plc	13.0
BOE Technology Group Co., Ltd.	25.6
Brogent Technologies, Inc.	25.7
Brother Industries, Ltd.	12.6
BYD Electronic (International) Co., Ltd.	22.7
Calix, Inc.	15.1
Cambium Networks Corp.	19.1
Canon Electronics, Inc.	20.7
Canon, Inc.	17.8
Cantaloupe, Inc.	24.1
Career Technology (MFG.) Co., Ltd.	26.4
Catcher Technology Co., Ltd.	17.8
CDW Corp.	7.5
Celestica, Inc.	8.5
CETC Potevio Science & Technology Co., Ltd.	24.1
Chang Wah Electromaterials, Inc.	12.5
Channel Well Technology Co., Ltd.	25.9
Chaozhou Three-Circle (Group) Co., Ltd.	26.8
Cheng Uei Precision Industry Co. Ltd.	24.6
Chengdu CORPRO Technology Co., Ltd.	25.5
Chicony Electronics Co., Ltd.	20.0
