	Note ESG
1&1 AG	27.7
8x8, Inc.	29.9
Advanced Info Service Public Co. Ltd.	21.9
Airtel Africa Plc	22.0
Al Yah Satellite Communications Co. PJSC	23.5
Altice International SARL	30.4
America Movil SAB de CV	22.3
Anterix, Inc.	32.5
Arqiva Group Ltd.	24.9
ASR Microelectronics Co., Ltd.	33.9
AST Spacemobile, Inc.	33.0
AT&T, Inc.	22.1
ATN International, Inc.	34.6
Aussie Broadband Ltd.	28.3
Axian Telecom	22.3
Axiata Group Bhd.	24.4
BCE, Inc.	20.7
Bezeq The Israeli Telecommunication Corp. Ltd.	34.9
Bharti Airtel Ltd.	20.0
BT Group Plc	20.9
CelcomDigi Bhd.	23.7
Cellcom Israel Ltd.	38.1
Cellnex Telecom SA	12.3
Cetin Group NV	29.4
Charter Communications, Inc.	23.7
Chief Telecom Inc.	25.5
China Communications Services Corp. Ltd.	26.2
China Mobile Ltd.	27.8
China Telecom Corp. Ltd.	30.8
China Tower Corp. Ltd.	25.4
China Unicom (Hong Kong) Ltd.	35.7
China United Network Communications Ltd.	33.7
Chorus Ltd.	24.6
Chunghwa Telecom Co., Ltd.	17.0
CITIC Telecom International Holdings Ltd.	22.0
CK Hutchison Group Telecom Holdings Ltd.	12.6
Cogent Communications Holdings, Inc.	29.8
Colombia Telecomunicaciones SA ESP	24.8
Comcast Corp.	22.3
Consolidated Communications Holdings, Inc.	35.6
Converge Information & Communications Tech Solutions, Inc.	19.7
cyber_Folks SA	33.6
Deutsche Telekom AG	18.3
Digicel Group Ltd.	30.3
Elisa Oyj	16.6
Emirates Telecommunications Group Co. PJSC	26.4
Empresa Nacional de Telecomunicaciones SA	20.3
Etihad Etisalat Co.	32.1
EuroTeleSites AG	21.1
Far EasTone Telecommunications Co., Ltd.	22.1
Fibergate, Inc.	31.3
freenet AG	24.3
Frontier Communications Parent, Inc.	29.9
Gamma Communications Plc	18.6
Globalstar, Inc.	33.3
Globe Telecom, Inc.	23.8
Guangdong South New Media Co., Ltd.	32.6
Helios Towers Africa LLP	22.5
Helios Towers Plc	16.7
Hellenic Telecommunications Organization SA	20.2
HFCL Ltd.	30.2
HKBN Ltd.	22.7
HKT Trust & HKT Ltd.	26.8
Hong Kong Technology Venture Co., Ltd.	31.6
Hong Kong Telecommunications (HKT) Ltd.	23.6
Hutchison Telecommunications Hong Kong Holdings Ltd.	26.7
IDT Corp.	33.6
IHS Holding Ltd.	18.3
Indus Towers Ltd.	21.1
Infrastrutture Wireless Italiane SpA	16.3
Inscobee, Inc.	39.8
Intouch Holdings Public Co. Ltd.	27.0
Iridium Communications, Inc.	24.9
Jasmine International Public Co. Ltd.	33.9
Jasmine Technology Solution Public Co. Ltd.	30.4
KDDI Corp.	19.5
KT Corp.	25.8
Kuwait Telecommunications Co.	22.4
LG Uplus Corp.	26.1
Liberty Global Holdings Ltd.	23.1
Liquid Telecommunications Holdings Ltd.	29.2
Lorca Telecom BidCo SAU	14.9
Lumen Technologies, Inc. (Louisiana)	27.9
Macquarie Technology Group Ltd.	30.8
Magyar Telekom Telecommunications Plc	20.7
MásMóvil Ibercom. SAU	29.7
Maxis Bhd.	25.5
Megacable Holdings SAB de CV	31.1
Millicom International Cellular SA	21.0
Mobile Telecommunications Co. KSCP	27.5
Mobile Telecommunications Co. Saudi Arabia	25.1
NBN Co. Ltd.	20.6
NetLink NBN Trust	21.4
New Guomai Digital Culture Co., Ltd.	36.6
Nippon Telegraph & Telephone Corp.	22.5
