	Note ESG
361 Degrees International Ltd.	18.1
adidas AG	16.0
Aditya Birla Fashion & Retail Ltd.	23.8
Aksa Akrilik Kimya Sanayii AS	15.7
Allbirds, Inc.	18.3
Alok Industries Ltd.	17.4
Alpargatas SA	20.6
Ambika Cotton Mills Ltd.	19.4
Aquafil SpA	11.3
Arvind Ltd.	17.1
ASICS Corp.	18.6
Aurora Design Public Co. Ltd.	21.5
Azzas 2154 SA	16.0
Bata India Ltd.	20.2
Beijing Sanlian Hope Shin-Gosen Technical Service Co., Ltd.	22.7
BIEM.L.FDLKK Garment Co., Ltd.	18.8
Bijou Brigitte modische Accessoires AG	18.8
Birkenstock Holding Plc	13.5
Bjorn Borg AB	16.7
Black Peony (Group) Co. Ltd.	23.0
Breitling SA	17.7
Brunello Cucinelli SpA	21.4
Burberry Group Plc	9.1
Calida Holding AG	14.6
Campus Activewear Ltd.	20.9
Canada Goose Holdings, Inc.	16.4
Capri Holdings Ltd.	15.7
CCC SA	22.0
China Lilang Ltd.	16.7
Chow Tai Fook Jewellery Group Ltd.	14.6
Christian Dior SE	19.2
Citychamp Watch & Jewellery Group Ltd.	24.7
Coats Group Plc	7.9
Compagnie Financière Richemont SA	12.6
Crocs, Inc.	15.3
Crystal International Group Ltd.	22.9
Deckers Outdoor Corp.	14.2
Delta Galil Industries Ltd.	15.1
Descente Ltd.	23.0
DI DONG-IL Corp.	25.9
DR Corp. Ltd.	20.9
Dr. Martens Plc	15.7
Eclat Textile Co., Ltd.	15.1
F&F Co., Ltd.	16.8
Feng Tay Enterprises Co., Ltd.	16.4
FIGS, Inc.	14.4
FILA Holdings Corp.	18.2
Folli Follie SA	21.8
Formosa Taffeta Co., Ltd.	18.7
Foshan Yowant Technology Co., Ltd.	21.5
Fossil Group, Inc.	13.5
Fox-Wizel Ltd.	29.2
Fujian Funeng Co., Ltd.	24.5
Fujibo Holdings, Inc.	16.5
Fulgent Sun International (Holding) Co., Ltd.	21.0
G-III Apparel Group Ltd.	16.1
Geox SpA	15.0
Gildan Activewear, Inc.	10.8
Go Fashion (India) Ltd.	18.8
Gokaldas Exports Ltd.	21.1
Golden Goose SpA	11.7
Golden Solar New Energy Technology Holdings Ltd.	27.4
GOLDWIN INC.	15.1
Grendene SA	21.1
Gunze Ltd.	15.0
HANDSOME Corp.	20.8
Hanesbrands, Inc.	20.3
HANSAE Co., Ltd.	17.7
Hermès International SCA	12.6
HS HYOSUNG ADVANCED MATERIALS	13.0
Huafon Chemical Co., Ltd.	18.0
Huafon Microfibre (Shanghai) Co., Ltd.	25.3
Huafu Fashion Co., Ltd.	26.2
Huali Industrial Group Co. Ltd.	19.1
HUGO BOSS AG	12.4
Hyosung TNC Corp.	20.6
Indo Count Industries Ltd.	18.2
Jiangsu Guotai International Group Co., Ltd.	22.6
Jiangsu Hongdou Industry Co., Ltd.	18.6
Jindal Worldwide Ltd.	18.8
JNBY Design Ltd.	19.2
JOEONE Co., Ltd.	19.6
K.P.R. Mill Ltd.	14.0
Kalyan Jewellers India Ltd.	25.2
Kering SA	12.4
Kewal Kiran Clothing Ltd.	18.4
Kitex Garments Ltd.	16.5
KOMATSU MATERE Co., Ltd.	23.1
Kontoor Brands, Inc.	14.4
Kordsa Teknik Tekstil AS	11.2
Lancy Co., Ltd.	17.0
Lao Feng Xiang Co., Ltd.	21.4
LeaLea Enterprise Co., Ltd.	26.2
Levi Strauss & Co.	13.2
LF Corp.	21.1
Li & Fung Ltd.	19.5
Li Cheng Enterprise Co., Ltd.	26.2
Li Peng Enterprise Co., Ltd.	24.1
Luolai Lifestyle Technology Co., Ltd.	20.5
Luyang Energy-Saving Materials Co., Ltd.	23.4
LVMH Moët Hennessy Louis Vuitton SE	13.9
Makalot Industrial Co., Ltd.	17.3
Marimekko Oyj	14.0
Mavi Giyim Sanayi ve Ticaret AS	12.5
Mirza International Ltd.	15.8
Moncler SpA	8.4
Movado Group, Inc.	12.9
Nan Liu Enterprise Co., Ltd.	20.5
New Wave Group AB	23.2
NIKE, Inc.	18.4
Nilörngruppen AB	19.3
Nitto Boseki Co., Ltd.	22.1
On Holding AG	20.4
Onward Holdings Co., Ltd.	25.7
OVS SpA	9.1
Oxford Industries, Inc.	16.7
Pandora AS	12.6
Phu Nhuan Jewelry JSC	17.5
Pou Chen Corp.	20.8
Prada SpA	18.7
PUMA SE	17.5
PVH Corp.	15.6
Quang Viet Enterprise Co., Ltd.	21.5
Rajesh Exports Ltd.	18.9
Ralph Lauren Corp.	13.9
Raymond Ltd.	16.5
Relaxo Footwears Ltd.	17.7
Rocky Brands, Inc.	22.1
Ruentex Industries Ltd.	18.7
Safari Industries (India) Ltd.	18.5
Safilo Group SpA	15.2
Salvatore Ferragamo SpA	19.1
Samsonite International SA	18.5
Sankyo Seiko Co., Ltd.	22.8
Seiko Group Corp.	24.5
Seiren Co., Ltd.	21.1
Shanghai Haixin Group Co., Ltd.	25.0
Shenzhou International Group Holdings Ltd.	16.6
Shijiazhuang Changshan Beiming Technology Co., Ltd.	24.6
Shinkong Textile Co., Ltd.	21.3
Skechers U.S.A., Inc.	24.5
SMCP SA	16.8
Stella International Holdings Ltd.	19.8
Steven Madden Ltd.	17.8
