	Note ESG
AB SA	25.8
Adani Enterprises Ltd.	33.4
Addtech AB	20.8
ADENTRA, Inc.	28.6
ADVAN GROUP CO., LTD	26.1
AerCap Holdings NV	17.8
AerSale Corp.	20.1
Air Lease Corp.	13.4
Aircastle Ltd.	22.1
ALAFCO Aviation Lease & Finance Co.	34.8
Ali Alghanim Sons Automotive Co. KSCC	32.8
Alligo AB	17.5
Alta Equipment Group, Inc.	31.7
Anhui Xinhua Media Co., Ltd.	26.5
Applied Industrial Technologies, Inc.	24.1
Arise Integrated Industrial Platform	21.8
Ashtead Group Plc	15.6
Auto Partner SA	25.4
Aviation Capital Group LLC	26.6
Avolon Holdings Ltd.	18.4
Azelis Group NV	11.7
Barloworld Ltd.	19.2
BayWa AG	17.4
BE Group AB	18.8
Beacon Roofing Supply, Inc.	22.0
Beijer Ref AB	26.7
Bergman & Beving AB	19.7
Blivex Energy Technology Co., Ltd.	30.3
BlueLinx Holdings, Inc.	27.2
BOC Aviation Ltd.	20.8
Bohai Leasing Co., Ltd.	32.8
Bossard Holding AG	16.9
Brenntag SE	13.2
Brighton-Best International (Taiwan), Inc.	26.5
Bufab AB	19.8
Bunzl Plc	15.7
CGN Mining Co. Ltd.	22.3
Chin Hin Group Bhd.	27.0
China Aircraft Leasing Group Holdings Ltd.	23.1
China National Gold Group Gold Jewellery Co., Ltd.	29.4
CITIC Resources Holdings Ltd.	24.0
Clerici SpA	18.5
Container Leasing International LLC	28.2
Core & Main, Inc.	20.0
CoreCard Corp.	25.6
CTS Co., Ltd.	26.1
Custom Truck One Source, Inc.	28.9
Daiichi Jitsugyo Co., Ltd.	23.9
Dalrymple Bay Infrastructure Ltd.	20.1
Diploma Plc	20.7
Distribution Solutions Group, Inc.	28.1
Ditto (Thailand) Public Co., Ltd.	27.5
DNOW, Inc.	18.5
DoHome Public Co., Ltd.	25.9
Dubai Aerospace Enterprise (DAE) Ltd.	12.3
DXP Enterprises, Inc.	25.1
Emeco Holdings Ltd.	23.7
EVI Industries, Inc.	29.1
Fastenal Co.	25.0
Ferguson Plc	14.0
Ferronordic AB	17.9
Finning International, Inc.	14.3
FTAI Aviation Ltd.	30.1
GATX Corp.	23.4
Gecoss Corp.	24.9
Global Industrial Co.	21.6
GMS, Inc.	26.6
Grafton Group Plc	20.8
Greatech Technology Bhd.	14.5
GrowGeneration Corp.	26.7
H&E Equipment Services, Inc.	27.5
Hanwa Co., Ltd.	24.4
Herc Holdings, Inc.	18.2
Hextar Technologies Solutions Bhd.	24.9
Hillman Solutions Corp.	26.8
HYUNDAI Corp.	30.7
iMarket Korea, Inc.	29.0
IMCD NV	12.6
Inabata & Co., Ltd.	22.8
Indutrade AB	21.8
Integrated Holding Co. KCSC	28.8
Iwatani Corp.	26.0
Jacquet Metals SA	23.2
Japan Pulp & Paper Co., Ltd.	28.6
Jinchuan Group International Resources Co. Ltd.	26.5
JM Family Enterprises, Inc.	24.6
Kaman Corp.	19.2
Kamei Corp.	30.5
Kanaden Corp.	21.0
Kanamoto Co., Ltd.	24.3
Kanematsu Corp.	21.6
Klöckner & Co. SE	17.1
LOXAM SAS	11.2
LX International Corp.	23.4
MAAS Group Holdings Ltd.	27.5
Macfarlane Group Plc	21.7
Malmbergs Elektriska AB	23.0
Maruka Furusato Corp.	30.0
McGrath RentCorp	18.7
Mills Locação, Serviços e Logística SA	24.3
Minmetals Development Co., Ltd.	27.7
Mitani Corp.	26.9
Mitsui Matsushima Holdings Co., Ltd.	27.9
Momentum Group AB	19.0
Motus Holdings Ltd. (South Africa)	20.3
MR. D.I.Y. Group (M) Bhd.	18.6
MRC Global, Inc.	21.2
MSC Industrial Direct Co., Inc.	19.0
Nagase & Co., Ltd.	19.1
