	Note ESG
407 International, Inc.	10.8
Abertis Infraestructuras SA	6.7
Adani Ports & Special Economic Zone Ltd.	11.3
Aena S.M.E. SA	9.9
Aeroporti di Roma SpA	13.7
Aéroports de Montréal	17.0
Aéroports de Paris ADP	17.5
Aeropuerto Internacional De La Ciudad De México S.A. de C.V.	22.5
Aeropuertos Dominicanos Siglo XXI SA	23.7
Airport Authority Hong Kong	13.2
Airports of Thailand Public Co. Ltd.	18.4
Airservices Australia	19.3
Aleatica SAB de CV	11.4
ANE (Cayman) Inc.	21.4
Anhui Expressway Co., Ltd.	13.3
APRR SA	9.8
Associated British Ports Holdings Ltd.	10.3
ASTM SpA	7.5
Atlas Arteria Ltd.	6.2
Auckland International Airport Ltd.	17.9
Aurizon Network Pty Ltd.	9.6
Australia Pacific Airports (Melbourne) Pty Ltd.	18.2
Autobahnen- und Schnellstraßen-Finanzierungs-AG	11.4
Autoroutes du Sud de la France SA	8.9
Autostrade per l'Italia SpA	4.3
Avinor AS	14.9
Bangkok Aviation Fuel Services Public Co., Ltd.	20.8
Beibu Gulf Port Co., Ltd.	21.7
Beijing Capital International Airport Co., Ltd.	24.9
Blackbird Infrastructure Group	13.5
Brisa Concessão Rodoviária SA	9.7
Brisbane Airport Corp. Pty Ltd.	18.3
Bristow Group, Inc.	21.4
CCR SA	11.1
Çelebi Hava Servisi AS	23.8
Central Nippon Expressway Co. Ltd.	8.3
China Merchants Port Group Co., Ltd.	17.3
China Merchants Port Holdings Co., Ltd.	14.3
Connecteast Finance Pty Ltd.	9.4
Consorcio Corredor Vial Bioceanico	13.8
Corporación Quiport SA	20.1
COSCO SHIPPING International (Hong Kong) Co., Ltd.	16.3
COSCO SHIPPING Ports Ltd.	17.2
daa Plc	23.4
Delhi International Airport Ltd.	20.5
Delixi New Energy Technology Co., Ltd.	26.1
Dimerco Express Corp.	29.5
Dongguan Development (Holdings) Co., Ltd.	15.2
DP World Ltd.	8.5
DreamFolks Services Ltd.	23.7
East Nippon Expressway Co. Ltd.	10.6
EcoRodovias Infraestrutura e Logística SA	12.4
Edmonton Regional Airports Authority	22.8
ENAV SpA	15.5
