	Note ESG
2020 Bulkers Ltd.	24.4
A.P. Møller-Mærsk A/S	15.2
Abu Dhabi Aviation Co.	31.8
Abu Dhabi Ports Co. PJSC	26.0
ADNOC Logistics & Services Plc	22.9
Aegean Airlines SA	27.7
Agility Public Warehousing Co. KSC	18.1
Air Arabia PJSC	37.5
Air Canada	25.5
Air China Ltd.	28.6
Air France-KLM SA	24.2
Air New Zealand Ltd.	29.8
Air Transport Services Group, Inc.	23.6
Alaska Air Group, Inc.	25.2
Allcargo Logistics Ltd.	24.1
Allegiant Travel Co.	34.1
American Airlines Group, Inc.	23.7
ANA HOLDINGS INC.	31.8
Andlauer Healthcare Group, Inc.	21.1
Aramex PJSC	21.3
ArcBest Corp.	14.7
Arval Service Lease SA	19.1
Asia Aviation Public Co., Ltd.	34.0
Asiana Airlines, Inc.	33.8
Atlas Air Worldwide Holdings, Inc.	23.5
Aurizon Holdings Ltd.	21.9
Autohellas SA	18.4
Avia Solutions Group (ASG) Plc	14.6
Avianca Group International Ltd.	26.5
Avis Budget Group, Inc.	13.5
Ayvens SA	10.8
AZ-COM Maruwa Holdings, Inc.	23.8
Azul SA	27.2
Bangkok Airways Public Co., Ltd.	36.7
Bangkok Expressway & Metro Public Co. Ltd.	29.5
Beijing-Shanghai High-Speed Railway Co., Ltd.	33.6
Belships ASA	26.8
Blade Air Mobility, Inc.	39.8
Blue Dart Express Ltd.	18.5
bpost SA	18.0
British Columbia Ferry Services, Inc.	22.9
BTS Group Holdings Public Co. Ltd.	17.7
Burlington Northern Santa Fe LLC	21.3
C.H. Robinson Worldwide, Inc.	17.4
Canada Post Corp.	20.3
Canadian National Railway Co.	16.7
Canadian Pacific Kansas City Ltd.	24.0
Canadian Pacific Railway Co.	27.4
Capital A Bhd.	33.1
Cargojet, Inc.	27.2
Cathay Pacific Airways Ltd.	27.5
Central Japan Railway Co.	30.9
Ceské dráhy as	28.8
Chilled & Frozen Logistics Holdings Co., Ltd.	20.4
China Airlines Ltd.	21.0
China Eastern Airlines Corp. Ltd.	28.6
China Express Airlines Co., Ltd.	39.1
China Railway Special Cargo Logistics Co., Ltd.	27.4
China Railway Tielong Container Logistics Co., Ltd.	30.5
China Southern Airlines Co. Ltd.	31.6
Chorus Aviation, Inc.	32.4
CJ Logistics Corp.	17.1
CMA CGM SA	20.4
ComfortDelGro Corp. Ltd.	14.0
Compania Sud Americana de Vapores SA	23.0
Container Corp. of India Ltd.	28.9
Controladora Vuela Compañía de Aviación SAB de CV	27.2
Copa Holdings SA	30.8
COSCO SHIPPING Development Co., Ltd.	24.0
COSCO SHIPPING Energy Transportation Co., Ltd.	24.9
COSCO SHIPPING Holdings Co. Ltd.	22.3
COSCO Shipping Specialized Carriers Co., Ltd.	25.2
Costamare, Inc.	24.9
Covenant Logistics Group, Inc.	20.4
