	Note ESG
2i Rete Gas SpA	23.4
A2A SpA	20.1
Aboitiz Equity Ventures, Inc.	43.4
Aboitiz Power Corp.	27.3
Abu Dhabi National Energy Co. PJSC	18.1
Acciona SA	16.2
Acea SpA	15.4
ACEN Corp.	29.0
ACWA Power Co.	34.9
Adani Electricity Mumbai Ltd.	25.1
Adani Energy Solutions Ltd.	29.4
Adani Green Energy Ltd.	15.0
Adani Power Ltd.	35.3
Adani Total Gas Ltd.	24.5
Admie Holdings (IPTO) SA	31.8
Aegea Saneamento e Participaçoes SA	13.0
AES Andes SA	30.8
AES Brasil Energia SA	10.4
Affinity Water Ltd.	27.5
AGL Energy Ltd.	32.9
Agua y Saneamientos Argentinos SA	37.5
Aguas Andinas SA	24.4
Ahlatci Dogal Gaz Dagitim Enerji ve Yatirim AS	45.6
Akfen Yenilenebilir Enerji AS	27.9
Aksa Enerji Üretim AS	34.3
Alabama Power Co.	42.0
Alectra, Inc. (Canada)	36.0
Alerion Cleanpower SpA	27.5
Algonquin Power & Utilities Corp.	25.2
Algonquin Power Corp.	28.1
ALLETE, Inc.	32.8
Alliander NV	21.7
Alliant Energy Corp.	17.1
Alperia SpA	34.6
AltaGas Ltd.	30.5
AltaLink LP	27.8
ALTEO Energy Services Plc	29.8
Altus Power, Inc.	25.5
Alupar Investimento SA	39.3
Ameren Corp.	27.0
Ameren Illinois Co.	44.4
American Electric Power Co., Inc.	22.1
American States Water Co.	32.5
American Water Works Co., Inc.	19.2
Amprion GmbH	9.0
An Hui Wenergy Co., Ltd.	53.6
Anglian Water Group Ltd.	23.3
APA Group	37.7
Appalachian Power Co.	33.6
Arise AB	24.3
Arizona Public Service Co.	28.2
Arrow Lakes Power Corp.	23.5
Artesian Resources Corp.	47.3
Ascopiave SpA	29.0
ATCO Ltd.	27.4
Athens Water Supply & Sewage Co. SA	35.0
Atlantica Sustainable Infrastructure Plc	13.3
Atmos Energy Corp.	31.2
Audax Renovables SA	22.3
Auren Energia SA	22.2
Ausgrid Group	16.2
Ausnet Pty Ltd. (Victoria)	22.3
Australian Gas Networks Ltd.	36.7
Avangrid, Inc.	22.1
Avista Corp.	28.0
Aydem Yenilenebilir Enerji AS	15.1
Aygaz AS	26.9
Azure Power Global Limited	23.0
B.Grimm Power Public Co. Ltd.	22.2
Baltimore Gas & Electric Co.	23.3
Banpu Power Public Co. Ltd.	27.4
Basin Electric Power Cooperative	49.2
Baskent Dogalgaz Dagitim Gayrimenkul Yatirim Ortakligi AS	41.1
BCPG Public Co., Ltd.	21.1
Beijing Energy International Holding Co., Ltd.	25.1
Beijing Enterprises Holdings Ltd.	29.8
Beijing Enterprises Water Group Ltd.	31.5
Beijing Jingneng Clean Energy Co., Ltd.	41.2
Beijing Jingneng Power Co., Ltd.	52.3
Berkshire Hathaway Energy Co.	40.0
BKW AG	40.1
Black Hills Corp.	27.4
Boralex, Inc.	18.3
BRK Ambiental Participações SA	13.0
Brookfield Infrastructure Corp.	31.5
Brookfield Renewable Corp.	18.4
Brookfield Renewable Partners LP	15.8
Bruce Power LP	15.8
Bulgarian Energy Holding EAD	35.5
C.N.T.E.E. Transelectrica SA	37.6
Cadent Gas Ltd.	15.7
Cadiz, Inc.	40.0
California Water Service Group	24.2
Calpine Corp.	38.7
Çan2 Termik AS	50.6
Canadian Utilities Ltd.	22.4
Canvest Environmental Protection Group Co. Ltd.	21.3
Capital Power Corp.	30.1
