name	grade	country	industry	employees	roe	Year	roe_num	global_industry	continent	Ticker	maxAge	totalEsg	environmentScore	socialScore	governanceScore	ratingYear	ratingMonth	highestControversy	relatedControversy	adult	esgPerformance_LAG_PERF	esgPerformance_LEAD_PERF	esgPerformance_LAG_PERF	esgPerformance_LEAD_PERF	animalTesting_True	gambling_True	gmo_True	nuclear_True
10X Genomics, Inc.	22.5	United States of America	Pharmaceuticals	1,259	-24.87%	2024	-24.87	Healthcare and well-being	North America	TXG	86400.0	22.53	2.49	13.26	6.78	2025.0	1.0	1.0	['Business Ethics Incidents;Customer Incidents']	False	0	0	0	0	0	0	0	0
4imprint Group Plc	16.5	United Kingdom	Media	1,644	92.73%	2024	92.73	Commercial services and media	Europe	AIG	86400.0	23.6	1.95	11.0	10.64	2025.0	1.0	2.0	['Business Ethics Incidents;Customer Incidents']	False	0	0	0	0	0	0	0	0
A-Living Smart City Services Co., Ltd.	13.3	China	Real Estate	88,524	-12.88%	2024	-12.88	Real estate and related services	Asia	AEM	86400.0	21.85	10.51	7.86	3.48	2025.0	1.0	2.0	['Operations Incidents;Employee Incidents']	False	0	0	0	0	0	0	0	0
A.G. BARR Plc	26.7	United Kingdom	Food Products	1,030	12.60%	2024	12.6	Consumer sectors (B2C)	Europe	BPAQF	86400.0	33.2	16.04	9.77	7.39	2025.0	1.0	3.0	['Operations Incidents']	False	0	1	0	1	0	0	0	0
AB Dynamics Plc	15.4	United Kingdom	Auto Components	555	7.57%	2024	7.57	Industrial and manufacturing sectors	Europe	BPAQF	86400.0	33.2	16.04	9.77	7.39	2025.0	1.0	3.0	['Operations Incidents']	False	0	1	0	1	0	0	0	0
AB SA	25.8	Poland	Traders & Distributors	1,281	23.42%	2024	23.42	Transport and logistics	Europe	TIGO	86400.0	20.98	4.53	13.41	3.04	2025.0	1.0	1.0	['Customer Incidents;Business Ethics Incidents;Employee Incidents']	False	0	0	0	0	0	0	0	0
Abbott Laboratories	21.6	United States of America	Healthcare	114,000	14.84%	2024	14.84	Healthcare and well-being	North America	ABT	86400.0	22.21	1.81	13.84	6.56	2025.0	1.0	3.0	['Customer Incidents']	False	0	0	0	0	1	0	0	0
ABC arbitrage SA	24.1	France	Diversified Financials	103	10.40%	2024	10.4	Financial sectors	Europe	TIGO	86400.0	20.98	4.53	13.41	3.04	2025.0	1.0	1.0	['Customer Incidents;Business Ethics Incidents;Employee Incidents']	False	0	0	0	0	0	0	0	0
ABOUT YOU Holding SE	17.2	Germany	Retailing	1,230	-27.20%	2024	-27.2	Consumer sectors (B2C)	Europe	SAPGF	86400.0	14.37	3.44	7.8	3.13	2025.0	1.0	2.0	['Business Ethics Incidents;Customer Incidents;Employee Incidents']	False	1	0	1	0	0	0	0	0
abrdn European Logistics Income Plc	17.0	United Kingdom	Diversified Financials	0	-16.33%	2024	-16.33	Financial sectors	Europe	PNR	86400.0	22.0	6.12	10.73	5.15	2025.0	1.0	1.0	['Employee Incidents']	False	0	0	0	0	0	0	0	0
