	Note ESG
1-800-FLOWERS.COM, Inc.	22.6
1&1 AG	27.7
10X Genomics, Inc.	22.5
11 Bit Studios SA	16.3
1st Source Corp.	35.0
2020 Bulkers Ltd.	24.4
23andMe Holding Co.	21.4
29metals Ltd.	38.5
2i Rete Gas SpA	23.4
2seventy Bio, Inc.	35.9
2U, Inc.	25.3
360 One Wam Ltd.	24.7
360 Security Technology, Inc.	22.1
361 Degrees International Ltd.	18.1
37 Interactive Entertainment Network Technology Group Co. Ltd.	13.7
374Water, Inc.	29.2
3D Medicines, Inc.	32.4
3D Systems Corp.	24.2
3i Group Plc	8.9
3M Co.	42.9
3M India Ltd.	21.2
3peak, Inc.	34.7
3SBio, Inc.	24.0
407 East Development Group GP	44.0
407 International, Inc.	10.8
4D Molecular Therapeutics, Inc.	35.1
4imprint Group Plc	16.5
5E Advanced Materials, Inc.	42.0
5I5J Holding Group Co. Ltd.	14.9
7-Eleven, Inc.	35.1
89bio, Inc.	32.9
8x8, Inc.	29.9
908 Devices, Inc.	30.2
91APP, Inc.	20.6
A-Living Smart City Services Co., Ltd.	13.3
A-Mark Precious Metals, Inc.	30.3
A. O. Smith Corp.	26.8
A.G. BARR Plc	26.7
A.P. Møller-Mærsk A/S	15.2
A10 Networks, Inc.	20.5
A2A SpA	20.1
A2Dominion Housing Group Ltd.	16.6
AA Ltd.	12.7
AAC Technologies Holdings, Inc.	17.7
Aadi Bioscience, Inc.	26.4
AAEON Technology Inc.	21.6
AAK AB	27.1
Aalberts NV	21.5
Aamal Co. QSC	39.4
AAON, Inc.	21.5
AAR Corp.	40.6
Aareal Bank AG	18.1
Aarti Drugs Ltd.	34.9
AARTI Industries Ltd.	30.3
Aavas Financiers Ltd.	23.9
AB Dynamics Plc	15.4
AB SA	25.8
Abacus Group	9.5
Abacus Storage King	16.2
ABANCA Corporación Bancaria SA	6.8
ABB India Ltd.	22.3
ABB Ltd.	15.4
Abbey Plc	29.2
Abbott Laboratories	21.6
AbbVie, Inc.	26.1
ABC arbitrage SA	24.1
ABC-MART, INC.	19.9
AbCellera Biologics, Inc.	28.7
AbClon, Inc.	32.5
Abdullah Al Othaim Markets Co.	23.6
Abeille Vie SA	24.3
Abercrombie & Fitch Co.	16.6
Abertis Infraestructuras SA	6.7
Ability Enterprise Co., Ltd.	16.1
Ability Opto-Electronics Technology Co., Ltd.	28.6
Abivax SA	33.3
ABL Bio, Inc.	37.1
ABLE C&C Co., Ltd.	33.6
Abliva AB	29.2
ABM Industries, Inc.	14.3
ABN AMRO Bank NV	18.6
Aboitiz Equity Ventures, Inc.	43.4
Aboitiz Power Corp.	27.3
Abou Kir Fertilizers	37.7
ABOUT YOU Holding SE	17.2
Abra Global Finance	35.1
abrdn European Logistics Income Plc	17.0
abrdn Plc	15.8
abrdn Property Income Trust Ltd.	11.3
Absa Group Ltd.	25.4
Abu Dhabi Aviation Co.	31.8
Abu Dhabi Commercial Bank	14.3
Abu Dhabi Crude Oil Pipeline LLC	37.8
Abu Dhabi Islamic Bank	30.2
Abu Dhabi National Energy Co. PJSC	18.1
Abu Dhabi National Hotels	29.9
Abu Dhabi National Oil Co. for Distribution PJSC	31.7
Abu Dhabi Ports Co. PJSC	26.0
Acacia Research Corp.	18.8
AcadeMedia AB	16.0
Academy Sports & Outdoors, Inc.	15.9
Acadia Healthcare Co., Inc.	29.7
ACADIA Pharmaceuticals, Inc.	32.2
