name,date,roe
"1-800-FLOWERS.COM, Inc.","Apr 8, 2024",-2.07%
1&1 AG,"Oct 14, 2024",4.34%
"10X Genomics, Inc.","Apr 10, 2024",-24.87%
11 Bit Studios SA,"Jan 31, 2023",0.23%
1st Source Corp.,"Oct 1, 2024",12.01%
2020 Bulkers Ltd.,"Nov 13, 2023",16.16%
23andMe Holding Co.,"Nov 29, 2023",-38.25%
29metals Ltd.,"Oct 21, 2024",
2i Rete Gas SpA,"Nov 5, 2024",
"2seventy Bio, Inc.","Aug 30, 2023",-76.91%
Direct Marketing MiX Inc.,"Oct 14, 2024",-
"Kontoor Brands, Inc.","Jun 27, 2023",74.19%
Sanwa Holdings Corp.,"Mar 25, 2024",15.29%
"1-800-FLOWERS.COM, Inc.","Apr 8, 2024",-2.07%
1&1 AG,"Oct 14, 2024",4.34%
"Sanwei Holding Group Co., Ltd.","Mar 4, 2024",1.65%
Dis-Chem Pharmacies Ltd.,"Nov 23, 2022",
Kontrolmatik Teknoloji Enerji ve Mühendislik AS,"Jun 4, 2024",
"10X Genomics, Inc.","Apr 10, 2024",-24.87%
"Disc Medicine, Inc.","Feb 14, 2024",-25.03%
Kontron AG,"Oct 16, 2024",13.83%
"Sany Heavy Equipment International Holdings Co., Ltd.","Oct 18, 2024",
11 Bit Studios SA,"Jan 31, 2023",0.23%
DISCO Corp.,"Apr 17, 2024",26.37%
"Sany Heavy Industry Co., Ltd.","Oct 30, 2023",6.81%
Konya Çimento Sanayii AS,"Sep 29, 2023",
1st Source Corp.,"Oct 1, 2024",12.01%
"Sanyang Motor Co., Ltd.","Dec 16, 2024",21.03%
Discover Bank,"Oct 14, 2024",
"1-800-FLOWERS.COM, Inc.","Apr 8, 2024",-2.07%
"Kontoor Brands, Inc.","Jun 27, 2023",74.19%
Sanwa Holdings Corp.,"Mar 25, 2024",15.29%
Direct Marketing MiX Inc.,"Oct 14, 2024",-
"Sanwei Holding Group Co., Ltd.","Mar 4, 2024",1.65%
1&1 AG,"Oct 14, 2024",4.34%
Kontrolmatik Teknoloji Enerji ve Mühendislik AS,"Jun 4, 2024",
Dis-Chem Pharmacies Ltd.,"Nov 23, 2022",
"10X Genomics, Inc.","Apr 10, 2024",-24.87%
"Disc Medicine, Inc.","Feb 14, 2024",-25.03%
Kontron AG,"Oct 16, 2024",13.83%
"Sany Heavy Equipment International Holdings Co., Ltd.","Oct 18, 2024",
11 Bit Studios SA,"Jan 31, 2023",0.23%
DISCO Corp.,"Apr 17, 2024",26.37%
"Sany Heavy Industry Co., Ltd.","Oct 30, 2023",6.81%
Konya Çimento Sanayii AS,"Sep 29, 2023",
1st Source Corp.,"Oct 1, 2024",12.01%
"Sanyang Motor Co., Ltd.","Dec 16, 2024",21.03%
Discover Bank,"Oct 14, 2024",
"Koppers Holdings, Inc.","Oct 25, 2023",
2020 Bulkers Ltd.,"Nov 13, 2023",16.16%
Sanyo Chemical Industries Ltd.,"Oct 22, 2024",
Discover Financial Services,"Oct 13, 2023",19.88%
Kordsa Teknik Tekstil AS,"Mar 21, 2024",1.14%
23andMe Holding Co.,"Nov 29, 2023",-38.25%
"Sanyo Denki Co., Ltd.","Apr 8, 2024",5.95%
discoverIE Group Plc,"Mar 26, 2024",5.31%
KOREA AEROSPACE INDUSTRIES Ltd.,"Sep 7, 2023",
29metals Ltd.,"Oct 21, 2024",
"Sanyo Electric Railway Co., Ltd.","Nov 29, 2023",5.51%
Discovery Ltd.,"Apr 26, 2024",
"Korea Asset In Trust Co., Ltd.","Jan 25, 2023",13.18%
"Sanyo Special Steel Co., Ltd.","Feb 22, 2024",2.35%
2i Rete Gas SpA,"Nov 5, 2024",
DISH Network Corp.,"Nov 27, 2024",6.70%
Korea Development Bank,"Mar 28, 2023",
"Sanyo Trading Co., Ltd.","Jul 3, 2023",11.67%
"2seventy Bio, Inc.","Aug 30, 2023",-76.91%
Distribuidora Internacional De Alimentacion SA,"Apr 17, 2024",
São Martinho SA,"Aug 2, 2024",17.77%
"2U, Inc.","Nov 21, 2024",-7321.76%
"Korea East-West Power Co., Ltd.","Oct 14, 2024",
"Distribution Solutions Group, Inc.","Nov 21, 2024",0.33%
SAP SE,"Sep 26, 2024",6.46%
Korea Electric Power Corp.,"Apr 18, 2023",-11.90%
360 One Wam Ltd.,"Nov 29, 2024",
"Ditto (Thailand) Public Co., Ltd.","May 2, 2023",
"Korea Electric Power Industrial Development Co., Ltd.","Sep 22, 2023",15.59%
Sapiens International Corp. NV,"Apr 5, 2023",
"360 Security Technology, Inc.","Nov 24, 2023",
"KOREA ELECTRIC TERMINAL Co., Ltd.","Mar 23, 2023",8.09%
Diversified Energy Co. Plc,"Jul 3, 2023",
"Sappe Public Co., Ltd.","Jun 27, 2023",
361 Degrees International Ltd.,"May 15, 2024",
"Korea Environment Technology Co., Ltd.","May 10, 2024",17.86%
Diversified Healthcare Trust,"Feb 13, 2024",-17.17%
Sapphire Foods India Ltd.,"Oct 14, 2024",
37 Interactive Entertainment Network Technology Group Co. Ltd.,"Apr 11, 2023",
Korea Expressway Corp.,"Dec 20, 2023",
Divi's Laboratories Ltd.,"Feb 14, 2024",
Sappi Ltd.,"May 15, 2024",
Korea Gas Corp.,"Apr 24, 2024",1.51%
"374Water, Inc.","Feb 14, 2024",
Dixon Technologies (India) Ltd.,"Jun 8, 2023",
Sapporo Holdings Ltd.,"Sep 27, 2022",
Korea Housing Finance Corp.,"Apr 9, 2024",
"DKK Co., Ltd.","Nov 29, 2024",-4.30%
"3D Medicines, Inc.","Apr 12, 2024",
"Saputo, Inc.","Apr 9, 2024",
3D Systems Corp.,"Dec 16, 2024",-111.75%
Korea Hydro & Nuclear Power Co. Ltd.,"May 13, 2024",
"DKS Co., Ltd.","Oct 28, 2024",
3i Group Plc,"Oct 3, 2023",30.90%
Saras SpA,"Aug 30, 2024",
"Korea Investment & Securities Co., Ltd.","Nov 29, 2023",
DKSH Holding Ltd.,"Mar 28, 2024",
3M Co.,"Nov 6, 2024",113.29%
Sarawak Oil Palms Bhd.,"Oct 14, 2024",
"Korea Investment Holdings Co., Ltd.","Apr 15, 2024",10.24%
DKV MOBILITY GROUP SE,"Dec 4, 2024",
3M India Ltd.,"Dec 15, 2023",
Saregama India Ltd.,"Mar 20, 2023",
Korea Land & Housing Corp.,"Mar 28, 2024",
"Dl E&C Co., Ltd","Nov 21, 2024",2.44%
"3peak, Inc.","Dec 3, 2024",
"Sarepta Therapeutics, Inc.","Oct 5, 2023",-86.15%
Korea Line Corp.,"May 10, 2024",6.36%
"DL Holdings Co., Ltd.","Oct 14, 2024",2.34%
Sarkuysan Elektrolitik Bakir Sanayi ve Ticaret AS,"Mar 24, 2023",24.36%
"3SBio, Inc.","Aug 5, 2024",
"Korea Midland Power Co., Ltd.","Jul 11, 2023",
DLF Ltd.,"Feb 23, 2023",
Sartorius AG,"Oct 29, 2024",
407 East Development Group GP,"Sep 29, 2023",
Korea National Oil Corp.,"May 10, 2024",
DLocal Ltd.,"Feb 29, 2024",
Sartorius Stedim Biotech SA,"Sep 13, 2024",5.02%
"KOREA PETROCHEMICAL IND Co., Ltd.","Nov 21, 2024",-1.76%
"407 International, Inc.","Oct 14, 2024",
"DMC Global, Inc.","Mar 1, 2023",
SAS AB,"Sep 5, 2023",
"4D Molecular Therapeutics, Inc.","Nov 29, 2024",-32.50%
"Korea Real Estate Investment Trust Co., Ltd.","Apr 24, 2023",
"DMCI Holdings, Inc.","Oct 14, 2024",20.30%
Sasa Polyester Sanayi AS,"Dec 18, 2024",38.70%
4imprint Group Plc,"Apr 24, 2024",92.73%
Korea SMEs & Startups Agency,"Dec 20, 2023",
DMG MORI AG,"Oct 17, 2024",
"5E Advanced Materials, Inc.","Apr 19, 2023",-52.70%
Sasol Ltd.,"Aug 2, 2023",
"DMG MORI CO., LTD.","Dec 15, 2023",13.09%
Korea South-East Power Co. Ltd.,"Nov 29, 2024",
Sasseur Real Estate Investment Trust,"May 10, 2024",5.88%
5I5J Holding Group Co. Ltd.,"Nov 29, 2023",
"7-Eleven, Inc.",Non disponible,
DN AUTOMOTIVE Corp.,"Apr 25, 2024",19.09%
"Korea Southern Power Co., Ltd.","Apr 25, 2023",
"Satellite Chemical Co., Ltd.","Mar 24, 2023",20.06%
"89bio, Inc.","Jan 15, 2024",-73.31%
"DNA Link, Inc.","May 30, 2023",-20.66%
"8x8, Inc.","Jan 10, 2023",-51.82%
"KOREA UNITED PHARM, Inc.","Sep 21, 2023",
Satia Industries Ltd.,"Feb 23, 2024",
DNB Bank ASA,"Apr 17, 2024",15.72%
Sato Holdings Corp.,"Feb 28, 2024",7.19%
DNO ASA,"Oct 3, 2024",6.11%
"908 Devices, Inc.","Oct 17, 2024",
"Korea Western Power Co., Ltd.","Jul 21, 2023",
SATS Ltd.,"Apr 8, 2024",8.27%
"91APP, Inc.","Dec 20, 2023",14.98%
"DNOW, Inc.","Apr 26, 2024",
"Korea Zinc Co., Ltd.","Jun 27, 2023",
"A-Living Smart City Services Co., Ltd.","Aug 29, 2024",-12.88%
Saudi Arabia Refineries Co.,"Oct 14, 2024",
"Korean Air Lines Co., Ltd.","Apr 14, 2023",11.82%
DO & CO AG,"Oct 4, 2023",
"A-Mark Precious Metals, Inc.","Apr 11, 2023",28.74%
Saudi Arabian Mining Co.,"Mar 15, 2023",3.01%
Korean Reinsurance Co.,"Jan 23, 2024",9.83%
"Do-Fluoride New Materials Co., Ltd.","Oct 17, 2024",0.63%
A. O. Smith Corp.,"Oct 11, 2023",30.99%
Saudi Arabian Oil Co.,"Sep 29, 2023",26.73%
Korn Ferry,"Dec 4, 2023",13.30%
"Docebo, Inc.","Oct 14, 2024",
A.G. BARR Plc,"Jan 31, 2024",12.60%
Saudi Aramco Base Oil Co.,"Nov 7, 2024",23.50%
Kornit Digital Ltd.,"Apr 25, 2023",-7.73%
"DocGo, Inc.","Apr 25, 2023",
Saudi Automotive Services Co.,"Feb 21, 2023",13.15%
A.P. Møller-Mærsk A/S,"Sep 11, 2023",
"KORU Medical Systems, Inc.","Jan 4, 2024",-53.01%
Saudi Awwal Bank,"Sep 27, 2023",12.02%
"A10 Networks, Inc.","Sep 26, 2023",20.56%
DocMorris Ltd.,"Oct 14, 2024",
"KOSAIDO Holdings Co., Ltd.","Dec 12, 2023",10.19%
Saudi Basic Industries Corp.,"Feb 2, 2024",2.54%
A2A SpA,"Jan 31, 2024",18.61%
"DocuSign, Inc.","Sep 25, 2023",-21.83%
KOSÉ Corp.,"Sep 19, 2024",3.21%
Saudi Cement Co.,"Aug 7, 2024",19.34%
"Koshidaka Holdings Co., Ltd.","Apr 25, 2023",31.64%
A2Dominion Housing Group Ltd.,"Jun 1, 2023",
Dodla Dairy Ltd.,"Oct 14, 2024",
Saudi Ceramic Co.,"Mar 7, 2023",-14.39%
Kosmos Energy Ltd.,"Nov 29, 2024",19.86%
Dogan Sirketler Grubu Holding AS,"Oct 31, 2024",4.68%
AA Ltd.,"Oct 14, 2024",
Saudi Chemical Co.,"Oct 14, 2024",
Kossan Rubber Industries Bhd.,"Apr 23, 2024",2.46%
Dogus Otomotiv Servis ve Ticaret AS,"Jan 18, 2023",53.80%
"AAC Technologies Holdings, Inc.","Jan 11, 2024",
Doha Bank,"Sep 30, 2024",5.68%
Saudi Co. for Hardware,"Jan 25, 2024",
Kotak Mahindra Bank Ltd.,"Mar 29, 2024",
"Aadi Bioscience, Inc.","Apr 24, 2023",-49.90%
Saudi Electricity Co.,"Mar 15, 2024",4.62%
"Kotobuki Spirits Co., Ltd.","Dec 16, 2024",35.12%
"DoHome Public Co., Ltd.","Mar 1, 2023",
AAEON Technology Inc.,"Mar 28, 2024",7.71%
Saudi Fisheries Co.,"Nov 27, 2024",-72.32%
Kourakuen Corp.,"Apr 11, 2024",49.21%
"Dolby Laboratories, Inc.","May 24, 2023",8.72%
AAK AB,"Nov 9, 2023",18.32%
Saudi Ground Services Co.,"Aug 12, 2024",12.65%
Dole Plc,"May 17, 2024",11.31%
Kowloon Development Co. Ltd.,"Mar 29, 2023",
Aalberts NV,"Apr 4, 2023",13.14%
Saudi Industrial Investment Group,"Feb 21, 2024",1.99%
Dollar General Corp.,"Jan 22, 2024",19.37%
Koza Altin Isletmeleri AS,"Oct 18, 2024",10.80%
Aamal Co. QSC,"Feb 16, 2023",
"Dollar Tree, Inc.","Aug 11, 2023",19.62%
Saudi Industrial Services Co.,"Feb 28, 2024",
Koza Anadolu Metal Madencilik Isletmeleri AS,"Aug 2, 2023",2.26%
"AAON, Inc.","May 16, 2024",25.81%
Saudi Kayan Petrochemical Co.,"Jan 23, 2024",-13.30%
"KPC Pharmaceuticals, Inc.","Nov 29, 2023",8.55%
"Dollarama, Inc.","Apr 12, 2024",
AAR Corp.,"Nov 29, 2024",0.90%
Saudi National Bank,"Mar 26, 2024",11.63%
Dom Development SA,"Oct 15, 2024",33.37%
KPIT Technologies Ltd.,"Mar 30, 2023",
Aareal Bank AG,"Mar 27, 2024",2.62%
Saudi Pharmaceutical Industries & Medical Appliances Corp.,"Oct 14, 2024",
Domain Holdings Australia Ltd.,"Mar 20, 2024",
KPJ Healthcare Bhd.,"Oct 14, 2024",
Aarti Drugs Ltd.,"Jan 27, 2023",
Saudi Public Transport Co.,"Apr 23, 2024",-5.00%
Dometic Group AB,"Dec 18, 2024",-4.36%
"KPP Group Holdings Co., Ltd.","Sep 5, 2023",25.33%
AARTI Industries Ltd.,"Nov 29, 2024",
Saudi Real Estate Co.,"Mar 22, 2023",2.69%
"Dominion Energy, Inc.","Oct 24, 2023",7.82%
"KRAFTON, Inc","Aug 31, 2023",11.13%
Aavas Financiers Ltd.,"Sep 30, 2024",
Saudi Research & Media Group,"Sep 28, 2023",
"Kratos Defense & Security Solutions, Inc.","Feb 29, 2024",1.54%
Domino's Pizza Enterprises Ltd.,"Apr 16, 2024",
AB Dynamics Plc,"Apr 26, 2024",7.57%
Saudi Tadawul Group Holding Co.,"Jun 9, 2023",12.09%
Domino's Pizza Group Plc,"Apr 26, 2024",
KRBL Ltd.,"Oct 14, 2024",
AB SA,"Nov 21, 2024",23.42%
Saudi Telecom Co.,"Nov 5, 2024",16.51%
"Domino's Pizza, Inc.","Aug 9, 2023",
Krishna Institute of Medical Sciences Ltd.,"Feb 12, 2024",
Saudia Dairy & Foodstuff Co.,"Nov 21, 2024",-
Abacus Group,"Apr 17, 2024",
"Domo, Inc.","Mar 15, 2023",
"Krispy Kreme, Inc.","Mar 26, 2024",2.27%
"Saul Centers, Inc.","Dec 20, 2023",13.45%
Abacus Storage King,"Oct 18, 2024",11.62%
"Donaldson Co., Inc.","Jan 8, 2025",
Krones AG,"Oct 3, 2024",14.18%
"Savara, Inc.","Jan 30, 2024",
ABANCA Corporación Bancaria SA,"Nov 12, 2024",
"Kronos Worldwide, Inc.","Apr 23, 2024",11.20%
"Donegal Group, Inc.","Sep 18, 2023",
Savaria Corp.,"Sep 29, 2023",7.55%
ABB India Ltd.,"Oct 3, 2024",
